Destination,Last Google Hop #,Last Google IP,Exit Hop #,Exit IP,Hops Before Exit,Median RTT to Last Google Hop (ms),Status
google.com,,,,,,,No Google node found
mail.ru,,,,,,,No Google node found
microsoft.com,,,,,,,No Google node found
facebook.com,,,,,,,No Google node found
amazonaws.com,,,,,,,No Google node found
youtube.com,,,,,,,No Google node found
dzen.ru,,,,,,,No Google node found
akamai.net,,,,,,,No Google node found
googleapis.com,,,,,,,No Google node found
cloudflare.com,,,,,,,No Google node found
akamaiedge.net,,,,,,,No Google node found
instagram.com,,,,,,,No Google node found
twitter.com,,,,,,,No Google node found
office.com,,,,,,,No Google node found
apple.com,,,,,,,No Google node found
gstatic.com,,,,,,,No Google node found
azure.com,,,,,,,No Google node found
akadns.net,,,,,,,No Google node found
linkedin.com,,,,,,,No Google node found
live.com,,,,,,,No Google node found
ax-msedge.net,,,,,,,No Google node found
googlevideo.com,,,,,,,No Google node found
apple-dns.net,,,,,,,No Google node found
googletagmanager.com,,,,,,,No Google node found
windowsupdate.com,,,,,,,No Google node found
fbcdn.net,,,,,,,No Google node found
amazon.com,,,,,,,No Google node found
microsoftonline.com,,,,,,,No Google node found
workers.dev,,,,,,,No Google node found
wikipedia.org,,,,,,,No Google node found
bluelive77.com,,,,,,,No Google node found
skyeng.ru,,,,,,,No Google node found
workupjob.com,,,,,,,No Google node found
tapatalk.com,,,,,,,No Google node found
messefrankfurt.com,,,,,,,No Google node found
elephantbet.co.ao,,,,,,,No Google node found
mir-chitki.ru,,,,,,,No Google node found
skokka.in,,,,,,,No Google node found
bpcyber.com,,,,,,,No Google node found
toonkor.wiki,,,,,,,No Google node found
list.ly,,,,,,,No Google node found
canalturf.com,,,,,,,No Google node found
nationaltrust.org.uk,,,,,,,No Google node found
postal.pt,,,,,,,No Google node found
worldbyte.net,,,,,,,No Google node found
v6velugu.com,,,,,,,No Google node found
avanture.net,,,,,,,No Google node found
babo88.com,,,,,,,No Google node found
tamilkamaveri.com,,,,,,,No Google node found
keiba.go.jp,,,,,,,No Google node found
tgstat.ru,,,,,,,No Google node found
rogmovies.lol,,,,,,,No Google node found
tamilscandals2.com,,,,,,,No Google node found
songkick.com,,,,,,,No Google node found
syracuse.com,,,,,,,No Google node found
ungrounded.net,,,,,,,No Google node found
1tamilmv.fi,,,,,,,No Google node found
krakow.pl,,,,,,,No Google node found
retargetly.com,,,,,,,No Google node found
egramswaraj.gov.in,,,,,,,No Google node found
