Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,234.37,489.555,0.479,255.185,exited google,8074.565648740277,108.170.225.250,AS15169 Google LLC,2
037hdx.tv,tranco-rank100k,1.47,1.58,0.93,0.11,exited google,0.42014159909664317,172.253.65.5,AS15169 Google LLC,1
07br.cc,tranco-rank100k,1.44,1.55,0.929,0.11,exited google,0.42014159909664317,172.253.65.5,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,494.72,287.16,1.723,-207.56,exited google,N/A,66.249.94.46,nan,2
104.156.244.232,vultr-miami,238.26,243.16,0.98,4.9,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,233.76,240.46,0.972,6.7,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,238.28,227.91,1.046,-10.37,exited google,12833.326104025477,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,229.59,238.58,0.962,8.99,exited google,N/A,142.250.212.58,nan,1
108.61.194.105,vultr-seattle,478.69,481.06,0.995,2.37,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,231.87,238.34,0.973,6.47,exited google,9039.607381856466,192.178.98.2,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,228.12,232.0,0.983,3.88,exited google,8992.044136566348,74.125.242.164,nan,2
108.61.201.151,vultr-tokyo,473.49,478.62,0.989,5.13,exited google,13537.443382842483,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,238.43,229.67,1.038,-8.76,exited google,8697.643281237486,72.14.235.97,AS15169 Google LLC,1
108.61.210.117,vultr-frankfurt,231.835,233.01,0.995,1.175,exited google,8667.195464787283,72.14.234.209,AS15169 Google LLC,1
108.61.212.117,vultr-sydney,492.54,487.13,1.011,-5.41,exited google,N/A,74.125.251.94,nan,1
108.61.219.200,vultr-los angeles,475.76,474.81,1.002,-0.95,exited google,N/A,142.251.65.159,nan,1
108.61.224.175,vultr-dallas,227.98,257.6,0.885,29.62,exited google,8074.565648740277,192.178.110.70,AS15169 Google LLC,2
11kk.love,tranco-rank10k,1.57,1.08,1.454,-0.49,exited google,0.42014159909664317,172.253.65.5,AS15169 Google LLC,1
1242.com,tranco-rank100k,478.85,472.995,1.012,-5.855,exited google,13537.443382842483,108.170.248.242,nan,2
12moviesda.com,tranco-rank100k,1.55,1.64,0.945,0.09,exited google,0.42014159909664317,172.253.65.5,AS15169 Google LLC,1
139.84.130.100,vultr-bangalore,481.59,484.52,0.994,2.93,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,474.79,488.14,0.973,13.35,exited google,N/A,142.251.65.159,nan,1
139.84.226.78,vultr-johannesburg,1.5,1.31,1.145,-0.19,exited google,0.42014159909664317,64.233.174.119,AS15169 Google LLC,1
141.164.34.61,vultr-seoul,233.39999999999998,492.57,0.474,259.17,exited google,8037.389560133413,192.178.105.28,AS15169 Google LLC,2
149.248.50.81,vultr-toronto,228.33,231.21,0.988,2.88,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,1.17,488.71,0.002,487.54,exited google,0.42014159909664317,172.253.65.5,AS15169 Google LLC,1
1asb.com,tranco-rank100k,1.45,1.78,0.815,0.33,exited google,0.42014159909664317,172.253.65.5,AS15169 Google LLC,1
1c.ru,tranco-top1k,230.20499999999998,232.65,0.989,2.445,exited google,9125.908709618976,142.250.234.165,AS15169 Google LLC,1
1drv.com,tranco-top1k,1.05,222.93,0.005,221.88,exited google,0.42014159909664317,172.253.65.5,AS15169 Google LLC,1
1goplus.com,tranco-rank10k,1.455,13.72,0.106,12.265,exited google,0.42014159909664317,172.253.65.5,AS15169 Google LLC,1
1nto.com,tranco-rank10k,1.44,1.53,0.941,0.09,exited google,0.42014159909664317,172.253.65.5,AS15169 Google LLC,1
1pr.ru,tranco-rank100k,246.27,225.1,1.094,-21.17,exited google,9125.908709618976,192.178.241.64,AS15169 Google LLC,2
1slu.com,tranco-rank10k,1.43,1.585,0.902,0.155,exited google,0.42014159909664317,172.253.65.5,AS15169 Google LLC,1
1tamilyogi.vote,tranco-rank10k,1.46,1.22,1.197,-0.24,exited google,0.42014159909664317,172.253.65.5,AS15169 Google LLC,1
208.72.154.76,vultr-honolulu,220.82,490.75,0.45,269.93,exited google,N/A,142.251.60.123,nan,1
208.76.222.30,vultr-madrid,228.25,228.25,1.0,0.0,exited google,N/A,108.170.252.252,nan,2
216.238.66.16,vultr-mexico city,240.23,277.86,0.865,37.63,exited google,8074.565648740277,192.178.110.84,AS15169 Google LLC,2
216.238.98.118,vultr-sao paulo,474.26,489.0,0.97,14.74,exited google,N/A,142.251.53.98,nan,2
21wiz.com,tranco-rank10k,1.03,1.09,0.945,0.06,exited google,0.42014159909664317,172.253.65.5,AS15169 Google LLC,1
22.cn,tranco-rank10k,238.08,477.18,0.499,239.1,exited google,9039.607381856466,72.14.235.246,AS15169 Google LLC,1
24-hd.com,tranco-rank10k,1.42,1.49,0.953,0.07,exited google,0.42014159909664317,172.253.65.5,AS15169 Google LLC,1
