Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,2.16,222.94,0.01,220.78,exited google,4.572837095768963,72.14.236.39,AS15169 Google LLC,1
037hdx.tv,tranco-rank100k,1.0,1.35,0.741,0.35,exited google,4.572837095768963,192.178.111.190,AS15169 Google LLC,2
104.156.230.107,vultr-silicon valley,233.63,235.06,0.994,1.43,exited google,N/A,108.170.252.30,nan,2
104.156.244.232,vultr-miami,232.46,233.44,0.996,0.98,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,361.54999999999995,236.99,1.526,-124.56,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,238.68,242.12,0.986,3.44,exited google,N/A,142.251.66.65,nan,1
108.61.193.166,vultr-atlanta,232.82,225.005,1.035,-7.815,exited google,N/A,74.125.243.54,nan,2
108.61.194.105,vultr-seattle,228.69,229.93,0.995,1.24,exited google,10432.45327957176,142.251.54.146,AS15169 Google LLC,1
108.61.196.101,vultr-london,488.22,243.78,2.003,-244.44,exited google,9639.541459187325,192.178.97.190,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,474.78999999999996,243.09,1.953,-231.7,exited google,N/A,74.125.242.152,nan,2
108.61.201.151,vultr-tokyo,244.02499999999998,229.75,1.062,-14.275,exited google,2881.2268991437677,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,483.6,244.47,1.978,-239.13,exited google,N/A,72.14.235.97,nan,1
108.61.210.117,vultr-frankfurt,478.49,240.995,1.985,-237.495,exited google,N/A,209.85.249.228,nan,2
108.61.212.117,vultr-sydney,242.56,224.83,1.079,-17.73,exited google,N/A,74.125.251.94,nan,1
108.61.219.200,vultr-los angeles,227.55,229.98,0.989,2.43,exited google,11668.549092590536,142.251.65.159,AS15169 Google LLC,1
