Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
104.156.230.107,vultr-silicon valley,225.77,236.59,0.954,10.82,exited google,N/A,142.250.231.100,nan,2
104.156.244.232,vultr-miami,239.41500000000002,232.51999999999998,1.03,-6.895,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,247.19,236.805,1.044,-10.385,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,225.89,234.14,0.965,8.25,exited google,N/A,142.251.66.65,nan,1
108.61.193.166,vultr-atlanta,230.99,240.55,0.96,9.56,exited google,N/A,74.125.243.158,nan,2
108.61.194.105,vultr-seattle,238.97,219.65,1.088,-19.32,exited google,7718.874683092817,142.251.54.146,AS15169 Google LLC,1
108.61.196.101,vultr-london,238.41,223.82,1.065,-14.59,exited google,9581.970340205078,192.178.97.50,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,499.33,224.19,2.227,-275.14,exited google,9311.096502298684,74.125.242.164,nan,2
108.61.201.151,vultr-tokyo,4.45,2.745,1.621,-1.705,exited google,4.027730860664557,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
108.61.210.117,vultr-frankfurt,241.445,486.66499999999996,0.496,245.22,exited google,N/A,66.249.94.174,nan,1
108.61.212.117,vultr-sydney,226.69,234.285,0.968,7.595,exited google,7792.033453176544,66.249.94.19,AS15169 Google LLC,1
108.61.219.200,vultr-los angeles,226.33,243.25,0.93,16.92,exited google,8838.470245270793,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,1.4649999999999999,237.1,0.006,235.635,exited google,4.027730860664557,142.251.60.112,AS15169 Google LLC,1
10g.su,tranco-rank100k,241.01999999999998,261.78,0.921,20.76,exited google,N/A,142.250.213.86,nan,1
11kk.love,tranco-rank10k,1.25,1.47,0.85,0.22,exited google,4.027730860664557,72.14.239.222,AS15169 Google LLC,1
123-hd.com,tranco-rank10k,1.26,1.98,0.636,0.72,exited google,4.027730860664557,72.14.239.222,AS15169 Google LLC,1
123mkv.team,tranco-rank100k,1.49,1.895,0.786,0.405,exited google,4.027730860664557,72.14.239.222,AS15169 Google LLC,1
139.84.130.100,vultr-bangalore,213.0,240.56,0.885,27.56,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,225.54,226.19,0.997,0.65,exited google,N/A,74.125.37.85,nan,1
139.84.226.78,vultr-johannesburg,479.53999999999996,485.36,0.988,5.82,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,3.6,248.63,0.014,245.03,exited google,4.027730860664557,72.14.239.222,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,234.27,244.96,0.956,10.69,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,227.03500000000003,235.77,0.963,8.735,exited google,2879.4760131004923,192.178.110.118,AS15169 Google LLC,2
1asb.com,tranco-rank100k,1.37,1.88,0.729,0.51,exited google,4.027730860664557,216.239.59.32,AS15169 Google LLC,2
1c.ru,tranco-top1k,263.87,366.11,0.721,102.24,exited google,7496.045157432554,142.250.234.165,AS15169 Google LLC,1
