Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,241.41,491.015,0.492,249.605,exited google,3768.5092724034334,72.14.236.39,AS15169 Google LLC,1
037hdx.tv,tranco-rank100k,2.76,1.47,1.878,-1.29,exited google,4.751559825974831,108.170.233.105,AS15169 Google LLC,1
07br.cc,tranco-rank100k,0.88,0.84,1.048,-0.04,exited google,4.751559825974831,108.170.233.105,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,242.11,245.01,0.988,2.9,exited google,12881.013456103763,142.250.231.100,AS15169 Google LLC,2
104.156.244.232,vultr-miami,485.78,486.83500000000004,0.998,1.055,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,473.96,258.19,1.836,-215.77,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,485.76,366.73,1.325,-119.03,exited google,N/A,142.251.66.65,nan,1
108.61.193.166,vultr-atlanta,478.4,268.85,1.779,-209.55,exited google,N/A,74.125.243.54,nan,2
108.61.194.105,vultr-seattle,232.13,230.02,1.009,-2.11,exited google,11339.894056080673,142.251.54.146,AS15169 Google LLC,1
108.61.196.101,vultr-london,486.87,475.52,1.024,-11.35,exited google,6723.876503556953,192.178.97.190,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,484.895,479.29,1.012,-5.605,exited google,6369.227688390395,74.125.242.180,nan,2
108.61.201.151,vultr-tokyo,233.64,228.81,1.021,-4.83,exited google,5848.920443243463,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,487.32,260.93,1.868,-226.39,exited google,N/A,142.251.249.196,nan,1
108.61.210.117,vultr-frankfurt,489.495,470.79,1.04,-18.705,exited google,N/A,66.249.94.174,nan,1
108.61.212.117,vultr-sydney,237.64499999999998,224.03,1.061,-13.615,exited google,N/A,74.125.251.94,nan,1
108.61.219.200,vultr-los angeles,230.99,231.56,0.998,0.57,exited google,12881.013456103763,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,233.41,371.275,0.629,137.865,exited google,4142.076480413795,72.14.232.209,AS15169 Google LLC,1
11kk.love,tranco-rank10k,0.87,1.06,0.821,0.19,exited google,4.751559825974831,108.170.233.105,AS15169 Google LLC,1
123-hd.com,tranco-rank10k,1.29,6.01,0.215,4.72,exited google,4.751559825974831,108.170.233.105,AS15169 Google LLC,1
123mkv.team,tranco-rank100k,1.29,1.37,0.942,0.08,exited google,4.751559825974831,108.170.233.105,AS15169 Google LLC,1
139.84.130.100,vultr-bangalore,123.73,224.39499999999998,0.551,100.665,exited google,1144.6637132112571,72.14.235.110,AS15169 Google LLC,1
139.84.162.104,vultr-delhi ncr,2.16,3.41,0.633,1.25,exited google,N/A,142.251.66.43,nan,1
139.84.226.78,vultr-johannesburg,491.925,490.765,1.002,-1.16,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,223.53,231.29500000000002,0.966,7.765,exited google,4142.076480413795,142.251.51.173,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,482.73,264.71,1.824,-218.02,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,481.5,482.32,0.998,0.82,exited google,12069.549437543319,192.178.248.32,AS15169 Google LLC,2
1asb.com,tranco-rank100k,1.44,110.88,0.013,109.44,exited google,4.751559825974831,108.170.233.105,AS15169 Google LLC,1
1c.ru,tranco-top1k,476.1,490.08,0.971,13.98,exited google,4346.058628933967,72.14.237.202,AS15169 Google LLC,1
1drv.com,tranco-top1k,229.35500000000002,232.39,0.987,3.035,exited google,1144.6637132112571,72.14.235.110,AS15169 Google LLC,1
1exch.net,tranco-rank10k,110.65,110.65,1.0,0.0,exited google,4.751559825974831,172.253.50.246,AS15169 Google LLC,1
1goplus.com,tranco-rank10k,1.49,1.455,1.024,-0.035,exited google,4.751559825974831,108.170.233.105,AS15169 Google LLC,1
1internet.tv,tranco-rank10k,485.48,484.59,1.002,-0.89,exited google,6723.876503556953,192.178.97.50,AS15169 Google LLC,2
1nto.com,tranco-rank10k,1.43,1.405,1.018,-0.025,exited google,4.751559825974831,108.170.233.105,AS15169 Google LLC,1
1pr.ru,tranco-rank100k,471.95,613.21,0.77,141.26,exited google,4346.058628933967,172.253.51.75,AS15169 Google LLC,1
1slu.com,tranco-rank10k,1.35,1.02,1.324,-0.33,exited google,4.751559825974831,108.170.233.105,AS15169 Google LLC,1
1tamilmv.fi,tranco-rank10k,1.35,1.44,0.938,0.09,exited google,4.751559825974831,108.170.233.105,AS15169 Google LLC,1
208.72.154.76,vultr-honolulu,244.815,478.6,0.512,233.785,exited google,11339.894056080673,142.251.54.146,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,481.39,481.39,1.0,0.0,exited google,N/A,108.170.249.10,nan,2
