Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,236.93,231.46499999999997,1.024,-5.465,exited google,2578.2052485482845,72.14.236.39,AS15169 Google LLC,1
037hdx.tv,tranco-rank100k,1.66,1.8,0.922,0.14,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,245.66,233.8,1.051,-11.86,exited google,N/A,66.249.94.46,nan,2
104.156.244.232,vultr-miami,233.15,242.265,0.962,9.115,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,248.74,223.42,1.113,-25.32,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,241.73,225.59,1.072,-16.14,exited google,N/A,142.251.66.65,nan,1
108.61.193.166,vultr-atlanta,228.25,224.8,1.015,-3.45,exited google,N/A,108.170.248.94,nan,2
108.61.194.105,vultr-seattle,242.89,246.84,0.984,3.95,exited google,12994.447947800872,142.251.54.146,AS15169 Google LLC,1
108.61.196.101,vultr-london,492.24,230.66,2.134,-261.58,exited google,10844.690407241067,72.14.235.246,AS15169 Google LLC,1
108.61.198.102,vultr-amsterdam,497.42499999999995,239.335,2.078,-258.09,exited google,10488.43364935019,74.125.243.132,nan,2
108.61.201.151,vultr-tokyo,220.49,242.29500000000002,0.91,21.805,exited google,N/A,72.14.239.222,nan,1
108.61.209.127,vultr-paris,484.89,225.17,2.153,-259.72,exited google,N/A,72.14.235.97,nan,1
108.61.210.117,vultr-frankfurt,473.595,236.71,2.001,-236.885,exited google,N/A,66.249.94.174,nan,1
108.61.212.117,vultr-sydney,231.32,230.62,1.003,-0.7,exited google,N/A,74.125.251.94,nan,1
108.61.219.200,vultr-los angeles,224.595,242.05,0.928,17.455,exited google,14142.408802959828,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,1.47,228.65,0.006,227.18,exited google,17.482398342524316,108.170.237.141,AS15169 Google LLC,1
11kk.love,tranco-rank10k,6.1,2.01,3.035,-4.09,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
123mkv.team,tranco-rank100k,1.61,1.73,0.931,0.12,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
1242.com,tranco-rank100k,245.405,233.195,1.052,-12.21,exited google,5315.727226697077,108.170.248.242,nan,2
139.84.130.100,vultr-bangalore,241.16,238.81,1.01,-2.35,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,219.28,241.775,0.907,22.495,exited google,N/A,74.125.37.85,nan,1
139.84.226.78,vultr-johannesburg,489.82,470.78999999999996,1.04,-19.03,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,1.66,240.51,0.007,238.85,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,225.505,237.84,0.948,12.335,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,238.8,225.31,1.06,-13.49,exited google,2578.2052485482845,142.250.238.192,AS15169 Google LLC,2
1c.ru,tranco-top1k,484.39,492.39,0.984,8.0,exited google,8409.202647355025,142.250.234.165,AS15169 Google LLC,1
1drv.com,tranco-top1k,1.23,232.16,0.005,230.93,exited google,17.482398342524316,108.170.237.141,AS15169 Google LLC,1
1learn.in,tranco-rank100k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
1nto.com,tranco-rank10k,1.61,1.54,1.045,-0.07,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
1slu.com,tranco-rank10k,1.61,2.89,0.557,1.28,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
208.72.154.76,vultr-honolulu,230.625,230.46,1.001,-0.165,exited google,12994.447947800872,142.251.54.146,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,482.37,477.64,1.01,-4.73,exited google,N/A,108.170.228.187,nan,1
216.238.66.16,vultr-mexico city,111.7,241.535,0.462,129.835,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
216.238.98.118,vultr-sao paulo,478.85,491.56,0.974,12.71,exited google,N/A,209.85.246.80,nan,2
21wiz.com,tranco-rank10k,1.2850000000000001,1.99,0.646,0.705,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
24-hd.com,tranco-rank10k,491.1,1.2149999999999999,404.198,-489.885,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
24-jav.com,tranco-rank10k,115.81,1.795,64.518,-114.015,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
2gis.com,tranco-top1k,486.775,487.69500000000005,0.998,0.92,exited google,N/A,74.125.251.219,nan,1
2xpro.net,tranco-rank100k,1.67,250.98499999999999,0.007,249.315,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
32red.com,tranco-rank10k,238.015,225.69,1.055,-12.325,exited google,2578.2052485482845,72.14.236.39,AS15169 Google LLC,1
33across.com,tranco-top1k,1.71,1.71,1.0,0.0,exited google,17.482398342524316,108.170.236.138,AS15169 Google LLC,2
360.cn,tranco-top1k,1.31,240.67,0.005,239.36,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
360safe.com,tranco-top1k,1.68,229.96,0.007,228.28,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
360yield.com,tranco-top1k,492.43,492.43,1.0,0.0,exited google,10844.690407241067,192.178.97.108,AS15169 Google LLC,2
3ddd.ru,tranco-rank10k,482.78,498.1,0.969,15.32,exited google,8409.202647355025,142.250.234.164,AS15169 Google LLC,1
3gl.net,tranco-rank10k,233.73,230.12,1.016,-3.61,exited google,2578.2052485482845,72.14.236.39,AS15169 Google LLC,1
3gpking.name,tranco-rank10k,1.64,1.48,1.108,-0.16,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
45.32.100.168,vultr-singapore,1.685,1.59,1.06,-0.095,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
49erswebzone.com,tranco-rank100k,1.49,1.47,1.014,-0.02,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
4netplayers.com,tranco-rank100k,477.745,237.8,2.009,-239.945,exited google,10488.43364935019,142.251.51.160,AS15169 Google LLC,1
5eos306rsc.com,tranco-rank10k,N/A,1.6,N/A,N/A,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,2
64.176.162.16,vultr-tel aviv,483.77,251.21,1.926,-232.56,exited google,N/A,72.14.238.165,nan,1
64.176.178.136,vultr-manchester,231.3,234.86,0.985,3.56,exited google,2578.2052485482845,72.14.236.39,AS15169 Google LLC,1
64.176.2.7,vultr-santiago,220.06,484.6,0.454,264.54,exited google,12994.447947800872,72.14.237.48,AS15169 Google LLC,1
64.176.34.94,vultr-osaka,230.74,242.74,0.951,12.0,exited google,N/A,142.250.56.204,nan,2
65.20.66.100,vultr-mumbai,226.14499999999998,227.53,0.994,1.385,exited google,N/A,142.250.213.233,nan,1
66lottery20.com,tranco-rank10k,1.415,2.065,0.685,0.65,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
67.219.110.24,vultr-melbourne,233.075,230.405,1.012,-2.67,exited google,N/A,142.250.224.105,nan,1
6855.org,tranco-rank10k,1.65,2.19,0.753,0.54,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
70.34.194.86,vultr-stockholm,481.77,247.46,1.947,-234.31,exited google,N/A,72.14.233.196,nan,1
70.34.242.24,vultr-warsaw,490.405,243.64,2.013,-246.765,exited google,N/A,74.125.252.117,nan,1
77luckyn.com,tranco-rank100k,1.72,2.01,0.856,0.29,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
77moviehd.com,tranco-rank100k,1.46,1.23,1.187,-0.23,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
77nekoaffiliate.com,tranco-rank100k,1.54,1.43,1.077,-0.11,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
789.club,tranco-rank10k,1.66,1.7,0.976,0.04,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
78wine.vip,tranco-rank10k,1.5,1.69,0.888,0.19,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
79-mix.com,tranco-rank100k,2.01,1.98,1.015,-0.03,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
7dak25e.org,tranco-rank10k,621.95,238.92,2.603,-383.03,exited google,12994.447947800872,142.251.49.8,AS15169 Google LLC,4
7dak25et.com,tranco-rank10k,241.26999999999998,238.46,1.012,-2.81,exited google,12994.447947800872,142.251.49.8,AS15169 Google LLC,1
7dak25wb.org,tranco-rank10k,230.435,248.16,0.929,17.725,exited google,12994.447947800872,142.251.49.8,AS15169 Google LLC,1
7pass.de,tranco-rank100k,245.06,231.93,1.057,-13.13,exited google,2578.2052485482845,72.14.236.39,AS15169 Google LLC,1
7yqfcoolke.com,tranco-rank100k,3.7,1.93,1.917,-1.77,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
99789bet.vip,tranco-rank100k,1.46,1.46,1.0,0.0,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
9news.com.au,tranco-rank10k,2.455,5.23,0.469,2.775,exited google,17.482398342524316,108.170.237.141,AS15169 Google LLC,1
a-mo.net,tranco-top1k,235.305,237.53,0.991,2.225,exited google,2578.2052485482845,72.14.236.39,AS15169 Google LLC,1
a2sports.co,tranco-rank100k,1.5,219.97,0.007,218.47,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
a3y4g6bvae.com,tranco-rank100k,490.54,471.46,1.04,-19.08,exited google,N/A,142.250.234.160,nan,1
a8.net,tranco-rank10k,110.52,110.52,1.0,0.0,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
aalto.fi,tranco-rank10k,1.65,1.65,1.0,0.0,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
aappublications.org,tranco-rank10k,1.5750000000000002,1489.11,0.001,1487.535,exited google,17.482398342524316,108.170.237.141,AS15169 Google LLC,1
abc7.com,tranco-rank10k,221.16,236.11,0.937,14.95,exited google,2578.2052485482845,72.14.236.39,AS15169 Google LLC,1
abgmlenuk.wiki,tranco-rank100k,110.49499999999999,110.49499999999999,1.0,0.0,last node was google,17.482398342524316,72.14.232.209,AS15169 Google LLC,4
abo2sadam.net,tranco-rank100k,1.34,237.07,0.006,235.73,exited google,17.482398342524316,108.170.237.141,AS15169 Google LLC,1
aboutads.info,tranco-top1k,1.51,1.71,0.883,0.2,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
academia.edu,tranco-top1k,1.8,1.8,1.0,0.0,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
acadeu.com,tranco-rank10k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
accuweather.com,tranco-top1k,1.19,2.99,0.398,1.8,exited google,17.482398342524316,74.125.119.221,AS15169 Google LLC,2
acsechocaptiveportal.com,tranco-rank10k,226.31,226.31,1.0,0.0,exited google,15661.22883954748,216.239.50.52,AS15169 Google LLC,2
action-media.ru,tranco-rank10k,489.63,266.45,1.838,-223.18,exited google,8409.202647355025,142.250.234.164,AS15169 Google LLC,1
ad.gt,tranco-top1k,228.58,225.67,1.013,-2.91,exited google,12994.447947800872,142.251.49.8,AS15169 Google LLC,1
ad2iction.com,tranco-rank100k,229.14499999999998,237.36,0.965,8.215,exited google,N/A,72.14.239.222,nan,1
ad4m.at,tranco-rank10k,1.6749999999999998,1.78,0.941,0.105,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
adamieva.info,tranco-rank10k,1.6800000000000002,1.65,1.018,-0.03,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
adblockplus.org,tranco-top1k,115.785,115.785,1.0,0.0,exited google,17.482398342524316,172.253.70.40,AS15169 Google LLC,2
addtoany.com,tranco-top1k,1.95,2.68,0.728,0.73,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
adform.net,tranco-top1k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
adftech.com.br,tranco-rank100k,247.2,223.93,1.104,-23.27,exited google,2578.2052485482845,72.14.236.39,AS15169 Google LLC,1
aditude.cloud,tranco-rank10k,110.6,7.39,14.966,-103.21,exited google,17.482398342524316,108.170.237.141,AS15169 Google LLC,1
adjust.com,tranco-top1k,1.41,1.41,1.0,0.0,exited google,17.482398342524316,108.170.237.141,AS15169 Google LLC,1
adkit-advertising.amazon,tranco-rank100k,240.57,232.19,1.036,-8.38,exited google,2578.2052485482845,72.14.236.39,AS15169 Google LLC,1
admarketplace.net,tranco-rank100k,110.28,110.28,1.0,0.0,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
admost.com,tranco-rank10k,12.01,1.43,8.399,-10.58,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
adobe.io,tranco-top1k,235.075,235.075,1.0,0.0,exited google,15661.22883954748,142.251.247.61,AS15169 Google LLC,1
adobe.net,tranco-top1k,237.65,229.525,1.035,-8.125,exited google,2578.2052485482845,72.14.236.39,AS15169 Google LLC,1
adobeprimetime.com,tranco-rank10k,240.09,240.09,1.0,0.0,exited google,15661.22883954748,142.251.247.61,AS15169 Google LLC,1
adprime.com,tranco-rank10k,1.47,1.605,0.916,0.135,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
adsafeprotected.com,tranco-top1k,483.97,483.97,1.0,0.0,exited google,7954.402450539809,142.251.224.81,AS15169 Google LLC,1
adserving.ru,tranco-rank100k,479.3,483.88,0.991,4.58,exited google,8956.989989920317,74.125.244.134,AS15169 Google LLC,2
adspector.io,tranco-rank10k,1.5,2.08,0.721,0.58,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
adsrvr.org,tranco-top1k,2.65,2.65,1.0,0.0,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
adtrafficquality.google,tranco-top1k,0.32,0.32,1.0,0.0,last node was google,17.482398342524316,74.125.200.103,AS15169 Google LLC,10
adzuna.co.uk,tranco-rank100k,486.9,480.77,1.013,-6.13,exited google,10844.690407241067,72.14.235.246,AS15169 Google LLC,1
aeroflowbreastpumps.com,tranco-rank100k,1.81,1.81,1.0,0.0,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
afternic.com,tranco-top1k,238.74,226.19,1.055,-12.55,exited google,2578.2052485482845,72.14.236.39,AS15169 Google LLC,1
afthemes.com,tranco-rank10k,241.62,241.62,1.0,0.0,exited google,N/A,216.239.47.205,nan,12
agenteimmobiliare.info,tranco-rank10k,1.495,1.355,1.103,-0.14,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
agoda.com,tranco-top1k,1.62,226.065,0.007,224.445,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
agora.io,tranco-top1k,230.27,230.27,1.0,0.0,exited google,2578.2052485482845,72.14.236.39,AS15169 Google LLC,1
ahen.me,tranco-rank10k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
ahlens.se,tranco-rank100k,480.815,252.76,1.902,-228.055,exited google,N/A,142.250.213.86,nan,1
ahrefs.dev,tranco-rank100k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
aia.com,tranco-rank100k,2.5149999999999997,243.16,0.01,240.645,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
aig.com,tranco-rank10k,236.655,236.655,1.0,0.0,exited google,15661.22883954748,142.251.247.61,AS15169 Google LLC,1
ailawandorder.com,tranco-top1k,225.45,243.445,0.926,17.995,exited google,2578.2052485482845,72.14.239.93,AS15169 Google LLC,1
airbnb.co.uk,tranco-rank10k,223.67,223.67,1.0,0.0,exited google,15661.22883954748,142.251.247.61,AS15169 Google LLC,1
airbnb.com,tranco-top1k,232.54000000000002,232.54000000000002,1.0,0.0,exited google,15661.22883954748,216.239.50.52,AS15169 Google LLC,2
airbrake.io,tranco-rank10k,245.975,245.975,1.0,0.0,exited google,15661.22883954748,216.239.62.134,AS15169 Google LLC,2
airportseirosafar.com,tranco-rank100k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
ajaibsnack.com,tranco-rank100k,1.8,2.18,0.826,0.38,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
akaqa.com,tranco-rank100k,232.89,230.16500000000002,1.012,-2.725,exited google,N/A,72.14.239.222,nan,1
aksesbayar.com,tranco-rank100k,1.25,1.51,0.828,0.26,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
alaska.edu,tranco-rank10k,243.01,239.72500000000002,1.014,-3.285,exited google,12994.447947800872,142.251.54.146,AS15169 Google LLC,1
alaskaair.net,tranco-rank100k,222.07,226.82,0.979,4.75,exited google,12994.447947800872,72.14.237.48,AS15169 Google LLC,1
alastonsuomi.com,tranco-rank10k,479.42,231.76,2.069,-247.66,exited google,10488.43364935019,66.249.95.7,AS15169 Google LLC,1
alexislandrover.com,tranco-rank10k,1.68,2.13,0.789,0.45,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
alibaba.com,tranco-top1k,246.17,240.39,1.024,-5.78,exited google,15529.846337881698,108.170.233.255,AS15169 Google LLC,1
alicdn.com,tranco-top1k,1.64,236.515,0.007,234.875,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
alidns.com,tranco-top1k,2.8499999999999996,221.52,0.013,218.67,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
aliexpress.com,tranco-top1k,2.51,2.51,1.0,0.0,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
aliyun.com,tranco-top1k,1.96,232.42000000000002,0.008,230.46,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
aliyuncs.com,tranco-top1k,1.42,227.09,0.006,225.67,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
allaboutcookies.org,tranco-top1k,1.3,2.11,0.616,0.81,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
allegro.pl,tranco-top1k,486.54,486.54,1.0,0.0,exited google,9843.42966302557,192.178.99.18,AS15169 Google LLC,2
alloschool.com,tranco-rank10k,240.36,245.05,0.981,4.69,exited google,12994.447947800872,142.251.49.8,AS15169 Google LLC,1
allthingshair.com,tranco-rank100k,1.91,229.49,0.008,227.58,exited google,17.482398342524316,74.125.118.179,AS15169 Google LLC,2
alma-de-cuba.com,tranco-rank100k,1.82,1.83,0.995,0.01,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
almesasports.com,tranco-rank10k,1.46,1.7000000000000002,0.859,0.24,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
alternet.org,tranco-rank10k,237.6,237.6,1.0,0.0,exited google,15661.22883954748,216.239.62.134,AS15169 Google LLC,2
altova.com,tranco-rank100k,1.47,124.375,0.012,122.905,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
alweereenwinnaar.nl,tranco-rank100k,477.3,230.24,2.073,-247.06,exited google,10488.43364935019,74.125.242.164,nan,2
amagi.tv,tranco-top1k,238.04000000000002,241.54500000000002,0.985,3.505,exited google,15661.22883954748,142.251.247.61,AS15169 Google LLC,1
amazon-adsystem.com,tranco-top1k,229.155,229.155,1.0,0.0,exited google,15661.22883954748,216.239.62.134,AS15169 Google LLC,2
amazon.ca,tranco-top1k,238.68,238.68,1.0,0.0,exited google,15661.22883954748,142.251.247.61,AS15169 Google LLC,1
amazon.co.jp,tranco-top1k,233.94,230.355,1.016,-3.585,exited google,12994.447947800872,142.251.49.8,AS15169 Google LLC,1
amazon.co.uk,tranco-top1k,487.03,487.03,1.0,0.0,exited google,5721.555574048944,74.125.37.73,AS15169 Google LLC,1
amazon.com,tranco-top1k,248.05,248.05,1.0,0.0,exited google,15661.22883954748,142.251.247.61,AS15169 Google LLC,1
amazon.com.au,tranco-top1k,243.28500000000003,239.25,1.017,-4.035,exited google,12994.447947800872,142.251.54.146,AS15169 Google LLC,1
amazon.com.br,tranco-top1k,242.65,242.65,1.0,0.0,exited google,15661.22883954748,172.253.78.58,AS15169 Google LLC,2
amazon.de,tranco-top1k,498.67,498.67,1.0,0.0,exited google,5721.555574048944,108.170.227.216,AS15169 Google LLC,1
amazon.es,tranco-top1k,475.995,475.995,1.0,0.0,exited google,5721.555574048944,108.170.227.216,AS15169 Google LLC,1
amazon.fr,tranco-top1k,476.25,476.25,1.0,0.0,exited google,5721.555574048944,74.125.37.73,AS15169 Google LLC,1
amazon.in,tranco-top1k,991.83,991.83,1.0,0.0,exited google,5721.555574048944,108.170.227.216,AS15169 Google LLC,1
amazon.it,tranco-top1k,473.56,473.56,1.0,0.0,exited google,5721.555574048944,74.125.37.73,AS15169 Google LLC,1
amazonaws.com,tranco-top1k,235.89999999999998,235.89999999999998,1.0,0.0,exited google,15661.22883954748,216.239.62.134,AS15169 Google LLC,2
amazontrust.com,tranco-top1k,1.3,1.3,1.0,0.0,exited google,17.482398342524316,142.251.51.173,AS15169 Google LLC,1
amazonvideo.com,tranco-top1k,3.875,3.875,1.0,0.0,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
ameblo.jp,tranco-top1k,110.385,110.385,1.0,0.0,exited google,17.482398342524316,172.253.70.40,AS15169 Google LLC,2
american.edu,tranco-rank10k,1.51,1.83,0.825,0.32,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
americanmeadows.com,tranco-rank100k,228.345,228.345,1.0,0.0,exited google,15661.22883954748,216.239.57.144,AS15169 Google LLC,2
americanprogress.org,tranco-rank10k,3.32,3.32,1.0,0.0,exited google,17.482398342524316,108.170.237.141,AS15169 Google LLC,1
americascup.com,tranco-rank100k,1.38,1.38,1.0,0.0,exited google,17.482398342524316,108.170.237.141,AS15169 Google LLC,1
amnh.org,tranco-rank10k,1.85,1.42,1.303,-0.43,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
amplitude.com,tranco-top1k,1.62,2.83,0.572,1.21,exited google,17.482398342524316,142.251.51.173,AS15169 Google LLC,1
ampproject.org,tranco-top1k,110.19000000000001,110.19000000000001,1.0,0.0,last node was google,17.482398342524316,74.125.200.113,AS15169 Google LLC,11
ampr.org,tranco-rank100k,243.36,245.26,0.992,1.9,exited google,2578.2052485482845,72.14.236.39,AS15169 Google LLC,1
amuniversal.com,tranco-rank100k,1.45,1.45,1.0,0.0,exited google,17.482398342524316,108.170.237.141,AS15169 Google LLC,1
amzn.to,tranco-top1k,0.32,0.32,1.0,0.0,last node was google,15340.273372500624,67.199.248.13,AS396982 Google LLC,13
anaajkharid.in,tranco-rank100k,1.35,488.62,0.003,487.27,exited google,17.482398342524316,108.170.237.141,AS15169 Google LLC,1
analog.com,tranco-rank10k,239.61,230.91,1.038,-8.7,exited google,14142.408802959828,66.249.94.36,AS15169 Google LLC,1
ancestry.com,tranco-top1k,1.31,1.73,0.757,0.42,exited google,17.482398342524316,72.14.232.209,AS15169 Google LLC,1
android.com,tranco-top1k,0.56,0.56,1.0,0.0,last node was google,17.482398342524316,74.125.200.104,AS15169 Google LLC,11
andyday.pe,tranco-rank100k,1.475,1.64,0.899,0.165,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
angkabet89100.com,tranco-rank100k,1.255,1.83,0.686,0.575,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
animasu.cc,tranco-rank10k,115.77,1.65,70.164,-114.12,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
aniview.com,tranco-top1k,249.62,241.3,1.034,-8.32,exited google,N/A,142.251.52.186,nan,1
anm.co.uk,tranco-rank10k,483.79,483.79,1.0,0.0,exited google,10844.690407241067,192.178.97.182,AS15169 Google LLC,2
annualreviews.org,tranco-rank10k,1.59,1.98,0.803,0.39,exited google,17.482398342524316,142.250.237.158,AS15169 Google LLC,1
