Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,234.86,235.32,0.998,0.46,exited google,7391.0197634103715,72.14.236.39,AS15169 Google LLC,1
037hdx.tv,tranco-rank100k,227.54500000000002,14.75,15.427,-212.795,exited google,713.7857966134109,192.178.97.154,AS15169 Google LLC,2
07br.cc,tranco-rank100k,13.5,226.27,0.06,212.77,exited google,713.7857966134109,192.178.97.88,AS15169 Google LLC,2
104.156.230.107,vultr-silicon valley,235.06,238.75,0.985,3.69,exited google,N/A,74.125.243.90,nan,2
104.156.244.232,vultr-miami,237.89,224.23,1.061,-13.66,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,230.14,246.37,0.934,16.23,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,243.55,246.62,0.988,3.07,exited google,N/A,142.251.66.65,nan,1
108.61.193.166,vultr-atlanta,225.175,234.99,0.958,9.815,exited google,N/A,74.125.243.166,nan,2
108.61.194.105,vultr-seattle,235.39999999999998,238.64,0.986,3.24,exited google,13165.971327765845,142.251.54.146,AS15169 Google LLC,1
108.61.196.101,vultr-london,376.08000000000004,473.74,0.794,97.66,exited google,16898.35521073143,72.14.235.246,AS15169 Google LLC,1
108.61.198.102,vultr-amsterdam,486.24,369.35,1.316,-116.89,exited google,16540.49827023107,74.125.242.164,nan,2
108.61.201.151,vultr-tokyo,238.04500000000002,224.74,1.059,-13.305,exited google,8156.056004491087,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,486.445,475.65,1.023,-10.795,exited google,N/A,108.170.238.44,nan,2
108.61.210.117,vultr-frankfurt,476.27,371.63,1.282,-104.64,exited google,N/A,66.249.94.174,nan,1
108.61.212.117,vultr-sydney,18.06,226.53,0.08,208.47,exited google,713.7857966134109,192.178.97.154,AS15169 Google LLC,2
108.61.219.200,vultr-los angeles,233.07,229.64,1.015,-3.43,exited google,12764.033695616085,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,225.36,231.52,0.973,6.16,exited google,713.7857966134109,192.178.97.92,AS15169 Google LLC,2
10g.su,tranco-rank100k,485.03999999999996,490.66,0.989,5.62,exited google,N/A,216.239.57.150,nan,2
11kk.love,tranco-rank10k,120.27,223.82,0.537,103.55,exited google,713.7857966134109,192.178.97.216,AS15169 Google LLC,2
123-hd.com,tranco-rank10k,15.05,227.135,0.066,212.085,exited google,713.7857966134109,192.178.97.216,AS15169 Google LLC,2
1242.com,tranco-rank100k,230.59,245.24,0.94,14.65,exited google,8156.056004491087,72.14.239.222,AS15169 Google LLC,1
139.84.130.100,vultr-bangalore,242.6,219.97,1.103,-22.63,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,239.965,227.38,1.055,-12.585,exited google,N/A,74.125.37.85,nan,1
139.84.226.78,vultr-johannesburg,499.34,484.37,1.031,-14.97,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,121.97,225.75,0.54,103.78,exited google,713.7857966134109,192.178.97.224,AS15169 Google LLC,2
149.248.50.81,vultr-toronto,229.29,232.24,0.987,2.95,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,241.95,473.76,0.511,231.81,exited google,16348.165838915853,108.170.233.255,AS15169 Google LLC,1
1asb.com,tranco-rank100k,12.93,224.58,0.058,211.65,exited google,713.7857966134109,192.178.97.88,AS15169 Google LLC,2
1c.ru,tranco-top1k,486.44,474.1,1.026,-12.34,exited google,14412.18560513543,142.250.234.165,AS15169 Google LLC,1
1drv.com,tranco-top1k,13.280000000000001,252.485,0.053,239.205,exited google,713.7857966134109,192.178.98.30,AS15169 Google LLC,2
1goplus.com,tranco-rank10k,230.46,243.095,0.948,12.635,exited google,713.7857966134109,192.178.97.224,AS15169 Google LLC,2
1nto.com,tranco-rank10k,228.32,17.66,12.929,-210.66,exited google,713.7857966134109,192.178.98.28,AS15169 Google LLC,2
1tamilyogi.vote,tranco-rank10k,121.105,222.52,0.544,101.415,exited google,713.7857966134109,192.178.97.154,AS15169 Google LLC,2
1und1.de,tranco-rank10k,477.62,477.62,1.0,0.0,exited google,16898.35521073143,72.14.235.239,AS15169 Google LLC,1
208.72.154.76,vultr-honolulu,231.07,239.29,0.966,8.22,exited google,12764.033695616085,142.251.65.157,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,476.24,476.24,1.0,0.0,exited google,N/A,108.170.228.187,nan,1
216.238.66.16,vultr-mexico city,219.91,237.27,0.927,17.36,exited google,713.7857966134109,192.178.97.216,AS15169 Google LLC,2
216.238.98.118,vultr-sao paulo,489.385,479.06,1.022,-10.325,exited google,N/A,209.85.244.148,nan,2
21wiz.com,tranco-rank10k,119.715,122.195,0.98,2.48,exited google,713.7857966134109,192.178.97.216,AS15169 Google LLC,2
24-jav.com,tranco-rank10k,119.075,607.98,0.196,488.905,exited google,713.7857966134109,192.178.98.28,AS15169 Google LLC,2
2gis.com,tranco-top1k,478.375,491.84,0.973,13.465,exited google,16898.35521073143,74.125.251.219,AS15169 Google LLC,1
32red.com,tranco-rank10k,226.77,474.61,0.478,247.84,exited google,7391.0197634103715,72.14.236.39,AS15169 Google LLC,1
33across.com,tranco-top1k,13.73,13.73,1.0,0.0,exited google,713.7857966134109,192.178.97.92,AS15169 Google LLC,2
360.cn,tranco-top1k,243.03,469.5,0.518,226.47,exited google,13165.971327765845,209.85.241.183,AS15169 Google LLC,1
360safe.com,tranco-top1k,230.02,495.07,0.465,265.05,exited google,12764.033695616085,142.251.65.157,AS15169 Google LLC,1
360yield.com,tranco-top1k,484.73,484.73,1.0,0.0,exited google,16898.35521073143,192.178.97.50,AS15169 Google LLC,2
399mb.com,tranco-rank100k,1.54,3.15,0.489,1.61,exited google,0.0477624393316949,108.170.255.224,AS15169 Google LLC,2
3ddd.ru,tranco-rank10k,486.91,491.03,0.992,4.12,exited google,14412.18560513543,142.250.234.164,AS15169 Google LLC,1
3gl.net,tranco-rank10k,228.57,242.73,0.942,14.16,exited google,7391.0197634103715,72.14.236.39,AS15169 Google LLC,1
3isk.biz,tranco-rank10k,122.685,222.42,0.552,99.735,exited google,713.7857966134109,192.178.97.216,AS15169 Google LLC,2
3lift.com,tranco-top1k,1.21,1.6,0.756,0.39,exited google,0.0477624393316949,142.250.224.122,AS15169 Google LLC,1
45.32.100.168,vultr-singapore,245.06,361.94,0.677,116.88,exited google,6046.890522538192,142.250.237.158,AS15169 Google LLC,1
49erswebzone.com,tranco-rank100k,13.945,14.27,0.977,0.325,exited google,713.7857966134109,192.178.98.28,AS15169 Google LLC,2
4netplayers.com,tranco-rank100k,475.30499999999995,262.83,1.808,-212.475,exited google,N/A,142.251.51.160,nan,1
5movierulz.immo,tranco-rank10k,229.595,222.59,1.031,-7.005,exited google,713.7857966134109,192.178.97.224,AS15169 Google LLC,2
5movierulz.luxe,tranco-rank10k,14.28,14.37,0.994,0.09,exited google,713.7857966134109,192.178.97.224,AS15169 Google LLC,2
64.176.162.16,vultr-tel aviv,476.53,482.57500000000005,0.987,6.045,exited google,16898.35521073143,192.178.97.48,AS15169 Google LLC,2
64.176.178.136,vultr-manchester,219.88,491.83000000000004,0.447,271.95,exited google,7391.0197634103715,72.14.236.39,AS15169 Google LLC,1
64.176.2.7,vultr-santiago,229.56,479.27,0.479,249.71,exited google,12764.033695616085,142.251.65.164,AS15169 Google LLC,1
64.176.34.94,vultr-osaka,349.675,233.765,1.496,-115.91,exited google,N/A,142.251.241.129,nan,1
65.20.66.100,vultr-mumbai,228.645,238.41500000000002,0.959,9.77,exited google,N/A,142.250.213.233,nan,1
66lottery20.com,tranco-rank10k,226.435,14.81,15.289,-211.625,exited google,713.7857966134109,192.178.97.92,AS15169 Google LLC,2
67.219.110.24,vultr-melbourne,0.96,1.24,0.774,0.28,exited google,0.0477624393316949,192.178.98.92,AS15169 Google LLC,2
70.34.194.86,vultr-stockholm,492.73,484.235,1.018,-8.495,exited google,N/A,142.250.236.116,nan,2
70.34.242.24,vultr-warsaw,497.81,485.20500000000004,1.026,-12.605,exited google,N/A,216.239.58.134,nan,2
77moviehd.com,tranco-rank100k,230.6,222.73,1.035,-7.87,exited google,713.7857966134109,192.178.97.88,AS15169 Google LLC,2
77nekoaffiliate.com,tranco-rank100k,13.8,231.22,0.06,217.42,exited google,713.7857966134109,192.178.97.92,AS15169 Google LLC,2
789.club,tranco-rank10k,224.12,14.9,15.042,-209.22,exited google,713.7857966134109,192.178.97.142,AS15169 Google LLC,2
78wine.vip,tranco-rank10k,14.19,121.13000000000001,0.117,106.94,exited google,713.7857966134109,192.178.98.32,AS15169 Google LLC,2
7dak25e.org,tranco-rank10k,242.87,472.01,0.515,229.14,exited google,13165.971327765845,142.251.49.8,AS15169 Google LLC,1
7dak25wb.org,tranco-rank10k,235.95499999999998,474.92,0.497,238.965,exited google,13165.971327765845,142.251.49.8,AS15169 Google LLC,1
7wickets.live,tranco-rank100k,14.085,123.05,0.114,108.965,exited google,713.7857966134109,192.178.98.28,AS15169 Google LLC,2
7yqfcoolke.com,tranco-rank100k,13.61,220.39,0.062,206.78,exited google,713.7857966134109,192.178.98.28,AS15169 Google LLC,2
988lifeline.org,tranco-rank10k,13.53,221.95,0.061,208.42,exited google,713.7857966134109,192.178.97.88,AS15169 Google LLC,2
99789bet.vip,tranco-rank100k,4.85,2.97,1.633,-1.88,exited google,0.0477624393316949,108.170.255.72,AS15169 Google LLC,2
99exch.com,tranco-rank10k,223.12,223.12,1.0,0.0,exited google,6046.890522538192,72.14.232.209,AS15169 Google LLC,1
9news.com.au,tranco-rank10k,1.98,4.95,0.4,2.97,exited google,0.0477624393316949,108.170.255.226,AS15169 Google LLC,2
9xflix.foo,tranco-rank10k,14.01,14.16,0.989,0.15,exited google,713.7857966134109,192.178.97.92,AS15169 Google LLC,2
a-mo.net,tranco-top1k,224.03,245.4,0.913,21.37,exited google,12764.033695616085,142.251.65.159,AS15169 Google LLC,1
a222555.com,tranco-rank100k,221.97,14.92,14.877,-207.05,exited google,713.7857966134109,192.178.97.224,AS15169 Google LLC,2
a2sports.co,tranco-rank100k,228.135,14.18,16.089,-213.955,exited google,713.7857966134109,192.178.98.28,AS15169 Google LLC,2
