Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
07br.cc,tranco-rank100k,220.7,7.9799999999999995,27.657,-212.72,exited google,539.7985660593718,72.14.237.54,AS15169 Google LLC,2
104.156.230.107,vultr-silicon valley,224.28,220.49,1.017,-3.79,exited google,N/A,108.170.252.30,nan,2
104.156.244.232,vultr-miami,232.335,243.6,0.954,11.265,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,226.11,233.175,0.97,7.065,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,242.91,234.5,1.036,-8.41,exited google,6731.920669967959,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,232.875,232.3,1.002,-0.575,exited google,N/A,74.125.243.158,nan,2
108.61.194.105,vultr-seattle,247.09,234.0,1.056,-13.09,exited google,7706.09921990176,142.251.54.146,AS15169 Google LLC,1
108.61.196.101,vultr-london,247.195,238.59,1.036,-8.605,exited google,N/A,72.14.235.246,nan,1
108.61.198.102,vultr-amsterdam,228.64499999999998,227.32,1.006,-1.325,exited google,1648.3136504954425,74.125.242.186,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,244.485,245.6,0.995,1.115,exited google,N/A,72.14.239.222,nan,1
108.61.209.127,vultr-paris,224.3,228.65,0.981,4.35,exited google,N/A,108.170.255.222,nan,2
108.61.210.117,vultr-frankfurt,231.38,225.56,1.026,-5.82,exited google,1652.1071103651138,192.178.109.234,AS15169 Google LLC,2
108.61.212.117,vultr-sydney,478.99,494.54,0.969,15.55,exited google,N/A,66.249.94.19,nan,1
108.61.219.200,vultr-los angeles,226.15,235.16,0.962,9.01,exited google,N/A,142.251.65.159,nan,1
108.61.224.175,vultr-dallas,2.71,135.16,0.02,132.45,exited google,143.87990302576065,108.170.228.237,AS15169 Google LLC,1
11kk.love,tranco-rank10k,116.425,8.85,13.155,-107.575,exited google,539.7985660593718,72.14.237.54,AS15169 Google LLC,2
123-hd.com,tranco-rank10k,226.46,116.75999999999999,1.94,-109.7,exited google,539.7985660593718,216.239.57.150,AS15169 Google LLC,2
1242.com,tranco-rank100k,227.175,482.09,0.471,254.915,exited google,1652.1071103651138,209.85.252.20,AS15169 Google LLC,2
12moviesda.com,tranco-rank100k,224.45,223.21,1.006,-1.24,exited google,539.7985660593718,216.239.48.76,AS15169 Google LLC,2
139.84.130.100,vultr-bangalore,482.94,499.66,0.967,16.72,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,230.57,220.47,1.046,-10.1,exited google,803.4246021597276,172.253.51.75,AS15169 Google LLC,1
139.84.226.78,vultr-johannesburg,235.735,228.65,1.031,-7.085,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,228.05,478.34,0.477,250.29,exited google,1652.1071103651138,192.178.107.28,AS15169 Google LLC,2
149.248.50.81,vultr-toronto,227.94,232.62,0.98,4.68,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,9.655000000000001,483.07,0.02,473.415,exited google,539.7985660593718,192.178.44.86,AS15169 Google LLC,2
1asb.com,tranco-rank100k,20.98,115.655,0.181,94.675,exited google,539.7985660593718,142.251.248.193,AS15169 Google LLC,1
1c.ru,tranco-top1k,19.92,17.88,1.114,-2.04,exited google,803.4246021597276,142.250.234.165,AS15169 Google LLC,1
1drv.com,tranco-top1k,10.22,229.49,0.045,219.27,exited google,539.7985660593718,72.14.237.54,AS15169 Google LLC,2
1goplus.com,tranco-rank10k,225.625,117.85499999999999,1.914,-107.77,exited google,539.7985660593718,72.14.237.118,AS15169 Google LLC,2
1internet.tv,tranco-rank10k,2.61,220.38,0.012,217.77,exited google,143.87990302576065,108.170.232.216,AS15169 Google LLC,1
1learn.in,tranco-rank100k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
1nto.com,tranco-rank10k,9.88,10.42,0.948,0.54,exited google,539.7985660593718,72.14.237.54,AS15169 Google LLC,2
1slu.com,tranco-rank10k,225.88,9.37,24.107,-216.51,exited google,539.7985660593718,216.239.48.76,AS15169 Google LLC,2
1tamilyogi.vote,tranco-rank10k,222.75,222.75,1.0,0.0,exited google,539.7985660593718,72.14.233.196,AS15169 Google LLC,1
1und1.de,tranco-rank10k,359.97,230.435,1.562,-129.535,exited google,1652.1071103651138,142.250.209.65,AS15169 Google LLC,1
208.72.154.76,vultr-honolulu,224.28,229.70999999999998,0.976,5.43,exited google,6731.920669967959,142.251.60.123,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,228.67,228.67,1.0,0.0,exited google,N/A,108.170.252.252,nan,2
216.238.66.16,vultr-mexico city,2.9450000000000003,155.91,0.019,152.965,exited google,143.87990302576065,108.170.228.237,AS15169 Google LLC,1
216.238.98.118,vultr-sao paulo,236.87,226.66,1.045,-10.21,exited google,N/A,209.85.246.80,nan,2
21wiz.com,tranco-rank10k,9.78,10.18,0.961,0.4,exited google,539.7985660593718,72.14.237.118,AS15169 Google LLC,2
22.cn,tranco-rank10k,229.5,470.23,0.488,240.73,exited google,1652.1071103651138,192.178.107.28,AS15169 Google LLC,2
24-hd.com,tranco-rank10k,114.65,9.19,12.476,-105.46,exited google,539.7985660593718,72.14.237.118,AS15169 Google LLC,2
24-jav.com,tranco-rank10k,222.43,9.53,23.34,-212.9,exited google,539.7985660593718,142.251.254.214,AS15169 Google LLC,2
24exch.co,tranco-rank100k,227.89,227.89,1.0,0.0,exited google,6731.920669967959,142.251.60.176,AS15169 Google LLC,1
2gis.com,tranco-top1k,2.62,228.13,0.011,225.51,exited google,143.87990302576065,108.170.232.216,AS15169 Google LLC,1
32red.com,tranco-rank10k,2.81,223.02,0.013,220.21,exited google,143.87990302576065,108.170.228.237,AS15169 Google LLC,1
33across.com,tranco-top1k,2.7,2.7,1.0,0.0,exited google,143.87990302576065,64.233.174.170,AS15169 Google LLC,1
360.cn,tranco-top1k,235.2,508.82,0.462,273.62,exited google,1652.1071103651138,66.249.94.174,AS15169 Google LLC,1
360safe.com,tranco-top1k,237.61,478.14,0.497,240.53,exited google,6731.920669967959,142.251.66.65,AS15169 Google LLC,1
360yield.com,tranco-top1k,7.71,7.71,1.0,0.0,exited google,539.7985660593718,142.251.254.214,AS15169 Google LLC,2
3gl.net,tranco-rank10k,2.84,238.04,0.012,235.2,exited google,143.87990302576065,108.170.228.237,AS15169 Google LLC,1
3lift.com,tranco-top1k,231.68,231.68,1.0,0.0,exited google,1652.1071103651138,74.125.253.7,AS15169 Google LLC,1
45.32.100.168,vultr-singapore,483.62,248.53,1.946,-235.09,exited google,N/A,72.14.232.209,nan,1
4netplayers.com,tranco-rank100k,237.015,242.08499999999998,0.979,5.07,exited google,1652.1071103651138,209.85.252.20,AS15169 Google LLC,2
5eos306rsc.com,tranco-rank10k,8.985,219.53,0.041,210.545,exited google,539.7985660593718,72.14.233.196,AS15169 Google LLC,1
64.176.162.16,vultr-tel aviv,226.41,238.85,0.948,12.44,exited google,N/A,64.233.175.67,nan,1
64.176.178.136,vultr-manchester,2.67,232.3,0.011,229.63,exited google,143.87990302576065,108.170.228.237,AS15169 Google LLC,1
64.176.2.7,vultr-santiago,224.49,233.41,0.962,8.92,exited google,539.7985660593718,192.178.44.86,AS15169 Google LLC,2
64.176.34.94,vultr-osaka,258.12,258.83,0.997,0.71,exited google,N/A,142.251.241.128,nan,1
65.20.66.100,vultr-mumbai,477.32,480.84,0.993,3.52,exited google,N/A,142.250.213.235,nan,1
66lottery20.com,tranco-rank10k,8.91,115.765,0.077,106.855,exited google,539.7985660593718,216.239.48.76,AS15169 Google LLC,2
67.219.110.24,vultr-melbourne,498.71,481.78999999999996,1.035,-16.92,exited google,N/A,142.250.224.106,nan,1
6855.org,tranco-rank10k,9.15,118.13,0.077,108.98,exited google,539.7985660593718,216.239.57.150,AS15169 Google LLC,2
70.34.194.86,vultr-stockholm,8.98,9.175,0.979,0.195,exited google,539.7985660593718,72.14.237.54,AS15169 Google LLC,2
70.34.242.24,vultr-warsaw,226.73,222.495,1.019,-4.235,exited google,1007.9139855707963,64.233.174.228,nan,2
79-mix.com,tranco-rank100k,8.934999999999999,219.39,0.041,210.455,exited google,539.7985660593718,216.239.48.76,AS15169 Google LLC,2
7dak25e.org,tranco-rank10k,505.07500000000005,232.26,2.175,-272.815,exited google,1007.9139855707963,74.125.252.117,AS15169 Google LLC,6
7dak25er.org,tranco-rank10k,N/A,735.075,N/A,N/A,exited google,1007.9139855707963,74.125.252.117,AS15169 Google LLC,5
7dak25et.com,tranco-rank10k,256.95,234.45499999999998,1.096,-22.495,exited google,1007.9139855707963,216.239.58.134,AS15169 Google LLC,9
7yqfcoolke.com,tranco-rank100k,8.71,10.4,0.838,1.69,exited google,539.7985660593718,216.239.57.150,AS15169 Google LLC,2
888ifun.com,tranco-rank100k,10.21,10.55,0.968,0.34,exited google,539.7985660593718,216.239.57.150,AS15169 Google LLC,2
988lifeline.org,tranco-rank10k,221.32,9.52,23.248,-211.8,exited google,539.7985660593718,192.178.44.86,AS15169 Google LLC,2
98aji.com,tranco-rank100k,8.004999999999999,495.44,0.016,487.435,exited google,539.7985660593718,216.239.48.76,AS15169 Google LLC,2
98wn40.com,tranco-rank100k,7.6850000000000005,18.33,0.419,10.645,exited google,539.7985660593718,142.251.254.214,AS15169 Google LLC,2
99exch.com,tranco-rank10k,7.99,7.99,1.0,0.0,exited google,539.7985660593718,142.250.236.116,AS15169 Google LLC,2
9news.com.au,tranco-rank10k,8.62,118.91,0.072,110.29,exited google,539.7985660593718,142.251.254.214,AS15169 Google LLC,2
a-mo.net,tranco-top1k,2.515,2.515,1.0,0.0,exited google,143.87990302576065,108.170.228.237,AS15169 Google LLC,1
