Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
104.156.230.107,vultr-silicon valley,240.15,225.42,1.065,-14.73,exited google,N/A,66.249.94.46,nan,2
104.156.244.232,vultr-miami,242.75,230.75,1.052,-12.0,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,233.4,237.78,0.982,4.38,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,225.63,246.97,0.914,21.34,exited google,5782.5327899133645,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,228.56,241.0,0.948,12.44,exited google,N/A,74.125.243.158,nan,2
108.61.194.105,vultr-seattle,238.4,229.77,1.038,-8.63,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,241.985,235.15,1.029,-6.835,exited google,N/A,72.14.235.246,nan,1
108.61.198.102,vultr-amsterdam,231.58999999999997,225.99,1.025,-5.6,exited google,1481.9475355522025,74.125.243.76,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,358.74,222.52,1.612,-136.22,exited google,N/A,72.14.239.222,nan,1
108.61.209.127,vultr-paris,16.04,222.41,0.072,206.37,exited google,1052.532744694038,72.14.235.97,AS15169 Google LLC,1
108.61.210.117,vultr-frankfurt,225.505,222.6,1.013,-2.905,exited google,1447.7586618208009,209.85.249.228,nan,2
108.61.212.117,vultr-sydney,490.885,483.5,1.015,-7.385,exited google,17687.680727894283,192.178.97.92,AS15169 Google LLC,2
108.61.219.200,vultr-los angeles,234.54,227.93,1.029,-6.61,exited google,N/A,142.251.65.159,nan,1
108.61.224.175,vultr-dallas,1.69,246.28,0.007,244.59,exited google,0.10715677527249114,108.170.252.212,AS15169 Google LLC,2
11kk.love,tranco-rank10k,1.675,1.705,0.982,0.03,exited google,0.10715677527249114,192.178.110.156,AS15169 Google LLC,2
123mkv.team,tranco-rank100k,1.78,1.36,1.309,-0.42,exited google,0.10715677527249114,142.251.249.206,AS15169 Google LLC,2
1242.com,tranco-rank100k,235.56,231.69,1.017,-3.87,exited google,10785.939965539223,142.251.66.206,nan,2
139.84.130.100,vultr-bangalore,490.95500000000004,470.9,1.043,-20.055,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,235.51,229.68,1.025,-5.83,exited google,3447.799982296645,192.178.241.118,AS15169 Google LLC,2
139.84.226.78,vultr-johannesburg,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
141.164.34.61,vultr-seoul,230.0,482.845,0.476,252.845,exited google,1263.2550732584637,142.251.50.125,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,240.4,246.63,0.975,6.23,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,1.56,248.19,0.006,246.63,exited google,0.10715677527249114,108.170.252.214,AS15169 Google LLC,2
1asb.com,tranco-rank100k,2.03,0.825,2.461,-1.205,exited google,0.10715677527249114,74.125.245.170,AS15169 Google LLC,2
1c.ru,tranco-top1k,220.74,232.10500000000002,0.951,11.365,exited google,3447.799982296645,142.250.234.165,AS15169 Google LLC,1
1drv.com,tranco-top1k,228.45999999999998,732.28,0.312,503.82,exited google,1052.532744694038,72.14.235.97,AS15169 Google LLC,1
1goplus.com,tranco-rank10k,1.71,1.58,1.082,-0.13,exited google,0.10715677527249114,192.178.110.156,AS15169 Google LLC,2
1learn.in,tranco-rank100k,2.1100000000000003,3.145,0.671,1.035,exited google,0.10715677527249114,142.251.49.55,AS15169 Google LLC,5
1nto.com,tranco-rank10k,2.86,2.26,1.265,-0.6,exited google,0.10715677527249114,192.178.110.154,AS15169 Google LLC,2
1slu.com,tranco-rank10k,2.875,1.7,1.691,-1.175,exited google,0.10715677527249114,108.170.225.250,AS15169 Google LLC,2
1tamilmv.fi,tranco-rank10k,1.27,4.09,0.311,2.82,exited google,0.10715677527249114,108.170.238.233,AS15169 Google LLC,1
1tamilyogi.vote,tranco-rank10k,1.7349999999999999,1.46,1.188,-0.275,exited google,0.10715677527249114,192.178.110.156,AS15169 Google LLC,2
208.72.154.76,vultr-honolulu,230.82999999999998,228.38,1.011,-2.45,exited google,5782.5327899133645,142.251.60.123,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,1.61,1.61,1.0,0.0,exited google,0.10715677527249114,108.170.228.187,AS15169 Google LLC,1
216.238.66.16,vultr-mexico city,1.26,236.99,0.005,235.73,exited google,0.10715677527249114,74.125.245.170,AS15169 Google LLC,2
216.238.98.118,vultr-sao paulo,234.765,235.24,0.998,0.475,exited google,N/A,108.170.230.148,nan,1
21wiz.com,tranco-rank10k,7.475,1.83,4.085,-5.645,exited google,0.10715677527249114,142.251.249.206,AS15169 Google LLC,2
22.cn,tranco-rank10k,223.55,484.22,0.462,260.67,exited google,N/A,72.14.235.246,nan,1
24-jav.com,tranco-rank10k,1.53,1.13,1.354,-0.4,exited google,0.10715677527249114,74.125.245.170,AS15169 Google LLC,2
