Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,1.17,230.21,0.005,229.04,exited google,0.5332560285791399,74.125.253.7,AS15169 Google LLC,1
037hdx.tv,tranco-rank100k,1.13,1.23,0.919,0.1,exited google,0.5332560285791399,142.250.209.65,AS15169 Google LLC,1
07br.cc,tranco-rank100k,1.3050000000000002,1.23,1.061,-0.075,exited google,0.5332560285791399,74.125.253.7,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,242.69,236.03,1.028,-6.66,exited google,N/A,108.170.252.30,nan,2
104.156.244.232,vultr-miami,229.65,244.71,0.938,15.06,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,247.45,231.27,1.07,-16.18,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,225.37,232.94,0.968,7.57,exited google,6219.360771928917,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,223.745,235.37,0.951,11.625,exited google,N/A,74.125.243.158,nan,2
108.61.194.105,vultr-seattle,235.66,241.58499999999998,0.975,5.925,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,13.42,13.43,0.999,0.01,exited google,N/A,72.14.235.246,nan,1
108.61.198.102,vultr-amsterdam,6.86,10.46,0.656,3.6,exited google,365.31893497475454,74.125.243.80,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,234.02,233.87,1.001,-0.15,exited google,N/A,72.14.239.222,nan,1
108.61.209.127,vultr-paris,223.35,118.4,1.886,-104.95,exited google,479.5926672992134,72.14.235.97,AS15169 Google LLC,1
108.61.210.117,vultr-frankfurt,1.89,220.16,0.009,218.27,exited google,0.5332560285791399,192.178.107.28,AS15169 Google LLC,2
108.61.212.117,vultr-sydney,473.09,473.8,0.999,0.71,exited google,16478.465973324364,66.249.94.19,AS15169 Google LLC,1
