Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,249.92,237.525,1.052,-12.395,exited google,4621.726111362156,142.251.250.194,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,224.98,239.05,0.941,14.07,exited google,N/A,142.250.231.100,nan,2
104.156.244.232,vultr-miami,230.46499999999997,243.87,0.945,13.405,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
108.61.149.182,vultr-new jersey,224.13,234.16,0.957,10.03,exited google,10792.300186224596,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,240.57999999999998,235.13,1.023,-5.45,exited google,N/A,108.170.248.94,nan,2
108.61.194.105,vultr-seattle,249.23,236.13,1.055,-13.1,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
108.61.198.102,vultr-amsterdam,230.665,241.52,0.955,10.855,exited google,4915.828815786607,74.125.243.132,nan,2
108.61.201.151,vultr-tokyo,477.15999999999997,236.97,2.014,-240.19,exited google,N/A,72.14.239.222,nan,1
108.61.209.127,vultr-paris,242.88,243.065,0.999,0.185,exited google,4978.419794079197,72.14.235.97,AS15169 Google LLC,1
108.61.210.117,vultr-frankfurt,238.41500000000002,231.505,1.03,-6.91,exited google,4580.831367232081,72.14.234.209,AS15169 Google LLC,1
108.61.212.117,vultr-sydney,473.1,481.88,0.982,8.78,exited google,N/A,66.249.94.19,nan,1
108.61.219.200,vultr-los angeles,235.19,238.08,0.988,2.89,exited google,N/A,142.251.65.159,nan,1
108.61.224.175,vultr-dallas,232.1,233.74,0.993,1.64,exited google,4621.726111362156,192.178.105.210,AS15169 Google LLC,2
11kk.love,tranco-rank10k,361.625,246.08,1.47,-115.545,exited google,4621.726111362156,192.178.105.208,AS15169 Google LLC,2
12moviesda.com,tranco-rank100k,226.21,234.93,0.963,8.72,exited google,4380.917016577079,72.14.235.78,AS15169 Google LLC,1
139.84.130.100,vultr-bangalore,469.93,240.78,1.952,-229.15,exited google,3298.294247878718,74.125.251.23,AS15169 Google LLC,1
139.84.162.104,vultr-delhi ncr,227.10000000000002,245.45,0.925,18.35,exited google,3568.233157687441,192.178.241.250,AS15169 Google LLC,2
139.84.226.78,vultr-johannesburg,237.36,227.95,1.041,-9.41,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,241.78500000000003,371.42,0.651,129.635,exited google,4621.726111362156,192.178.105.172,AS15169 Google LLC,2
149.248.50.81,vultr-toronto,225.43,232.005,0.972,6.575,exited google,N/A,108.170.227.246,nan,1
