Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,0.79,220.9,0.004,220.11,exited google,1.7858848373853322,192.178.86.86,AS15169 Google LLC,2
07br.cc,tranco-rank100k,9.25,116.03,0.08,106.78,exited google,503.93407591096513,108.170.227.247,AS15169 Google LLC,2
104.156.230.107,vultr-silicon valley,222.95,232.0,0.961,9.05,exited google,3975.234841673285,66.249.94.46,AS15169 Google LLC,2
104.156.244.232,vultr-miami,229.95499999999998,236.155,0.974,6.2,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,127.82000000000001,224.72,0.569,96.9,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,8.15,122.58500000000001,0.066,114.435,exited google,533.0505698168405,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,225.14,224.91,1.001,-0.23,exited google,N/A,108.170.248.86,nan,2
108.61.194.105,vultr-seattle,229.66,238.16500000000002,0.964,8.505,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,221.09,221.09,1.0,0.0,exited google,5236.29057957913,192.178.97.50,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,242.26,242.36,1.0,0.1,exited google,N/A,74.125.243.80,nan,2
108.61.201.151,vultr-tokyo,246.04,222.44,1.106,-23.6,exited google,N/A,72.14.239.222,nan,1
108.61.209.127,vultr-paris,244.24,221.73000000000002,1.102,-22.51,exited google,5521.056206838453,72.14.235.97,AS15169 Google LLC,1
108.61.210.117,vultr-frankfurt,233.26,232.0,1.005,-1.26,exited google,5861.620703845873,72.14.234.209,AS15169 Google LLC,1
108.61.212.117,vultr-sydney,223.435,234.97,0.951,11.535,exited google,N/A,74.125.251.94,nan,1
108.61.219.200,vultr-los angeles,233.27499999999998,229.685,1.016,-3.59,exited google,3975.234841673285,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,0.8400000000000001,231.47,0.004,230.63,exited google,1.7858848373853322,192.178.86.86,AS15169 Google LLC,2
10g.su,tranco-rank100k,237.505,228.03,1.042,-9.475,exited google,N/A,142.250.213.37,nan,1
123mkv.team,tranco-rank100k,223.75,227.05,0.985,3.3,exited google,503.93407591096513,108.170.227.247,AS15169 Google LLC,1
1242.com,tranco-rank100k,114.795,223.325,0.514,108.53,exited google,533.0505698168405,142.251.252.195,AS15169 Google LLC,1
12moviesda.com,tranco-rank100k,124.43,7.96,15.632,-116.47,exited google,503.93407591096513,108.170.227.247,AS15169 Google LLC,1
139.84.130.100,vultr-bangalore,252.78,245.02,1.032,-7.76,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,239.88,487.52,0.492,247.64,exited google,3975.234841673285,142.251.65.159,AS15169 Google LLC,1
139.84.226.78,vultr-johannesburg,225.8,248.23,0.91,22.43,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,15.01,226.19,0.066,211.18,exited google,533.0505698168405,142.251.60.182,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,221.95999999999998,8.77,25.309,-213.19,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,220.47,252.73,0.872,32.26,exited google,786.6189427998264,108.170.233.255,AS15169 Google LLC,1
1asb.com,tranco-rank100k,7.465,9.13,0.818,1.665,exited google,503.93407591096513,108.170.227.247,AS15169 Google LLC,1
1c.ru,tranco-top1k,245.54500000000002,238.58499999999998,1.029,-6.96,exited google,7075.9357249659515,142.250.234.165,AS15169 Google LLC,1
1drv.com,tranco-top1k,0.82,244.155,0.003,243.335,exited google,1.7858848373853322,192.178.86.182,AS15169 Google LLC,2
1exch.net,tranco-rank10k,1.225,1.225,1.0,0.0,exited google,1.7858848373853322,142.251.51.178,AS15169 Google LLC,2
1goplus.com,tranco-rank10k,7.4350000000000005,115.85,0.064,108.415,exited google,503.93407591096513,108.170.227.247,AS15169 Google LLC,1
1learn.in,tranco-rank100k,1.455,1.075,1.353,-0.38,exited google,1.7858848373853322,142.250.58.131,AS15169 Google LLC,3
1nto.com,tranco-rank10k,10.79,9.75,1.107,-1.04,exited google,503.93407591096513,108.170.227.247,AS15169 Google LLC,1
1slu.com,tranco-rank10k,8.74,222.41,0.039,213.67,exited google,503.93407591096513,108.170.227.247,AS15169 Google LLC,1
1tamilmv.fi,tranco-rank10k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
208.72.154.76,vultr-honolulu,9.84,231.19,0.043,221.35,exited google,N/A,216.239.48.129,nan,1
208.76.222.30,vultr-madrid,231.355,231.355,1.0,0.0,exited google,N/A,108.170.249.10,nan,2
216.238.66.16,vultr-mexico city,0.73,229.53,0.003,228.8,exited google,1.7858848373853322,142.251.64.218,AS15169 Google LLC,2
216.238.98.118,vultr-sao paulo,233.4,239.48,0.975,6.08,exited google,N/A,142.250.215.21,nan,1
21wiz.com,tranco-rank10k,223.9,9.16,24.443,-214.74,exited google,503.93407591096513,108.170.227.247,AS15169 Google LLC,1
22.cn,tranco-rank10k,219.78,246.12,0.893,26.34,exited google,533.0505698168405,192.178.106.42,AS15169 Google LLC,2
24-jav.com,tranco-rank10k,8.64,10.82,0.799,2.18,exited google,503.93407591096513,108.170.227.247,AS15169 Google LLC,1
2gis.com,tranco-top1k,247.225,221.34,1.117,-25.885,exited google,N/A,74.125.251.219,nan,1
2xbet365.com,tranco-rank100k,8.87,9.415,0.942,0.545,exited google,503.93407591096513,108.170.227.247,AS15169 Google LLC,1
32red.com,tranco-rank10k,1.05,233.45,0.004,232.4,exited google,1.7858848373853322,142.251.64.218,AS15169 Google LLC,2
33across.com,tranco-top1k,114.13499999999999,114.13499999999999,1.0,0.0,exited google,503.93407591096513,192.178.99.38,AS15169 Google LLC,2
360.cn,tranco-top1k,12.01,244.02,0.049,232.01,exited google,N/A,74.125.243.218,nan,2
360safe.com,tranco-top1k,119.345,230.69,0.517,111.345,exited google,533.0505698168405,142.251.66.65,AS15169 Google LLC,1
360yield.com,tranco-top1k,227.92,227.92,1.0,0.0,exited google,5236.29057957913,192.178.97.182,AS15169 Google LLC,2
3ddd.ru,tranco-rank10k,229.64,232.9,0.986,3.26,exited google,N/A,142.250.234.164,nan,1
3gl.net,tranco-rank10k,0.72,227.46,0.003,226.74,exited google,1.7858848373853322,192.178.86.184,AS15169 Google LLC,2
3lift.com,tranco-top1k,0.75,0.75,1.0,0.0,exited google,1.7858848373853322,142.251.64.218,AS15169 Google LLC,2
45.32.100.168,vultr-singapore,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
4fence.it,tranco-rank100k,230.965,231.445,0.998,0.48,exited google,N/A,72.14.232.198,nan,1
4netplayers.com,tranco-rank100k,240.59,247.41,0.972,6.82,exited google,5511.228669224861,142.251.51.160,AS15169 Google LLC,1
5eos306rsc.com,tranco-rank10k,9.81,221.45,0.044,211.64,exited google,503.93407591096513,108.170.227.247,AS15169 Google LLC,1
5movierulz.immo,tranco-rank10k,224.71,224.71,1.0,0.0,last node was google,503.93407591096513,108.170.227.247,AS15169 Google LLC,1
64.176.162.16,vultr-tel aviv,356.90999999999997,222.55,1.604,-134.36,exited google,5236.29057957913,192.178.97.114,AS15169 Google LLC,2
64.176.178.136,vultr-manchester,0.68,230.13,0.003,229.45,exited google,1.7858848373853322,192.178.86.86,AS15169 Google LLC,2
64.176.2.7,vultr-santiago,0.77,226.76,0.003,225.99,exited google,1.7858848373853322,192.178.86.88,AS15169 Google LLC,2
