Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,2.37,241.54,0.01,239.17,exited google,0.20302791690660016,142.250.62.163,AS15169 Google LLC,1
037hdx.tv,tranco-rank100k,226.26,235.58,0.96,9.32,exited google,1397.1107853603974,142.251.247.61,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,237.26,50.59,4.69,-186.67,exited google,2305.8225773360605,108.170.252.30,nan,2
104.156.244.232,vultr-miami,231.65,232.41,0.997,0.76,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,248.41,227.39,1.092,-21.02,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,240.26,236.94,1.014,-3.32,exited google,N/A,142.251.66.65,nan,1
108.61.193.166,vultr-atlanta,241.56,230.0,1.05,-11.56,exited google,N/A,74.125.245.92,nan,2
108.61.194.105,vultr-seattle,237.88,236.94,1.004,-0.94,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,231.75,235.115,0.986,3.365,exited google,8923.894390597632,192.178.97.116,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,240.685,235.59,1.022,-5.095,exited google,9204.953781156613,74.125.243.76,nan,2
108.61.201.151,vultr-tokyo,238.47,242.63,0.983,4.16,exited google,N/A,72.14.239.222,nan,1
108.61.209.127,vultr-paris,232.86,233.42,0.998,0.56,exited google,N/A,108.170.255.150,nan,2
108.61.210.117,vultr-frankfurt,241.91,232.75,1.039,-9.16,exited google,N/A,66.249.94.174,nan,1
108.61.212.117,vultr-sydney,228.32,227.48,1.004,-0.84,exited google,12920.141507467511,74.125.251.94,AS15169 Google LLC,1
108.61.219.200,vultr-los angeles,222.63,230.4,0.966,7.77,exited google,2305.8225773360605,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,1.23,238.31,0.005,237.08,exited google,0.20302791690660016,142.250.62.163,AS15169 Google LLC,1
10g.su,tranco-rank100k,240.6,232.22,1.036,-8.38,exited google,N/A,142.250.213.37,nan,1
11kk.love,tranco-rank10k,1.5,1.1,1.364,-0.4,exited google,0.20302791690660016,192.178.104.46,AS15169 Google LLC,2
123mkv.team,tranco-rank100k,223.22,233.38,0.956,10.16,exited google,1397.1107853603974,142.251.247.61,AS15169 Google LLC,1
12moviesda.com,tranco-rank100k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
139.84.130.100,vultr-bangalore,243.84,251.06,0.971,7.22,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,227.69,495.84,0.459,268.15,exited google,2305.8225773360605,142.251.65.159,AS15169 Google LLC,1
139.84.226.78,vultr-johannesburg,269.72,472.39,0.571,202.67,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,124.315,230.9,0.538,106.585,exited google,1397.1107853603974,108.170.231.40,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,231.95,56.14,4.132,-175.81,exited google,N/A,108.170.227.246,nan,1
