Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,237.33499999999998,234.675,1.011,-2.66,exited google,6535.829292828866,216.239.46.104,AS15169 Google LLC,1
037hdx.tv,tranco-rank100k,1.68,1.3,1.292,-0.38,exited google,0.04546229529199168,192.178.82.54,AS15169 Google LLC,2
07br.cc,tranco-rank100k,8.97,1.24,7.234,-7.73,exited google,0.04546229529199168,142.250.63.174,AS15169 Google LLC,2
104.156.230.107,vultr-silicon valley,221.31,219.8,1.007,-1.51,exited google,9881.002734435893,74.125.243.90,nan,2
104.156.244.232,vultr-miami,241.68,241.26,1.002,-0.42,exited google,6535.829292828866,216.239.46.104,AS15169 Google LLC,1
107.191.51.12,vultr-chicago,233.54,227.59,1.026,-5.95,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,233.35,237.88,0.981,4.53,exited google,N/A,142.251.66.65,nan,1
108.61.193.166,vultr-atlanta,244.75,233.95,1.046,-10.8,exited google,N/A,108.170.248.86,nan,2
108.61.194.105,vultr-seattle,227.26,239.74,0.948,12.48,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,354.555,230.685,1.537,-123.87,exited google,9478.597900364359,192.178.97.190,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,229.54000000000002,230.72500000000002,0.995,1.185,exited google,N/A,74.125.243.124,nan,2
108.61.201.151,vultr-tokyo,255.565,257.22,0.994,1.655,exited google,18522.611791860505,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,233.54500000000002,227.37,1.027,-6.175,exited google,N/A,72.14.235.97,nan,1
108.61.210.117,vultr-frankfurt,230.75,226.09,1.021,-4.66,exited google,9814.782728571849,72.14.234.209,AS15169 Google LLC,1
108.61.212.117,vultr-sydney,610.585,483.58000000000004,1.263,-127.005,exited google,N/A,66.249.94.19,nan,1
108.61.219.200,vultr-los angeles,233.83999999999997,240.63,0.972,6.79,exited google,9881.002734435893,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,228.27,222.88,1.024,-5.39,exited google,6535.829292828866,72.14.236.145,AS15169 Google LLC,1
139.84.130.100,vultr-bangalore,478.74,483.0,0.991,4.26,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,225.305,483.995,0.466,258.69,exited google,9881.002734435893,142.251.65.159,AS15169 Google LLC,1
139.84.226.78,vultr-johannesburg,471.74,476.87,0.989,5.13,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,223.15,484.96500000000003,0.46,261.815,exited google,7650.119385015842,142.251.60.182,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,239.1,227.3,1.052,-11.8,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,236.49,477.77,0.495,241.28,exited google,6535.829292828866,192.178.99.252,AS15169 Google LLC,2
1asb.com,tranco-rank100k,1.12,1.35,0.83,0.23,exited google,0.04546229529199168,142.251.228.184,AS15169 Google LLC,2
1c.ru,tranco-top1k,238.04,233.64,1.019,-4.4,exited google,11798.972445630181,142.250.234.165,AS15169 Google LLC,1
1drv.com,tranco-top1k,0.83,227.78,0.004,226.95,exited google,0.04546229529199168,108.170.228.30,AS15169 Google LLC,1
1exch.net,tranco-rank10k,241.1,241.1,1.0,0.0,exited google,6535.829292828866,192.178.99.148,AS15169 Google LLC,2
1goplus.com,tranco-rank10k,1.6,1.13,1.416,-0.47,exited google,0.04546229529199168,192.178.82.54,AS15169 Google LLC,2
1nto.com,tranco-rank10k,2.4000000000000004,1.68,1.429,-0.72,exited google,0.04546229529199168,192.178.82.54,AS15169 Google LLC,2
