Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,115.985,222.18,0.522,106.195,exited google,791.2657999242944,142.251.49.69,AS15169 Google LLC,1
07br.cc,tranco-rank100k,222.45,11.91,18.678,-210.54,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,236.39,231.15,1.023,-5.24,exited google,2123.244810752439,108.170.252.30,nan,2
104.156.244.232,vultr-miami,228.61,237.94,0.961,9.33,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,219.22,11.66,18.801,-207.56,exited google,687.8200131180677,108.170.238.83,AS15169 Google LLC,1
108.61.149.182,vultr-new jersey,235.72,225.54,1.045,-10.18,exited google,N/A,142.251.66.65,nan,1
108.61.193.166,vultr-atlanta,228.28,23.92,9.543,-204.36,exited google,N/A,74.125.243.66,nan,2
108.61.194.105,vultr-seattle,232.67,230.28,1.01,-2.39,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,227.38,242.59,0.937,15.21,exited google,6913.333802183322,192.178.98.2,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,239.485,245.27,0.976,5.785,exited google,7147.8439159863665,74.125.243.80,nan,2
108.61.201.151,vultr-tokyo,360.925,230.71499999999997,1.564,-130.21,exited google,N/A,72.14.239.222,nan,1
108.61.209.127,vultr-paris,221.605,237.74,0.932,16.135,exited google,7223.516439296422,72.14.235.97,AS15169 Google LLC,1
108.61.210.117,vultr-frankfurt,223.48,230.13,0.971,6.65,exited google,N/A,66.249.94.174,nan,1
108.61.212.117,vultr-sydney,232.89,235.3,0.99,2.41,exited google,N/A,74.125.251.94,nan,1
108.61.219.200,vultr-los angeles,225.37,226.86,0.993,1.49,exited google,2123.244810752439,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,118.045,225.47,0.524,107.425,exited google,791.2657999242944,142.251.49.69,AS15169 Google LLC,1
11kk.love,tranco-rank10k,10.61,11.09,0.957,0.48,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
123-hd.com,tranco-rank10k,10.64,220.74,0.048,210.1,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
139.84.130.100,vultr-bangalore,247.69,255.5,0.969,7.81,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,248.07,476.02,0.521,227.95,exited google,2123.244810752439,142.251.65.159,AS15169 Google LLC,1
139.84.226.78,vultr-johannesburg,235.94,240.185,0.982,4.245,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,225.81,238.57,0.947,12.76,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,229.28,234.28,0.979,5.0,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,228.88,477.87,0.479,248.99,exited google,1581.647838745737,192.178.248.32,AS15169 Google LLC,2
1asb.com,tranco-rank100k,224.0,222.11,1.009,-1.89,exited google,687.8200131180677,108.170.238.82,AS15169 Google LLC,1
1c.ru,tranco-top1k,225.94,241.76999999999998,0.935,15.83,exited google,8394.364987093737,72.14.237.202,AS15169 Google LLC,1
1drv.com,tranco-top1k,10.53,241.74,0.044,231.21,exited google,687.8200131180677,142.251.239.140,AS15169 Google LLC,1
1goplus.com,tranco-rank10k,10.92,223.49,0.049,212.57,exited google,687.8200131180677,108.170.238.82,AS15169 Google LLC,1
1internet.tv,tranco-rank10k,227.83,232.46,0.98,4.63,exited google,6913.333802183322,192.178.97.50,AS15169 Google LLC,2
1learn.in,tranco-rank100k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
1nto.com,tranco-rank10k,223.47,11.82,18.906,-211.65,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
1slu.com,tranco-rank10k,10.77,222.39,0.048,211.62,exited google,687.8200131180677,108.170.238.82,AS15169 Google LLC,1
1tamilmv.fi,tranco-rank10k,10.84,11.0,0.985,0.16,exited google,687.8200131180677,108.170.238.82,AS15169 Google LLC,1
1tamilyogi.vote,tranco-rank10k,219.95,115.50500000000001,1.904,-104.445,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
208.72.154.76,vultr-honolulu,10.62,229.16,0.046,218.54,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,236.59,225.49,1.049,-11.1,exited google,N/A,108.170.228.187,nan,1
216.238.66.16,vultr-mexico city,118.25999999999999,241.57,0.49,123.31,exited google,791.2657999242944,142.251.49.69,AS15169 Google LLC,1
216.238.98.118,vultr-sao paulo,229.48,238.08,0.964,8.6,exited google,N/A,142.250.215.21,nan,1
21wiz.com,tranco-rank10k,221.28,120.025,1.844,-101.255,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
22.cn,tranco-rank10k,120.145,239.06,0.503,118.915,exited google,687.8200131180677,142.251.77.146,AS15169 Google LLC,2
24-hd.com,tranco-rank10k,10.69,227.45499999999998,0.047,216.765,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
24-jav.com,tranco-rank10k,222.1,222.56,0.998,0.46,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
2gis.com,tranco-top1k,237.59,235.58499999999998,1.009,-2.005,exited google,6913.333802183322,192.178.97.190,AS15169 Google LLC,2
32red.com,tranco-rank10k,10.3,237.99,0.043,227.69,exited google,791.2657999242944,142.251.50.108,AS15169 Google LLC,1
33across.com,tranco-top1k,10.7,10.7,1.0,0.0,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
360.cn,tranco-top1k,226.73,240.66,0.942,13.93,exited google,687.8200131180677,108.170.234.152,AS15169 Google LLC,1
360safe.com,tranco-top1k,16.52,238.54,0.069,222.02,exited google,687.8200131180677,108.170.234.152,AS15169 Google LLC,1
360yield.com,tranco-top1k,227.25,227.25,1.0,0.0,exited google,6913.333802183322,192.178.97.188,AS15169 Google LLC,2
399mb.com,tranco-rank100k,219.78,228.8,0.961,9.02,exited google,791.2657999242944,142.251.49.34,AS15169 Google LLC,2
3gl.net,tranco-rank10k,222.1,237.13,0.937,15.03,exited google,791.2657999242944,142.251.50.108,AS15169 Google LLC,1
3lift.com,tranco-top1k,10.62,10.62,1.0,0.0,exited google,791.2657999242944,192.178.86.60,AS15169 Google LLC,2
45.32.100.168,vultr-singapore,224.07,226.51,0.989,2.44,exited google,N/A,72.14.232.209,nan,1
4netplayers.com,tranco-rank100k,221.51,230.85,0.96,9.34,exited google,7147.8439159863665,66.249.95.7,AS15169 Google LLC,1
5-tv.ru,tranco-rank10k,232.97,232.97,1.0,0.0,exited google,7147.8439159863665,66.249.95.7,AS15169 Google LLC,1
5eos306rsc.com,tranco-rank10k,224.495,10.97,20.464,-213.525,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
5movierulz.luxe,tranco-rank10k,219.7,224.56,0.978,4.86,exited google,687.8200131180677,108.170.238.82,AS15169 Google LLC,1
5movierulz.ng,tranco-rank10k,117.595,11.58,10.155,-106.015,exited google,687.8200131180677,108.170.238.82,AS15169 Google LLC,1
64.176.162.16,vultr-tel aviv,229.61,233.835,0.982,4.225,exited google,6913.333802183322,192.178.98.0,AS15169 Google LLC,2
64.176.178.136,vultr-manchester,10.585,223.625,0.047,213.04,exited google,791.2657999242944,142.251.49.69,AS15169 Google LLC,1
64.176.2.7,vultr-santiago,220.76,239.7,0.921,18.94,exited google,791.2657999242944,142.251.49.69,AS15169 Google LLC,1
64.176.34.94,vultr-osaka,224.48,230.61,0.973,6.13,exited google,N/A,142.251.241.128,nan,1
65.20.66.100,vultr-mumbai,484.33,251.76,1.924,-232.57,exited google,N/A,142.250.213.233,nan,1
66lottery20.com,tranco-rank10k,227.41,11.08,20.524,-216.33,exited google,687.8200131180677,108.170.238.82,AS15169 Google LLC,1
67.219.110.24,vultr-melbourne,232.19,236.775,0.981,4.585,exited google,N/A,142.250.224.106,nan,1
70.34.194.86,vultr-stockholm,224.73,247.23,0.909,22.5,exited google,7324.749348118422,216.239.57.150,AS15169 Google LLC,2
70.34.242.24,vultr-warsaw,229.13,239.92,0.955,10.79,exited google,N/A,74.125.252.117,nan,1
77moviehd.com,tranco-rank100k,10.629999999999999,11.61,0.916,0.98,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
77nekoaffiliate.com,tranco-rank100k,10.77,227.87,0.047,217.1,exited google,687.8200131180677,108.170.238.82,AS15169 Google LLC,1
789.club,tranco-rank10k,219.14,11.9,18.415,-207.24,exited google,687.8200131180677,108.170.238.82,AS15169 Google LLC,1
78wine.vip,tranco-rank10k,10.785,11.67,0.924,0.885,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
7dak25e.org,tranco-rank10k,123.695,357.46000000000004,0.346,233.765,exited google,1378.0422870235507,108.170.227.127,AS15169 Google LLC,1
7dak25e.xyz,tranco-rank10k,23.34,234.405,0.1,211.065,exited google,1378.0422870235507,108.170.227.127,AS15169 Google LLC,4
7dak25et.com,tranco-rank10k,226.34,228.2,0.992,1.86,exited google,1378.0422870235507,108.170.227.127,AS15169 Google LLC,1
7dak25wb.org,tranco-rank10k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
888bets.co.mz,tranco-rank10k,10.64,10.64,1.0,0.0,exited google,687.8200131180677,142.251.239.140,AS15169 Google LLC,1
888ifun.com,tranco-rank100k,10.79,222.67000000000002,0.048,211.88,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
98wn40.com,tranco-rank100k,10.76,11.84,0.909,1.08,exited google,791.2657999242944,74.125.242.226,AS15169 Google LLC,2
99789bet.vip,tranco-rank100k,221.57,219.35,1.01,-2.22,exited google,791.2657999242944,74.125.242.228,AS15169 Google LLC,2
99exch.com,tranco-rank10k,242.09,227.85000000000002,1.062,-14.24,exited google,N/A,142.250.214.161,nan,1
9news.com.au,tranco-rank10k,10.47,117.435,0.089,106.965,exited google,791.2657999242944,74.125.242.74,AS15169 Google LLC,2
9xflix.foo,tranco-rank10k,225.805,224.52,1.006,-1.285,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
a-mo.net,tranco-top1k,10.8,10.8,1.0,0.0,exited google,687.8200131180677,192.178.249.226,AS15169 Google LLC,2
a222555.com,tranco-rank100k,221.61,11.74,18.876,-209.87,exited google,687.8200131180677,108.170.238.82,AS15169 Google LLC,1
a2sports.co,tranco-rank100k,225.81,230.51,0.98,4.7,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
a3y4g6bvae.com,tranco-rank100k,233.97,233.97,1.0,0.0,exited google,8394.364987093737,74.125.48.255,nan,2
