Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
07br.cc,tranco-rank100k,241.11,10.81,22.304,-230.3,exited google,409.51788539249014,66.249.95.4,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,239.8,233.07999999999998,1.029,-6.72,exited google,N/A,74.125.243.90,nan,2
104.156.244.232,vultr-miami,12.41,119.86500000000001,0.104,107.455,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,226.155,228.43,0.99,2.275,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,17.525,17.91,0.979,0.385,exited google,N/A,142.251.66.65,nan,1
108.61.193.166,vultr-atlanta,10.49,227.08,0.046,216.59,exited google,409.51788539249014,108.170.248.86,AS15169 Google LLC,2
108.61.194.105,vultr-seattle,228.635,221.84,1.031,-6.795,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,247.34,233.34,1.06,-14.0,exited google,6539.9127809468855,192.178.97.50,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,234.995,225.44,1.042,-9.555,exited google,6841.997096587356,74.125.243.76,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,230.445,231.35,0.996,0.905,exited google,N/A,72.14.239.222,nan,1
108.61.209.127,vultr-paris,229.84,223.06,1.03,-6.78,exited google,6795.113828693586,72.14.235.97,AS15169 Google LLC,1
108.61.210.117,vultr-frankfurt,229.73000000000002,236.59,0.971,6.86,exited google,N/A,66.249.94.174,nan,1
108.61.212.117,vultr-sydney,238.66,233.59,1.022,-5.07,exited google,N/A,66.249.94.19,nan,1
108.61.219.200,vultr-los angeles,240.67,233.72,1.03,-6.95,exited google,3526.1504753639506,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,12.13,236.615,0.051,224.485,exited google,688.375109696495,108.170.233.255,AS15169 Google LLC,1
10g.su,tranco-rank100k,231.16,238.005,0.971,6.845,exited google,N/A,142.250.213.86,nan,1
123-hd.com,tranco-rank10k,220.62,223.03,0.989,2.41,exited google,409.51788539249014,74.125.245.98,AS15169 Google LLC,2
12moviesda.com,tranco-rank100k,10.5,10.87,0.966,0.37,exited google,409.51788539249014,108.170.248.90,AS15169 Google LLC,2
139.84.130.100,vultr-bangalore,255.33,364.475,0.701,109.145,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,241.45,485.08500000000004,0.498,243.635,exited google,3526.1504753639506,142.251.65.159,AS15169 Google LLC,1
139.84.226.78,vultr-johannesburg,225.84,231.995,0.973,6.155,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,117.505,242.94,0.484,125.435,exited google,409.51788539249014,108.170.226.215,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,244.54,229.15,1.067,-15.39,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,12.26,251.41,0.049,239.15,exited google,688.375109696495,192.178.248.32,AS15169 Google LLC,2
1asb.com,tranco-rank100k,10.620000000000001,225.625,0.047,215.005,exited google,409.51788539249014,74.125.243.60,AS15169 Google LLC,2
1c.ru,tranco-top1k,221.46,239.33499999999998,0.925,17.875,exited google,8522.950386859498,72.14.237.202,AS15169 Google LLC,1
1drv.com,tranco-top1k,240.625,237.595,1.013,-3.03,exited google,409.51788539249014,74.125.245.92,AS15169 Google LLC,2
1goplus.com,tranco-rank10k,228.99,10.96,20.893,-218.03,exited google,409.51788539249014,74.125.243.60,AS15169 Google LLC,2
1internet.tv,tranco-rank10k,483.955,249.25,1.942,-234.705,exited google,6539.9127809468855,192.178.97.116,AS15169 Google LLC,2
1learn.in,tranco-rank100k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
1nto.com,tranco-rank10k,118.385,10.895,10.866,-107.49,exited google,409.51788539249014,74.125.243.60,AS15169 Google LLC,2
1pr.ru,tranco-rank100k,226.95,245.56,0.924,18.61,exited google,8522.950386859498,192.178.241.180,AS15169 Google LLC,2
1slu.com,tranco-rank10k,10.69,10.59,1.009,-0.1,exited google,409.51788539249014,74.125.243.60,AS15169 Google LLC,2
1tamilmv.fi,tranco-rank10k,10.620000000000001,10.79,0.984,0.17,exited google,409.51788539249014,172.253.64.213,AS15169 Google LLC,1
1tamilyogi.vote,tranco-rank10k,120.11500000000001,11.24,10.686,-108.875,exited google,409.51788539249014,172.253.64.213,AS15169 Google LLC,1
208.72.154.76,vultr-honolulu,12.29,232.19,0.053,219.9,exited google,688.375109696495,192.178.240.206,AS15169 Google LLC,2
208.76.222.30,vultr-madrid,231.09,231.09,1.0,0.0,exited google,N/A,108.170.252.224,nan,2
216.238.66.16,vultr-mexico city,218.78,57.2,3.825,-161.58,exited google,688.375109696495,108.170.233.255,AS15169 Google LLC,1
216.238.98.118,vultr-sao paulo,224.85,232.60500000000002,0.967,7.755,exited google,N/A,142.250.215.22,nan,1
21wiz.com,tranco-rank10k,15.254999999999999,116.765,0.131,101.51,exited google,409.51788539249014,172.253.64.213,AS15169 Google LLC,1
22.cn,tranco-rank10k,11.66,225.0,0.052,213.34,exited google,688.375109696495,142.251.245.174,AS15169 Google LLC,2
24-hd.com,tranco-rank10k,227.95499999999998,10.81,21.087,-217.145,exited google,409.51788539249014,74.125.245.98,AS15169 Google LLC,2
24-jav.com,tranco-rank10k,10.55,10.71,0.985,0.16,exited google,409.51788539249014,74.125.243.158,AS15169 Google LLC,2
24exch.co,tranco-rank100k,221.68,221.68,1.0,0.0,exited google,409.51788539249014,74.125.243.170,AS15169 Google LLC,2
2gis.com,tranco-top1k,353.02,358.89,0.984,5.87,exited google,6539.9127809468855,192.178.97.116,AS15169 Google LLC,2
32red.com,tranco-rank10k,12.405000000000001,222.825,0.056,210.42,exited google,688.375109696495,142.250.214.161,AS15169 Google LLC,1
33across.com,tranco-top1k,12.16,12.16,1.0,0.0,exited google,688.375109696495,192.178.248.16,AS15169 Google LLC,2
