Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,5.92,119.135,0.05,113.215,exited google,367.74850029793566,142.251.65.164,AS15169 Google LLC,1
037hdx.tv,tranco-rank100k,219.99,6.39,34.427,-213.6,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,8.18,18.19,0.45,10.01,exited google,367.74850029793566,142.250.231.100,AS15169 Google LLC,2
104.156.244.232,vultr-miami,242.29500000000002,235.145,1.03,-7.15,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,486.69,235.51999999999998,2.066,-251.17,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,232.195,346.9,0.669,114.705,exited google,N/A,142.251.66.65,nan,1
108.61.193.166,vultr-atlanta,228.26,225.425,1.013,-2.835,exited google,N/A,108.170.248.86,nan,2
108.61.194.105,vultr-seattle,228.97,237.3,0.965,8.33,exited google,1401.9958250551674,142.251.54.146,AS15169 Google LLC,1
108.61.196.101,vultr-london,233.815,227.29,1.029,-6.525,exited google,8422.226453880945,192.178.97.116,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,234.40499999999997,231.9,1.011,-2.505,exited google,8610.835381825073,74.125.242.152,nan,2
108.61.201.151,vultr-tokyo,246.27,223.09,1.104,-23.18,exited google,N/A,72.14.239.222,nan,1
108.61.209.127,vultr-paris,230.905,239.64,0.964,8.735,exited google,8751.224706718542,72.14.235.97,AS15169 Google LLC,1
108.61.210.117,vultr-frankfurt,361.27,222.64,1.623,-138.63,exited google,8975.612923963325,209.85.249.228,nan,2
108.61.212.117,vultr-sydney,231.87,227.035,1.021,-4.835,exited google,N/A,74.125.251.94,nan,1
108.61.219.200,vultr-los angeles,6.52,117.045,0.056,110.525,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
11kk.love,tranco-rank10k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
123-hd.com,tranco-rank10k,6.68,6.29,1.062,-0.39,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
123mkv.team,tranco-rank100k,7.07,7.97,0.887,0.9,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
12moviesda.com,tranco-rank100k,6.8149999999999995,13.8,0.494,6.985,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
139.84.130.100,vultr-bangalore,223.75,234.36,0.955,10.61,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,128.965,244.385,0.528,115.42,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
139.84.226.78,vultr-johannesburg,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
141.164.34.61,vultr-seoul,9.38,234.555,0.04,225.175,exited google,N/A,74.125.242.160,nan,2
149.248.50.81,vultr-toronto,231.915,248.49,0.933,16.575,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,237.115,247.41,0.958,10.295,exited google,3316.2191058018598,108.170.233.255,AS15169 Google LLC,1
1asb.com,tranco-rank100k,6.925,114.64,0.06,107.715,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
1c.ru,tranco-top1k,226.43,226.49,1.0,0.06,exited google,9496.156964384412,142.250.234.165,AS15169 Google LLC,1
1drv.com,tranco-top1k,113.03999999999999,239.15,0.473,126.11,exited google,367.74850029793566,142.251.65.164,AS15169 Google LLC,1
1exch.net,tranco-rank10k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
1goplus.com,tranco-rank10k,116.195,266.69,0.436,150.495,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
1internet.tv,tranco-rank10k,248.24,236.78,1.048,-11.46,exited google,8422.226453880945,192.178.97.116,AS15169 Google LLC,2
1nto.com,tranco-rank10k,116.22500000000001,7.88,14.749,-108.345,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
1pr.ru,tranco-rank100k,233.56,348.51,0.67,114.95,exited google,9496.156964384412,172.253.51.75,AS15169 Google LLC,1
1slu.com,tranco-rank10k,10.09,116.745,0.086,106.655,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
1tamilmv.fi,tranco-rank10k,6.75,7.29,0.926,0.54,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
1tamilyogi.vote,tranco-rank10k,113.64,6.529999999999999,17.403,-107.11,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
208.72.154.76,vultr-honolulu,11.36,233.54,0.049,222.18,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,224.315,229.48000000000002,0.977,5.165,exited google,N/A,142.250.225.71,nan,1
216.238.66.16,vultr-mexico city,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
216.238.98.118,vultr-sao paulo,240.685,357.855,0.673,117.17,exited google,N/A,142.250.215.22,nan,1
21wiz.com,tranco-rank10k,225.48,8.665,26.022,-216.815,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
22.cn,tranco-rank10k,123.79,225.475,0.549,101.685,exited google,616.8718055328491,142.251.254.66,AS15169 Google LLC,2
24-jav.com,tranco-rank10k,6.62,7.17,0.923,0.55,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
2gis.com,tranco-top1k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
32red.com,tranco-rank10k,5.73,232.63,0.025,226.9,exited google,367.74850029793566,142.251.65.164,AS15169 Google LLC,1
33across.com,tranco-top1k,7.34,7.34,1.0,0.0,exited google,367.74850029793566,142.251.48.238,AS15169 Google LLC,2
360.cn,tranco-top1k,223.18,225.71,0.989,2.53,exited google,616.8718055328491,172.253.76.84,AS15169 Google LLC,2
360safe.com,tranco-top1k,116.995,240.645,0.486,123.65,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
360yield.com,tranco-top1k,228.28,228.28,1.0,0.0,exited google,8422.226453880945,192.178.97.108,AS15169 Google LLC,2
399mb.com,tranco-rank100k,7.29,7.29,1.0,0.0,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
3ddd.ru,tranco-rank10k,223.96,235.88,0.949,11.92,exited google,8720.851948671916,108.170.232.216,AS15169 Google LLC,1
3gl.net,tranco-rank10k,5.9,222.81,0.026,216.91,exited google,367.74850029793566,142.251.65.164,AS15169 Google LLC,1
3gpking.name,tranco-rank10k,7.24,7.96,0.91,0.72,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
3isk.biz,tranco-rank10k,10.11,7.11,1.422,-3.0,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
3lift.com,tranco-top1k,9.34,119.66,0.078,110.32,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
45.32.100.168,vultr-singapore,236.78,244.44,0.969,7.66,exited google,N/A,72.14.232.209,nan,1
49erswebzone.com,tranco-rank100k,9.16,115.77499999999999,0.079,106.615,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
4dbeli.co,tranco-rank100k,7.51,8.71,0.862,1.2,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
4netplayers.com,tranco-rank100k,236.675,241.83,0.979,5.155,exited google,N/A,142.251.51.160,nan,1
5-tv.ru,tranco-rank10k,232.98,232.98,1.0,0.0,exited google,N/A,142.251.51.160,nan,1
5eos306rsc.com,tranco-rank10k,8.5,116.275,0.073,107.775,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
64.176.162.16,vultr-tel aviv,235.74,235.14,1.003,-0.6,exited google,8422.226453880945,192.178.97.114,AS15169 Google LLC,2
64.176.178.136,vultr-manchester,6.84,244.25,0.028,237.41,exited google,367.74850029793566,142.251.65.164,AS15169 Google LLC,1
64.176.2.7,vultr-santiago,112.565,243.59,0.462,131.025,exited google,367.74850029793566,142.251.65.164,AS15169 Google LLC,1
64.176.34.94,vultr-osaka,239.14,235.13,1.017,-4.01,exited google,N/A,216.239.59.104,nan,2
65.20.66.100,vultr-mumbai,239.37,245.29500000000002,0.976,5.925,exited google,N/A,142.250.213.233,nan,1
66lottery20.com,tranco-rank10k,222.64,7.21,30.879,-215.43,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
67.219.110.24,vultr-melbourne,223.02,229.2,0.973,6.18,exited google,N/A,142.250.224.113,nan,1
70.34.194.86,vultr-stockholm,242.31,238.33,1.017,-3.98,exited google,8579.122188912817,142.251.248.193,AS15169 Google LLC,1
70.34.242.24,vultr-warsaw,226.89,225.09,1.008,-1.8,exited google,N/A,74.125.252.117,nan,1
77luckyn.com,tranco-rank100k,225.96,7.2,31.383,-218.76,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
77moviehd.com,tranco-rank100k,5.77,7.135,0.809,1.365,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
789.club,tranco-rank10k,222.16,7.2,30.856,-214.96,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
7dak25e.org,tranco-rank10k,233.79000000000002,235.195,0.994,1.405,exited google,1401.9958250551674,142.251.49.8,AS15169 Google LLC,1
7dak25e.xyz,tranco-rank10k,235.91,232.23000000000002,1.016,-3.68,exited google,1401.9958250551674,142.251.49.8,AS15169 Google LLC,1
7dak25wb.org,tranco-rank10k,243.56,232.34,1.048,-11.22,exited google,1401.9958250551674,142.251.49.8,AS15169 Google LLC,1
7pass.de,tranco-rank100k,6.81,6.81,1.0,0.0,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
988lifeline.org,tranco-rank10k,8.18,7.4,1.105,-0.78,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
98aji.com,tranco-rank100k,222.69,8.02,27.767,-214.67,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
98wn40.com,tranco-rank100k,349.12,10.335,33.78,-338.785,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
99exch.com,tranco-rank10k,5.81,5.81,1.0,0.0,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
9news.com.au,tranco-rank10k,223.45999999999998,113.93,1.961,-109.53,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
a-mo.net,tranco-top1k,117.745,117.745,1.0,0.0,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
a222555.com,tranco-rank100k,125.30999999999999,252.07500000000002,0.497,126.765,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
a2sports.co,tranco-rank100k,226.11,9.395,24.067,-216.715,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
a8.net,tranco-rank10k,229.28,229.28,1.0,0.0,exited google,8921.158205634712,216.239.59.32,AS15169 Google LLC,2
aalto.fi,tranco-rank10k,8.75,8.75,1.0,0.0,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
aatkit.com,tranco-rank10k,223.15,239.71,0.931,16.56,exited google,N/A,66.249.94.174,nan,1
abc7.com,tranco-rank10k,8.91,8.91,1.0,0.0,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
abgmlenuk.wiki,tranco-rank100k,7.095,8.19,0.866,1.095,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
abo2sadam.net,tranco-rank100k,10.0,242.905,0.041,232.905,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
