Destination,Destination IP,Hop,IP,ASN,City,Region,Country,Loc,Postal,Timezone,RTT1,RTT2,RTT3,Source
microsoft.com,13.107.246.46,1.0,74.125.37.114,AS15169 Google LLC,Tokyo,Tokyo,JP,"35.6895,139.6917",101-8656,Asia/Tokyo,3.29,1.29,1.23,tranco-top1k
google.com,142.250.207.14,1.0,*,,,,,,,,*,*,*,tranco-top1k
facebook.com,157.240.31.35,1.0,142.251.60.112,AS15169 Google LLC,Tokyo,Tokyo,JP,"35.6895,139.6917",101-8656,Asia/Tokyo,220.99,1.35,*,tranco-top1k
googleapis.com,142.250.207.36,1.0,*,,,,,,,,*,*,*,tranco-top1k
mail.ru,94.100.180.200,1.0,216.239.43.205,AS15169 Google LLC,Moscow,Moscow,RU,"55.7522,37.6156",101000,Europe/Moscow,482.26,*,*,tranco-top1k
amazonaws.com,72.21.210.29,1.0,142.250.62.135,AS15169 Google LLC,Dallas,Texas,US,"32.7831,-96.8067",75201,America/Chicago,232.12,246.15,238.06,tranco-top1k
apple.com,17.253.144.10,1.0,142.251.60.112,AS15169 Google LLC,Tokyo,Tokyo,JP,"35.6895,139.6917",101-8656,Asia/Tokyo,2.96,1.14,4.22,tranco-top1k
live.com,204.79.197.212,1.0,74.125.37.114,AS15169 Google LLC,Tokyo,Tokyo,JP,"35.6895,139.6917",101-8656,Asia/Tokyo,3.06,1.46,1.44,tranco-top1k
cloudflare.com,104.16.132.229,1.0,72.14.239.222,AS15169 Google LLC,Tokyo,Tokyo,JP,"35.6895,139.6917",101-8656,Asia/Tokyo,3.06,*,1.32,tranco-top1k
dzen.ru,5.61.23.39,1.0,216.239.43.205,AS15169 Google LLC,Moscow,Moscow,RU,"55.7522,37.6156",101000,Europe/Moscow,483.11,*,*,tranco-top1k
linkedin.com,150.171.22.12,1.0,74.125.251.87,AS15169 Google LLC,Tokyo,Tokyo,JP,"35.6895,139.6917",101-8656,Asia/Tokyo,1.23,*,1.28,tranco-top1k
microsoft.com,13.107.246.46,2.0,*,,,,,,,,*,*,*,tranco-top1k
facebook.com,157.240.31.35,2.0,*,,,,,,,,*,*,*,tranco-top1k
instagram.com,157.240.31.174,1.0,142.251.60.112,AS15169 Google LLC,Tokyo,Tokyo,JP,"35.6895,139.6917",101-8656,Asia/Tokyo,1.35,1.29,*,tranco-top1k
googlevideo.com,142.250.207.4,1.0,*,,,,,,,,*,*,*,tranco-top1k
apple.com,17.253.144.10,2.0,17.1.178.30,AS714 Apple Inc.,Tokyo,Tokyo,JP,"35.6895,139.6917",101-8656,Asia/Tokyo,1.21,0.89,*,tranco-top1k
netflix.com,44.242.60.85,1.0,142.251.54.146,AS15169 Google LLC,Seattle,Washington,US,"47.6062,-122.3321",98101,America/Los_Angeles,*,*,224.36,tranco-top1k
gstatic.com,142.250.196.99,1.0,*,,,,,,,,*,*,*,tranco-top1k
youtube.com,142.251.42.142,1.0,*,,,,,,,,*,*,*,tranco-top1k
mail.ru,94.100.180.200,2.0,*,,,,,,,,*,*,*,tranco-top1k
domaincontrol.com,127.0.0.1,1.0,*,,,,,,,,*,*,*,tranco-top1k
fbcdn.net,157.240.31.35,1.0,142.251.60.112,AS15169 Google LLC,Tokyo,Tokyo,JP,"35.6895,139.6917",101-8656,Asia/Tokyo,1.27,*,*,tranco-top1k
workers.dev,104.18.12.15,1.0,66.249.95.81,AS15169 Google LLC,Tokyo,Tokyo,JP,"35.6895,139.6917",101-8656,Asia/Tokyo,*,1.94,1.42,tranco-top1k
appsflyersdk.com,3.173.197.23,1.0,142.251.241.125,AS15169 Google LLC,Tokyo,Tokyo,JP,"35.6895,139.6917",101-8656,Asia/Tokyo,*,3.19,1.36,tranco-top1k
googletagmanager.com,216.58.220.136,1.0,*,,,,,,,,*,*,*,tranco-top1k
cloudflare.com,104.16.132.229,2.0,*,,,,,,,,*,*,*,tranco-top1k
googlesyndication.com,172.217.175.36,1.0,*,,,,,,,,*,*,*,tranco-top1k
adobe.com,23.208.31.163,1.0,142.251.241.125,AS15169 Google LLC,Tokyo,Tokyo,JP,"35.6895,139.6917",101-8656,Asia/Tokyo,3.32,*,*,tranco-top1k
live.com,204.79.197.212,2.0,*,,,,,,,,*,*,*,tranco-top1k
doubleclick.net,172.217.161.78,1.0,*,,,,,,,,*,*,*,tranco-top1k
skype.com,20.76.201.171,1.0,74.125.251.87,AS15169 Google LLC,Tokyo,Tokyo,JP,"35.6895,139.6917",101-8656,Asia/Tokyo,*,240.98,1.56,tranco-top1k
digicert.com,45.60.121.229,1.0,209.85.241.183,AS15169 Google LLC,Seattle,Washington,US,"47.6062,-122.3321",98101,America/Los_Angeles,223.82,220.83,241.31,tranco-top1k
whatsapp.net,157.240.31.60,1.0,142.251.60.112,AS15169 Google LLC,Tokyo,Tokyo,JP,"35.6895,139.6917",101-8656,Asia/Tokyo,1.49,1.57,1.59,tranco-top1k
ntp.org,204.93.207.22,1.0,108.170.238.82,AS15169 Google LLC,Chicago,Illinois,US,"41.8500,-87.6500",60666,America/Chicago,245.62,*,249.87,tranco-top1k
sharepoint.com,13.107.138.10,1.0,74.125.37.114,AS15169 Google LLC,Tokyo,Tokyo,JP,"35.6895,139.6917",101-8656,Asia/Tokyo,1.31,1.5,1.43,tranco-top1k
