Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,237.46,476.705,0.498,239.245,exited google,8074.565648740277,108.170.252.224,AS15169 Google LLC,2
037hdx.tv,tranco-rank100k,1.55,1.7,0.912,0.15,exited google,0.42014159909664317,172.253.65.5,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,490.56,284.27,1.726,-206.29,exited google,N/A,142.250.231.100,nan,2
104.156.244.232,vultr-miami,243.2,239.34,1.016,-3.86,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,241.5,232.14999999999998,1.04,-9.35,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,235.24,242.88,0.969,7.64,exited google,12833.326104025477,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,245.99,228.3,1.077,-17.69,exited google,N/A,74.125.243.66,nan,2
108.61.194.105,vultr-seattle,483.61,278.55,1.736,-205.06,exited google,16503.043546607038,142.251.54.146,AS15169 Google LLC,1
108.61.196.101,vultr-london,229.5,220.25,1.042,-9.25,exited google,9039.607381856466,192.178.97.50,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,240.69,237.52,1.013,-3.17,exited google,N/A,74.125.242.180,nan,2
108.61.201.151,vultr-tokyo,487.36,492.32,0.99,4.96,exited google,13537.443382842483,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,229.64,234.68,0.979,5.04,exited google,8697.643281237486,108.170.255.222,nan,2
108.61.210.117,vultr-frankfurt,235.49,232.43,1.013,-3.06,exited google,8667.195464787283,72.14.234.209,AS15169 Google LLC,1
108.61.212.117,vultr-sydney,487.84,482.86,1.01,-4.98,exited google,N/A,66.249.94.19,nan,1
108.61.219.200,vultr-los angeles,474.25,270.81,1.751,-203.44,exited google,16680.681426979892,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,227.78,257.39,0.885,29.61,exited google,8074.565648740277,108.170.225.250,AS15169 Google LLC,2
11kk.love,tranco-rank10k,1.57,1.56,1.006,-0.01,exited google,0.42014159909664317,172.253.65.5,AS15169 Google LLC,1
