Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,235.095,367.58000000000004,0.64,132.485,exited google,681.2772378052912,72.14.236.39,AS15169 Google LLC,1
037hdx.tv,tranco-rank100k,238.88,228.54,1.045,-10.34,exited google,681.2772378052912,72.14.236.39,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,224.0,239.23,0.936,15.23,exited google,11074.102395096694,142.250.231.100,nan,2
104.156.244.232,vultr-miami,230.08499999999998,240.72,0.956,10.635,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,230.2,232.21,0.991,2.01,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,233.02,225.27,1.034,-7.75,exited google,N/A,142.251.66.65,nan,1
108.61.193.166,vultr-atlanta,228.19,238.41,0.957,10.22,exited google,N/A,108.170.248.86,nan,2
108.61.194.105,vultr-seattle,245.29,237.76,1.032,-7.53,exited google,9894.93352834231,142.251.54.146,AS15169 Google LLC,1
108.61.196.101,vultr-london,244.74,264.15,0.927,19.41,exited google,9838.242881452508,192.178.98.2,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,485.52,470.44,1.032,-15.08,exited google,9503.464223465002,74.125.242.164,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,228.035,239.005,0.954,10.97,exited google,2247.1419600747463,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,248.97,262.81,0.947,13.84,exited google,N/A,142.251.249.196,nan,1
108.61.210.117,vultr-frankfurt,260.17,261.54,0.995,1.37,exited google,N/A,209.85.249.228,nan,2
108.61.212.117,vultr-sydney,229.25,239.48,0.957,10.23,exited google,N/A,66.249.94.19,nan,1
108.61.219.200,vultr-los angeles,233.01,240.58,0.969,7.57,exited google,11074.102395096694,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,234.33,290.65,0.806,56.32,exited google,681.2772378052912,72.14.236.39,AS15169 Google LLC,1
11kk.love,tranco-rank10k,222.66,231.3,0.963,8.64,exited google,147.56500107057633,72.14.235.202,AS15169 Google LLC,1
123-hd.com,tranco-rank10k,231.55,232.16,0.997,0.61,exited google,681.2772378052912,142.251.49.143,AS15169 Google LLC,1
123mkv.team,tranco-rank100k,3.99,3.91,1.02,-0.08,exited google,147.56500107057633,72.14.235.202,AS15169 Google LLC,1
12moviesda.com,tranco-rank100k,3.7,3.84,0.964,0.14,exited google,147.56500107057633,192.178.106.70,AS15169 Google LLC,2
139.84.130.100,vultr-bangalore,236.36,229.9,1.028,-6.46,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,229.69,475.4,0.483,245.71,exited google,N/A,74.125.37.85,nan,1
139.84.226.78,vultr-johannesburg,231.59,482.28999999999996,0.48,250.7,exited google,681.2772378052912,72.14.236.39,AS15169 Google LLC,1
141.164.34.61,vultr-seoul,3.9,236.07,0.017,232.17,exited google,147.56500107057633,72.14.235.202,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,227.29,239.24,0.95,11.95,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,3.26,485.22,0.007,481.96,exited google,147.56500107057633,142.250.214.223,AS15169 Google LLC,1
1asb.com,tranco-rank100k,4.1,4.01,1.022,-0.09,exited google,147.56500107057633,192.178.105.246,AS15169 Google LLC,2
1c.ru,tranco-top1k,487.0,472.79999999999995,1.03,-14.2,exited google,7393.951834546042,142.250.234.165,AS15169 Google LLC,1
1drv.com,tranco-top1k,3.49,472.49,0.007,469.0,exited google,147.56500107057633,142.250.214.242,AS15169 Google LLC,1
1goplus.com,tranco-rank10k,3.69,3.48,1.06,-0.21,exited google,147.56500107057633,192.178.106.70,AS15169 Google LLC,2
1internet.tv,tranco-rank10k,244.6,244.58,1.0,-0.02,exited google,N/A,74.125.251.219,nan,1
1learn.in,tranco-rank100k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
1nto.com,tranco-rank10k,4.42,3.84,1.151,-0.58,exited google,147.56500107057633,72.14.235.202,AS15169 Google LLC,1
1slu.com,tranco-rank10k,3.51,3.71,0.946,0.2,exited google,147.56500107057633,72.14.235.202,AS15169 Google LLC,1
1tamilmv.fi,tranco-rank10k,3.57,3.76,0.949,0.19,exited google,147.56500107057633,72.14.235.202,AS15169 Google LLC,1
208.72.154.76,vultr-honolulu,231.20999999999998,244.685,0.945,13.475,exited google,9894.93352834231,142.251.54.146,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,247.74,247.74,1.0,0.0,exited google,N/A,108.170.252.252,nan,2
216.238.66.16,vultr-mexico city,244.39,244.47,1.0,0.08,exited google,681.2772378052912,72.14.236.39,AS15169 Google LLC,1
216.238.98.118,vultr-sao paulo,483.86,487.08,0.993,3.22,exited google,18740.02161266165,142.251.53.98,AS15169 Google LLC,2
21wiz.com,tranco-rank10k,3.71,3.86,0.961,0.15,exited google,147.56500107057633,192.178.105.246,AS15169 Google LLC,2
22.cn,tranco-rank10k,3.86,485.505,0.008,481.645,exited google,147.56500107057633,142.250.214.223,AS15169 Google LLC,1
24-hd.com,tranco-rank10k,228.39,248.56,0.919,20.17,exited google,681.2772378052912,72.14.236.39,AS15169 Google LLC,1
24-jav.com,tranco-rank10k,223.825,237.93,0.941,14.105,exited google,681.2772378052912,72.14.236.39,AS15169 Google LLC,1
2gis.com,tranco-top1k,245.82,245.685,1.001,-0.135,exited google,N/A,74.125.251.219,nan,1
32red.com,tranco-rank10k,237.06,484.11,0.49,247.05,exited google,681.2772378052912,72.14.236.39,AS15169 Google LLC,1
33across.com,tranco-top1k,223.99,223.99,1.0,0.0,exited google,681.2772378052912,72.14.236.39,AS15169 Google LLC,1
360.cn,tranco-top1k,219.93,494.36,0.445,274.43,exited google,147.56500107057633,142.250.214.223,AS15169 Google LLC,1
360safe.com,tranco-top1k,220.27,480.72,0.458,260.45,exited google,147.56500107057633,142.250.214.223,AS15169 Google LLC,1
360yield.com,tranco-top1k,244.65,244.65,1.0,0.0,exited google,9838.242881452508,192.178.98.2,AS15169 Google LLC,2
3ddd.ru,tranco-rank10k,475.31,245.325,1.937,-229.985,exited google,7393.951834546042,142.250.234.164,AS15169 Google LLC,1
3gl.net,tranco-rank10k,229.82999999999998,480.19,0.479,250.36,exited google,681.2772378052912,72.14.236.39,AS15169 Google LLC,1
45.32.100.168,vultr-singapore,234.495,236.1,0.993,1.605,exited google,3096.7112160802344,142.250.237.158,AS15169 Google LLC,1
4netplayers.com,tranco-rank100k,249.69,487.89,0.512,238.2,exited google,9503.464223465002,66.249.95.7,AS15169 Google LLC,1
5-tv.ru,tranco-rank10k,249.05,249.05,1.0,0.0,exited google,9503.464223465002,142.251.51.160,AS15169 Google LLC,1
5eos306rsc.com,tranco-rank10k,3.84,3.365,1.141,-0.475,exited google,147.56500107057633,192.178.105.246,AS15169 Google LLC,2
5movierulz.luxe,tranco-rank10k,3.61,3.57,1.011,-0.04,exited google,147.56500107057633,192.178.105.192,AS15169 Google LLC,2
64.176.162.16,vultr-tel aviv,244.59,485.31500000000005,0.504,240.725,exited google,9838.242881452508,192.178.97.188,AS15169 Google LLC,2
64.176.178.136,vultr-manchester,230.56,269.41,0.856,38.85,exited google,681.2772378052912,72.14.236.39,AS15169 Google LLC,1
64.176.2.7,vultr-santiago,237.06,485.76,0.488,248.7,exited google,9894.93352834231,142.250.225.34,nan,2
64.176.34.94,vultr-osaka,225.63,232.69,0.97,7.06,exited google,1865.6545651381803,108.170.255.64,nan,2
65.20.66.100,vultr-mumbai,223.68,235.18,0.951,11.5,exited google,4944.123195864407,192.178.110.128,AS15169 Google LLC,2
