Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,233.49,224.7,1.039,-8.79,exited google,2879.4760131004923,72.14.236.39,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,222.04,238.06,0.933,16.02,exited google,8838.470245270793,66.249.94.46,AS15169 Google LLC,2
104.156.244.232,vultr-miami,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
107.191.51.12,vultr-chicago,241.12,352.485,0.684,111.365,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,225.95,230.165,0.982,4.215,exited google,N/A,142.251.66.65,nan,1
108.61.193.166,vultr-atlanta,231.67,227.98,1.016,-3.69,exited google,N/A,74.125.243.66,nan,2
108.61.194.105,vultr-seattle,233.54500000000002,245.485,0.951,11.94,exited google,7718.874683092817,142.251.54.146,AS15169 Google LLC,1
108.61.196.101,vultr-london,242.82999999999998,242.82999999999998,1.0,0.0,exited google,9581.970340205078,192.178.97.50,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,227.01,241.09,0.942,14.08,exited google,9311.096502298684,74.125.242.152,nan,2
108.61.201.151,vultr-tokyo,2.5549999999999997,1.54,1.659,-1.015,exited google,4.027730860664557,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,220.19,231.745,0.95,11.555,exited google,N/A,108.170.255.222,nan,2
108.61.210.117,vultr-frankfurt,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
108.61.212.117,vultr-sydney,232.83,244.22,0.953,11.39,exited google,N/A,66.249.94.19,nan,1
108.61.219.200,vultr-los angeles,227.57,475.58,0.479,248.01,exited google,8838.470245270793,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,1.4,225.41,0.006,224.01,exited google,4.027730860664557,142.251.60.112,AS15169 Google LLC,1
11kk.love,tranco-rank10k,217.88,1.9249999999999998,113.184,-215.955,exited google,4.027730860664557,72.14.239.222,AS15169 Google LLC,1
123-hd.com,tranco-rank10k,1.32,1.98,0.667,0.66,exited google,4.027730860664557,72.14.239.222,AS15169 Google LLC,1
12moviesda.com,tranco-rank100k,2.59,1.61,1.609,-0.98,exited google,4.027730860664557,72.14.239.222,AS15169 Google LLC,1
139.84.130.100,vultr-bangalore,235.99,225.56,1.046,-10.43,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,245.28,225.64,1.087,-19.64,exited google,N/A,74.125.37.85,nan,1
139.84.226.78,vultr-johannesburg,496.79,602.1,0.825,105.31,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,2.535,229.54,0.011,227.005,exited google,4.027730860664557,74.125.251.87,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,233.325,236.34,0.987,3.015,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,1.37,476.64,0.003,475.27,exited google,4.027730860664557,74.125.251.95,AS15169 Google LLC,1
1c.ru,tranco-top1k,465.25,242.485,1.919,-222.765,exited google,7496.045157432554,72.14.237.202,AS15169 Google LLC,1
1drv.com,tranco-top1k,1.35,232.195,0.006,230.845,exited google,4.027730860664557,74.125.37.114,AS15169 Google LLC,1
1exch.net,tranco-rank10k,1.39,1.39,1.0,0.0,exited google,4.027730860664557,108.170.248.170,AS15169 Google LLC,2
1goplus.com,tranco-rank10k,1.36,1.785,0.762,0.425,exited google,4.027730860664557,108.170.248.170,AS15169 Google LLC,2
1internet.tv,tranco-rank10k,245.55,478.16,0.514,232.61,exited google,9581.970340205078,74.125.251.219,AS15169 Google LLC,1
1nto.com,tranco-rank10k,1.19,1.0499999999999998,1.133,-0.14,exited google,4.027730860664557,108.170.248.242,AS15169 Google LLC,2
1pr.ru,tranco-rank100k,366.615,366.615,1.0,0.0,exited google,7496.045157432554,192.178.241.118,AS15169 Google LLC,2
1tamilmv.fi,tranco-rank10k,1.43,111.00500000000001,0.013,109.575,exited google,4.027730860664557,72.14.239.222,AS15169 Google LLC,1
208.72.154.76,vultr-honolulu,247.25,236.87,1.044,-10.38,exited google,7718.874683092817,142.251.54.146,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,228.09,228.09,1.0,0.0,exited google,10785.519474748307,192.178.110.70,AS15169 Google LLC,2
216.238.66.16,vultr-mexico city,2.17,233.34,0.009,231.17,exited google,4.027730860664557,142.251.60.112,AS15169 Google LLC,1
216.238.98.118,vultr-sao paulo,253.07,371.395,0.681,118.325,exited google,N/A,142.250.215.21,nan,1
21wiz.com,tranco-rank10k,1.2,1.25,0.96,0.05,exited google,4.027730860664557,108.170.248.170,AS15169 Google LLC,2
22.cn,tranco-rank10k,2.2,477.5,0.005,475.3,exited google,4.027730860664557,74.125.251.95,AS15169 Google LLC,1
24-hd.com,tranco-rank10k,1.4,1.7650000000000001,0.793,0.365,exited google,4.027730860664557,72.14.239.222,AS15169 Google LLC,1
24-jav.com,tranco-rank10k,1.3650000000000002,1.16,1.177,-0.205,exited google,4.027730860664557,72.14.239.222,AS15169 Google LLC,1
24exch.co,tranco-rank100k,228.12,228.12,1.0,0.0,exited google,10421.582153900179,142.251.247.61,AS15169 Google LLC,1
2gis.com,tranco-top1k,229.84,472.07,0.487,242.23,exited google,9581.970340205078,192.178.97.116,AS15169 Google LLC,2
33across.com,tranco-top1k,124.095,6.03,20.58,-118.065,exited google,4.027730860664557,72.14.239.222,AS15169 Google LLC,1
360.cn,tranco-top1k,4.1,473.025,0.009,468.925,exited google,4.027730860664557,74.125.251.95,AS15169 Google LLC,1
360safe.com,tranco-top1k,1.26,241.37,0.005,240.11,exited google,4.027730860664557,74.125.251.95,AS15169 Google LLC,1
360yield.com,tranco-top1k,247.59,247.59,1.0,0.0,exited google,9581.970340205078,192.178.98.0,AS15169 Google LLC,2
399mb.com,tranco-rank100k,113.795,10.19,11.167,-103.605,exited google,393.2835810172025,108.170.238.52,AS15169 Google LLC,2
3ddd.ru,tranco-rank10k,257.975,474.07,0.544,216.095,exited google,7496.045157432554,142.250.234.164,AS15169 Google LLC,1
3gl.net,tranco-rank10k,236.35,233.06,1.014,-3.29,exited google,2879.4760131004923,72.14.236.39,AS15169 Google LLC,1
45.32.100.168,vultr-singapore,226.58,235.95499999999998,0.96,9.375,exited google,5306.342968705195,72.14.232.209,AS15169 Google LLC,1
5-tv.ru,tranco-rank10k,232.57,232.57,1.0,0.0,exited google,9311.096502298684,66.249.95.7,AS15169 Google LLC,1
64.176.162.16,vultr-tel aviv,232.14,734.7,0.316,502.56,exited google,9581.970340205078,192.178.97.114,AS15169 Google LLC,2
64.176.178.136,vultr-manchester,222.72,494.36,0.451,271.64,exited google,2879.4760131004923,72.14.236.39,AS15169 Google LLC,1
64.176.2.7,vultr-santiago,219.63,486.03,0.452,266.4,exited google,7718.874683092817,142.251.54.146,AS15169 Google LLC,1
64.176.34.94,vultr-osaka,10.44,7.97,1.31,-2.47,exited google,393.2835810172025,192.178.110.60,AS15169 Google LLC,2
65.20.66.100,vultr-mumbai,248.09,241.23000000000002,1.028,-6.86,exited google,N/A,142.250.213.233,nan,1
66lottery20.com,tranco-rank10k,1.31,1.275,1.027,-0.035,exited google,4.027730860664557,72.14.239.222,AS15169 Google LLC,1
67.219.110.24,vultr-melbourne,243.34,245.72,0.99,2.38,exited google,N/A,142.250.224.106,nan,1
70.34.194.86,vultr-stockholm,243.22500000000002,243.625,0.998,0.4,exited google,N/A,142.250.236.116,nan,2
70.34.242.24,vultr-warsaw,239.66,250.87,0.955,11.21,exited google,8599.132537561505,64.233.174.228,nan,2
77luckyn.com,tranco-rank100k,1.75,1.335,1.311,-0.415,exited google,4.027730860664557,216.239.59.32,AS15169 Google LLC,2
77moviehd.com,tranco-rank100k,1.29,1.0,1.29,-0.29,exited google,4.027730860664557,108.170.248.170,AS15169 Google LLC,2
7dak25e.xyz,tranco-rank10k,223.08,522.09,0.427,299.01,exited google,7718.874683092817,142.251.49.8,AS15169 Google LLC,1
7dak25et.com,tranco-rank10k,234.11,256.47,0.913,22.36,exited google,7718.874683092817,142.251.49.8,AS15169 Google LLC,1
888bets.co.mz,tranco-rank10k,1.72,1.72,1.0,0.0,exited google,4.027730860664557,216.239.59.32,AS15169 Google LLC,2
888ifun.com,tranco-rank100k,1.48,2.105,0.703,0.625,exited google,4.027730860664557,72.14.239.222,AS15169 Google LLC,1
98wn40.com,tranco-rank100k,8.18,10.19,0.803,2.01,exited google,393.2835810172025,216.239.47.30,AS15169 Google LLC,2
9news.com.au,tranco-rank10k,8.27,9.1,0.909,0.83,exited google,393.2835810172025,108.170.255.64,AS15169 Google LLC,2
9xflix.foo,tranco-rank10k,1.1800000000000002,1.29,0.915,0.11,exited google,4.027730860664557,108.170.248.242,AS15169 Google LLC,2
a-mo.net,tranco-top1k,223.23,227.37,0.982,4.14,exited google,8838.470245270793,142.251.65.159,AS15169 Google LLC,1
a2sports.co,tranco-rank100k,9.700000000000001,1.63,5.951,-8.07,exited google,4.027730860664557,142.251.66.206,AS15169 Google LLC,2
