Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
07br.cc,tranco-rank100k,0.43,1.25,0.344,0.82,exited google,0.6256338023785751,72.14.236.74,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,223.81,248.36,0.901,24.55,exited google,N/A,142.250.231.100,nan,2
104.156.244.232,vultr-miami,487.26,250.095,1.948,-237.165,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,253.69,238.015,1.066,-15.675,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,275.06,232.6,1.183,-42.46,exited google,12556.652687224965,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,479.36,235.815,2.033,-243.545,exited google,N/A,74.125.243.66,nan,2
108.61.194.105,vultr-seattle,241.51,247.67,0.975,6.16,exited google,12465.149387569278,142.251.54.146,AS15169 Google LLC,1
108.61.196.101,vultr-london,482.17,242.70499999999998,1.987,-239.465,exited google,7199.454478757893,192.178.97.190,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,480.405,238.11,2.018,-242.295,exited google,6859.995709377773,74.125.242.180,nan,2
108.61.201.151,vultr-tokyo,221.74,229.945,0.964,8.205,exited google,6733.564570736343,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,488.39,238.22,2.05,-250.17,exited google,7017.475376093538,108.170.255.222,nan,2
108.61.210.117,vultr-frankfurt,490.73,249.33,1.968,-241.4,exited google,N/A,66.249.94.174,nan,1
108.61.212.117,vultr-sydney,236.1,241.28,0.979,5.18,exited google,N/A,66.249.94.19,nan,1
108.61.219.200,vultr-los angeles,223.55,244.18,0.916,20.63,exited google,N/A,142.251.65.159,nan,1
108.61.224.175,vultr-dallas,225.53,245.35500000000002,0.919,19.825,exited google,3908.787911855487,72.14.232.209,AS15169 Google LLC,1
10g.su,tranco-rank100k,485.51,479.45,1.013,-6.06,exited google,N/A,216.239.48.76,nan,2
11kk.love,tranco-rank10k,0.71,1.1600000000000001,0.612,0.45,exited google,0.6256338023785751,72.14.236.74,AS15169 Google LLC,1
123-hd.com,tranco-rank10k,0.7050000000000001,1.73,0.408,1.025,exited google,0.6256338023785751,72.14.236.74,AS15169 Google LLC,1
123mkv.team,tranco-rank100k,5.215,1.58,3.301,-3.635,exited google,0.6256338023785751,72.14.236.75,AS15169 Google LLC,1
1242.com,tranco-rank100k,239.79,241.36,0.993,1.57,exited google,6733.564570736343,108.170.231.102,AS15169 Google LLC,2
12moviesda.com,tranco-rank100k,0.76,0.81,0.938,0.05,exited google,0.6256338023785751,72.14.236.74,AS15169 Google LLC,1
139.84.130.100,vultr-bangalore,1.28,225.72,0.006,224.44,exited google,0.6256338023785751,72.14.235.110,AS15169 Google LLC,1
139.84.162.104,vultr-delhi ncr,17.36,233.215,0.074,215.855,exited google,1031.5818255663296,74.125.37.85,AS15169 Google LLC,1
139.84.226.78,vultr-johannesburg,494.61,495.255,0.999,0.645,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,229.06,233.755,0.98,4.695,exited google,3908.787911855487,142.250.237.158,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,373.68,245.35,1.523,-128.33,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,231.06,262.085,0.882,31.025,exited google,3908.787911855487,142.250.237.158,AS15169 Google LLC,1
1asb.com,tranco-rank100k,0.7,2.22,0.315,1.52,exited google,0.6256338023785751,72.14.236.74,AS15169 Google LLC,1
1c.ru,tranco-top1k,486.62,474.97,1.025,-11.65,exited google,5025.816801673382,72.14.237.202,AS15169 Google LLC,1
1drv.com,tranco-top1k,0.715,226.8,0.003,226.085,exited google,0.6256338023785751,72.14.235.111,AS15169 Google LLC,1
1goplus.com,tranco-rank10k,0.405,0.83,0.488,0.425,exited google,0.6256338023785751,72.14.236.74,AS15169 Google LLC,1
1internet.tv,tranco-rank10k,474.63,484.645,0.979,10.015,exited google,6479.993668052122,72.14.235.78,AS15169 Google LLC,1
1learn.in,tranco-rank100k,1.2,0.39,3.077,-0.81,exited google,0.6256338023785751,142.250.212.171,AS15169 Google LLC,3
1nto.com,tranco-rank10k,0.395,0.86,0.459,0.465,exited google,0.6256338023785751,72.14.236.74,AS15169 Google LLC,1
1slu.com,tranco-rank10k,0.4,113.27,0.004,112.87,exited google,0.6256338023785751,72.14.236.74,AS15169 Google LLC,1
1tamilmv.fi,tranco-rank10k,1.34,2.3,0.583,0.96,exited google,0.6256338023785751,72.14.236.74,AS15169 Google LLC,1
208.72.154.76,vultr-honolulu,499.91,485.65,1.029,-14.26,exited google,12556.652687224965,142.251.60.123,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,481.4,490.23,0.982,8.83,exited google,N/A,108.170.228.187,nan,1
216.238.66.16,vultr-mexico city,238.86,484.13,0.493,245.27,exited google,3908.787911855487,108.170.237.141,AS15169 Google LLC,1
216.238.98.118,vultr-sao paulo,477.92,477.2,1.002,-0.72,exited google,N/A,142.251.64.24,nan,2
21wiz.com,tranco-rank10k,0.39,0.89,0.438,0.5,exited google,0.6256338023785751,72.14.236.74,AS15169 Google LLC,1
22.cn,tranco-rank10k,983.28,488.34,2.014,-494.94,exited google,12465.149387569278,209.85.241.183,AS15169 Google LLC,1
24-hd.com,tranco-rank10k,0.49,0.915,0.536,0.425,exited google,0.6256338023785751,72.14.236.74,AS15169 Google LLC,1
24-jav.com,tranco-rank10k,0.7,1.94,0.361,1.24,exited google,0.6256338023785751,72.14.236.75,AS15169 Google LLC,1
