Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,225.33,225.71,0.998,0.38,exited google,3250.9050272865966,72.14.236.39,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,229.11,234.76,0.976,5.65,exited google,N/A,142.250.231.100,nan,2
104.156.244.232,vultr-miami,236.62,231.36,1.023,-5.26,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,229.63,227.91,1.008,-1.72,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,367.96500000000003,229.94,1.6,-138.025,exited google,16180.716358213744,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,229.39,232.7,0.986,3.31,exited google,N/A,108.170.248.94,nan,2
108.61.194.105,vultr-seattle,230.94,246.86,0.936,15.92,exited google,13482.195244769893,142.251.54.146,AS15169 Google LLC,1
108.61.196.101,vultr-london,480.36,234.41,2.049,-245.95,exited google,11718.763125865695,192.178.97.116,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,487.28,237.4,2.053,-249.88,exited google,11364.07427111164,74.125.243.76,nan,2
108.61.201.151,vultr-tokyo,232.7,223.14,1.043,-9.56,exited google,5771.3348511766835,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,481.16,236.77,2.032,-244.39,exited google,N/A,108.170.255.150,nan,2
108.61.210.117,vultr-frankfurt,486.41999999999996,238.23,2.042,-248.19,exited google,11117.934359894254,192.178.107.28,AS15169 Google LLC,2
108.61.212.117,vultr-sydney,232.155,227.44,1.021,-4.715,exited google,N/A,66.249.94.19,nan,1
108.61.219.200,vultr-los angeles,230.325,229.12,1.005,-1.205,exited google,14459.048397165354,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,13.135000000000002,243.9,0.054,230.765,exited google,893.5056580973869,72.14.232.209,AS15169 Google LLC,1
1242.com,tranco-rank100k,244.31,235.44,1.038,-8.87,exited google,N/A,74.125.37.114,nan,1
