Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
07br.cc,tranco-rank100k,1.18,1.58,0.747,0.4,exited google,0.21575059167305377,192.178.97.224,AS15169 Google LLC,2
104.156.230.107,vultr-silicon valley,244.42,227.69,1.073,-16.73,exited google,N/A,108.170.252.30,nan,2
104.156.244.232,vultr-miami,233.78,246.825,0.947,13.045,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,230.46,236.57999999999998,0.974,6.12,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,227.83,247.64,0.92,19.81,exited google,N/A,142.251.66.65,nan,1
108.61.193.166,vultr-atlanta,1.2650000000000001,234.75,0.005,233.485,exited google,0.21575059167305377,142.251.244.117,AS15169 Google LLC,1
108.61.194.105,vultr-seattle,239.16,241.57,0.99,2.41,exited google,12453.65088174087,142.251.54.146,AS15169 Google LLC,1
108.61.196.101,vultr-london,495.18,487.065,1.017,-8.115,exited google,16989.10852530901,192.178.98.2,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,371.33,369.145,1.006,-2.185,exited google,N/A,74.125.243.76,nan,2
108.61.201.151,vultr-tokyo,242.78,243.2,0.998,0.42,exited google,7792.963055309271,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,369.67,255.60500000000002,1.446,-114.065,exited google,N/A,72.14.235.97,nan,1
108.61.210.117,vultr-frankfurt,476.63,264.37,1.803,-212.26,exited google,N/A,72.14.234.209,nan,1
108.61.212.117,vultr-sydney,1.04,1.78,0.584,0.74,exited google,0.21575059167305377,192.178.98.28,AS15169 Google LLC,2
108.61.219.200,vultr-los angeles,225.285,221.1,1.019,-4.185,exited google,12063.11863484447,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,1.0,221.42000000000002,0.005,220.42,exited google,0.21575059167305377,192.178.98.28,AS15169 Google LLC,2
11kk.love,tranco-rank10k,1.115,2.58,0.432,1.465,exited google,0.21575059167305377,192.178.97.216,AS15169 Google LLC,2
12moviesda.com,tranco-rank100k,1.19,1.5550000000000002,0.765,0.365,exited google,0.21575059167305377,192.178.97.154,AS15169 Google LLC,2
139.84.130.100,vultr-bangalore,234.54,235.63,0.995,1.09,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,347.61,238.32,1.459,-109.29,exited google,N/A,74.125.37.85,nan,1
139.84.226.78,vultr-johannesburg,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
141.164.34.61,vultr-seoul,372.59000000000003,242.19,1.538,-130.4,exited google,0.21575059167305377,192.178.97.92,AS15169 Google LLC,2
149.248.50.81,vultr-toronto,357.455,221.15,1.616,-136.305,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,245.29500000000002,244.19,1.005,-1.105,exited google,6293.693986951905,142.250.237.158,AS15169 Google LLC,1
1c.ru,tranco-top1k,485.95,493.92,0.984,7.97,exited google,14484.206232494373,142.250.234.165,AS15169 Google LLC,1
1drv.com,tranco-top1k,1.15,476.135,0.002,474.985,exited google,0.21575059167305377,192.178.97.216,AS15169 Google LLC,2
1internet.tv,tranco-rank10k,480.86,486.305,0.989,5.445,exited google,16989.10852530901,192.178.97.116,AS15169 Google LLC,2
1nto.com,tranco-rank10k,0.96,110.715,0.009,109.755,exited google,0.21575059167305377,192.178.97.92,AS15169 Google LLC,2
1pr.ru,tranco-rank100k,486.42,486.42,1.0,0.0,exited google,14484.206232494373,192.178.241.250,AS15169 Google LLC,2
