Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,1.03,233.58499999999998,0.004,232.555,exited google,0.0,64.233.174.228,AS15169 Google LLC,2
07br.cc,tranco-rank100k,0.85,0.585,1.453,-0.265,exited google,0.0,64.233.174.228,AS15169 Google LLC,2
104.156.230.107,vultr-silicon valley,224.28,228.69,0.981,4.41,exited google,N/A,142.250.231.100,nan,2
104.156.244.232,vultr-miami,223.47,245.4,0.911,21.93,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
108.61.149.182,vultr-new jersey,353.59000000000003,229.06,1.544,-124.53,exited google,6872.820592011209,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,232.96,230.48000000000002,1.011,-2.48,exited google,N/A,74.125.245.92,nan,2
108.61.194.105,vultr-seattle,237.41,227.115,1.045,-10.295,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,243.815,233.8,1.043,-10.015,exited google,1452.9422591305656,72.14.235.246,AS15169 Google LLC,1
108.61.198.102,vultr-amsterdam,22.025,228.245,0.096,206.22,exited google,1097.6086936567501,74.125.243.76,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,252.185,257.07,0.981,4.885,exited google,8599.967929101296,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,218.67,228.455,0.957,9.785,exited google,N/A,142.251.249.196,nan,1
108.61.210.117,vultr-frankfurt,229.13,223.54,1.025,-5.59,exited google,892.4232555306203,209.85.252.20,AS15169 Google LLC,2
108.61.212.117,vultr-sydney,483.9,489.5,0.989,5.6,exited google,15587.004345737663,66.249.94.19,AS15169 Google LLC,1
108.61.219.200,vultr-los angeles,226.525,242.365,0.935,15.84,exited google,N/A,142.251.65.159,nan,1
108.61.224.175,vultr-dallas,0.95,222.37,0.004,221.42,exited google,0.0,64.233.174.228,AS15169 Google LLC,2
10g.su,tranco-rank100k,22.56,228.68,0.099,206.12,exited google,N/A,142.250.213.37,nan,1
11kk.love,tranco-rank10k,0.915,0.93,0.984,0.015,exited google,0.0,64.233.174.228,AS15169 Google LLC,2
123-hd.com,tranco-rank10k,0.69,0.75,0.92,0.06,exited google,0.0,216.239.58.134,AS15169 Google LLC,2
123mkv.team,tranco-rank100k,0.83,1.06,0.783,0.23,exited google,0.0,64.233.174.228,AS15169 Google LLC,2
139.84.130.100,vultr-bangalore,488.21,253.06,1.929,-235.15,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,242.51,226.475,1.071,-16.035,exited google,1154.0331211669413,192.178.241.64,AS15169 Google LLC,2
139.84.226.78,vultr-johannesburg,229.92,239.23000000000002,0.961,9.31,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,15.09,472.71,0.032,457.62,exited google,518.7478368497596,142.251.248.129,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,240.96499999999997,227.35,1.06,-13.615,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,221.95,483.35,0.459,261.4,exited google,544.9539210726863,74.125.253.90,AS15169 Google LLC,1
1asb.com,tranco-rank100k,0.9,0.96,0.938,0.06,exited google,0.0,64.233.174.228,AS15169 Google LLC,2
1c.ru,tranco-top1k,229.42,227.41500000000002,1.009,-2.005,exited google,1154.0331211669413,142.250.234.165,AS15169 Google LLC,1
1drv.com,tranco-top1k,0.66,221.66,0.003,221.0,exited google,0.0,108.170.234.166,AS15169 Google LLC,2
1goplus.com,tranco-rank10k,1.0150000000000001,0.72,1.41,-0.295,exited google,0.0,64.233.174.228,AS15169 Google LLC,2
1nto.com,tranco-rank10k,1.42,112.28999999999999,0.013,110.87,exited google,0.0,216.239.58.134,AS15169 Google LLC,2
1tamilyogi.vote,tranco-rank10k,1.06,219.15,0.005,218.09,exited google,0.0,64.233.174.228,AS15169 Google LLC,2
208.72.154.76,vultr-honolulu,239.89499999999998,243.4,0.986,3.505,exited google,6872.820592011209,142.251.60.123,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,239.47,239.47,1.0,0.0,exited google,N/A,108.170.249.10,nan,2
216.238.66.16,vultr-mexico city,1.01,152.55,0.007,151.54,exited google,0.0,64.233.174.228,AS15169 Google LLC,2
216.238.98.118,vultr-sao paulo,226.59,226.59,1.0,0.0,exited google,N/A,142.251.64.24,nan,2
22.cn,tranco-rank10k,220.15,370.62,0.594,150.47,exited google,892.4232555306203,192.178.108.182,AS15169 Google LLC,2
24-jav.com,tranco-rank10k,245.67,14.485,16.96,-231.185,exited google,691.0025284246625,72.14.232.127,AS15169 Google LLC,1
