Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,2.7,238.3,0.011,235.6,exited google,143.87990302576065,108.170.228.237,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,227.09,224.78,1.01,-2.31,exited google,N/A,74.125.243.90,nan,2
104.156.244.232,vultr-miami,229.175,244.37,0.938,15.195,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,243.93,232.18,1.051,-11.75,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,239.92,231.67,1.036,-8.25,exited google,6731.920669967959,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,244.88,235.27,1.041,-9.61,exited google,N/A,74.125.243.166,nan,2
108.61.194.105,vultr-seattle,238.5,240.93,0.99,2.43,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,237.85,233.84,1.017,-4.01,exited google,1969.48753579431,72.14.235.246,AS15169 Google LLC,1
108.61.198.102,vultr-amsterdam,240.82,247.35,0.974,6.53,exited google,1648.3136504954425,74.125.242.164,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,250.47,250.66,0.999,0.19,exited google,7702.271960485229,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,235.24,239.46,0.982,4.22,exited google,N/A,108.170.238.44,nan,2
108.61.210.117,vultr-frankfurt,241.02,235.5,1.023,-5.52,exited google,1652.1071103651138,192.178.109.238,AS15169 Google LLC,2
108.61.212.117,vultr-sydney,484.16,492.68,0.983,8.52,exited google,N/A,66.249.94.19,nan,1
108.61.219.200,vultr-los angeles,238.25,230.01,1.036,-8.24,exited google,N/A,142.251.65.159,nan,1
108.61.224.175,vultr-dallas,2.68,229.02,0.012,226.34,exited google,143.87990302576065,108.170.228.237,AS15169 Google LLC,1
