Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
037hdx.tv,tranco-rank100k,2.1399999999999997,3.315,0.646,1.175,exited google,0.10715677527249114,108.170.252.214,AS15169 Google LLC,2
07br.cc,tranco-rank100k,1.59,1.53,1.039,-0.06,exited google,0.10715677527249114,142.251.231.146,AS15169 Google LLC,2
104.156.230.107,vultr-silicon valley,229.15,232.14,0.987,2.99,exited google,N/A,142.250.231.100,nan,2
104.156.244.232,vultr-miami,245.78,232.235,1.058,-13.545,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,229.27,230.43,0.995,1.16,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,241.8,238.29500000000002,1.015,-3.505,exited google,5782.5327899133645,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,232.755,222.68,1.045,-10.075,exited google,N/A,74.125.243.166,nan,2
108.61.194.105,vultr-seattle,229.38,240.0,0.956,10.62,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,234.15,240.9,0.972,6.75,exited google,1263.2550732584637,192.178.97.50,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,127.44,230.755,0.552,103.315,exited google,1481.9475355522025,74.125.243.124,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,232.93,360.86,0.645,127.93,exited google,10785.939965539223,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,17.19,233.57999999999998,0.074,216.39,exited google,1052.532744694038,108.170.255.150,AS15169 Google LLC,2
108.61.210.117,vultr-frankfurt,232.245,233.725,0.994,1.48,exited google,1447.7586618208009,209.85.249.228,nan,2
108.61.212.117,vultr-sydney,372.065,378.48,0.983,6.415,exited google,N/A,66.249.94.19,nan,1
108.61.219.200,vultr-los angeles,232.44,243.13,0.956,10.69,exited google,N/A,142.251.65.159,nan,1
108.61.224.175,vultr-dallas,110.52999999999999,234.95,0.47,124.42,exited google,0.10715677527249114,108.170.252.212,AS15169 Google LLC,2
11kk.love,tranco-rank10k,1.6,2.88,0.556,1.28,exited google,0.10715677527249114,108.170.225.250,AS15169 Google LLC,2
123-hd.com,tranco-rank10k,2.205,2.17,1.016,-0.035,exited google,0.10715677527249114,108.170.252.214,AS15169 Google LLC,2
123mkv.team,tranco-rank100k,1.5150000000000001,1.96,0.773,0.445,exited google,0.10715677527249114,192.178.110.154,AS15169 Google LLC,2
12moviesda.com,tranco-rank100k,1.96,1.99,0.985,0.03,exited google,0.10715677527249114,108.170.252.214,AS15169 Google LLC,2
139.84.130.100,vultr-bangalore,471.67,474.3,0.994,2.63,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,237.71,237.04500000000002,1.003,-0.665,exited google,3447.799982296645,192.178.241.64,AS15169 Google LLC,2
139.84.226.78,vultr-johannesburg,226.98,230.77,0.984,3.79,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,237.29,481.16,0.493,243.87,exited google,1263.2550732584637,72.14.235.239,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,356.405,225.57,1.58,-130.835,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,1.53,495.51,0.003,493.98,exited google,0.10715677527249114,108.170.225.250,AS15169 Google LLC,2
1asb.com,tranco-rank100k,4.115,1.75,2.351,-2.365,exited google,0.10715677527249114,142.251.231.146,AS15169 Google LLC,2
1c.ru,tranco-top1k,599.785,244.47,2.453,-355.315,exited google,3447.799982296645,142.250.234.165,AS15169 Google LLC,1
1drv.com,tranco-top1k,221.79000000000002,233.16000000000003,0.951,11.37,exited google,1052.532744694038,72.14.235.97,AS15169 Google LLC,1
1nto.com,tranco-rank10k,1.34,4.46,0.3,3.12,exited google,0.10715677527249114,192.178.110.154,AS15169 Google LLC,2
1slu.com,tranco-rank10k,1.99,2.05,0.971,0.06,exited google,0.10715677527249114,108.170.252.214,AS15169 Google LLC,2
1tamilyogi.vote,tranco-rank10k,2.27,2.37,0.958,0.1,exited google,0.10715677527249114,108.170.238.234,AS15169 Google LLC,2
208.72.154.76,vultr-honolulu,222.16,239.65,0.927,17.49,exited google,5782.5327899133645,142.251.60.123,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,4.35,4.35,1.0,0.0,exited google,0.10715677527249114,108.170.252.212,AS15169 Google LLC,2
216.238.66.16,vultr-mexico city,1.695,235.29,0.007,233.595,exited google,0.10715677527249114,142.251.249.206,AS15169 Google LLC,2
216.238.98.118,vultr-sao paulo,233.24,233.24,1.0,0.0,exited google,N/A,108.170.229.46,nan,2
21wiz.com,tranco-rank10k,1.25,1.375,0.909,0.125,exited google,0.10715677527249114,108.170.252.210,AS15169 Google LLC,2
22.cn,tranco-rank10k,225.2,376.1,0.599,150.9,exited google,1263.2550732584637,192.178.97.114,AS15169 Google LLC,2
24-hd.com,tranco-rank10k,1.7650000000000001,2.7,0.654,0.935,exited google,0.10715677527249114,192.178.110.156,AS15169 Google LLC,2
24exch.co,tranco-rank100k,232.32,232.32,1.0,0.0,exited google,5782.5327899133645,142.251.60.182,AS15169 Google LLC,1
2gis.com,tranco-top1k,20.54,227.915,0.09,207.375,exited google,1052.532744694038,72.14.235.97,AS15169 Google LLC,1
2xpro.net,tranco-rank100k,1.875,1.39,1.349,-0.485,exited google,0.10715677527249114,108.170.225.250,AS15169 Google LLC,2
33across.com,tranco-top1k,115.17500000000001,115.17500000000001,1.0,0.0,exited google,0.10715677527249114,142.251.249.206,AS15169 Google LLC,2
360.cn,tranco-top1k,237.295,483.93,0.49,246.635,exited google,1263.2550732584637,192.178.98.2,AS15169 Google LLC,2
360safe.com,tranco-top1k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
360yield.com,tranco-top1k,1.74,1.74,1.0,0.0,exited google,0.10715677527249114,108.170.252.252,AS15169 Google LLC,2
3gpking.name,tranco-rank10k,1.6099999999999999,1.4300000000000002,1.126,-0.18,exited google,0.10715677527249114,108.170.225.250,AS15169 Google LLC,2
45.32.100.168,vultr-singapore,474.56,474.56,1.0,0.0,exited google,N/A,142.250.237.158,nan,1
49erswebzone.com,tranco-rank100k,1.54,1.51,1.02,-0.03,exited google,0.10715677527249114,142.251.231.146,AS15169 Google LLC,2
5-tv.ru,tranco-rank10k,128.335,128.335,1.0,0.0,exited google,1481.9475355522025,66.249.95.7,AS15169 Google LLC,1
5eos306rsc.com,tranco-rank10k,1.93,1.39,1.388,-0.54,exited google,0.10715677527249114,192.178.110.154,AS15169 Google LLC,2
5jgaming.bet,tranco-rank100k,1.71,1.545,1.107,-0.165,exited google,0.10715677527249114,192.178.110.156,AS15169 Google LLC,2
5movierulz.ng,tranco-rank10k,759.47,2.65,286.592,-756.82,exited google,0.10715677527249114,108.170.252.214,AS15169 Google LLC,3
64.176.162.16,vultr-tel aviv,235.83499999999998,229.23,1.029,-6.605,exited google,1263.2550732584637,192.178.97.114,AS15169 Google LLC,2
64.176.178.136,vultr-manchester,1.73,242.39,0.007,240.66,exited google,0.10715677527249114,142.251.231.146,AS15169 Google LLC,2
64.176.2.7,vultr-santiago,1.8,248.41,0.007,246.61,exited google,0.10715677527249114,142.251.231.146,AS15169 Google LLC,2
64.176.34.94,vultr-osaka,235.52,237.47,0.992,1.95,exited google,N/A,142.251.241.126,nan,1
65.20.66.100,vultr-mumbai,472.14,260.48,1.813,-211.66,exited google,N/A,72.14.236.75,nan,1
66lottery20.com,tranco-rank10k,1.33,123.005,0.011,121.675,exited google,0.10715677527249114,108.170.252.210,AS15169 Google LLC,2
67.219.110.24,vultr-melbourne,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
70.34.194.86,vultr-stockholm,242.55,243.42,0.996,0.87,exited google,N/A,72.14.237.118,nan,2
