Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
037hdx.tv,tranco-rank100k,220.14,225.75,0.975,5.61,exited google,347.6291025223989,74.125.253.7,AS15169 Google LLC,1
07br.cc,tranco-rank100k,6.85,7.74,0.885,0.89,exited google,302.85480924447353,142.251.50.125,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,243.44,243.03,1.002,-0.41,exited google,N/A,66.249.94.46,nan,2
104.156.244.232,vultr-miami,239.68,234.70999999999998,1.021,-4.97,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,230.54,240.75,0.958,10.21,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,234.215,243.20499999999998,0.963,8.99,exited google,5887.542215996714,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,228.24,238.48,0.957,10.24,exited google,N/A,74.125.243.54,nan,2
108.61.194.105,vultr-seattle,243.775,235.07999999999998,1.037,-8.695,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,116.48,226.24,0.515,109.76,exited google,302.85480924447353,192.178.97.190,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,4.72,122.98,0.038,118.26,exited google,228.81812118244625,74.125.243.132,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,233.4,236.04000000000002,0.989,2.64,exited google,9531.14640869854,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,4.38,10.629999999999999,0.412,6.25,exited google,205.14306963526133,72.14.235.97,AS15169 Google LLC,1
108.61.210.117,vultr-frankfurt,7.5,7.69,0.975,0.19,exited google,347.6291025223989,192.178.109.238,AS15169 Google LLC,2
108.61.212.117,vultr-sydney,480.525,260.57,1.844,-219.955,exited google,N/A,74.125.251.94,nan,1
108.61.219.200,vultr-los angeles,239.59,233.055,1.028,-6.535,exited google,N/A,142.251.65.159,nan,1
108.61.224.175,vultr-dallas,112.885,237.66,0.475,124.775,exited google,205.14306963526133,66.249.95.132,AS15169 Google LLC,1
10g.su,tranco-rank100k,228.095,226.34,1.008,-1.755,exited google,N/A,142.250.213.86,nan,1
11kk.love,tranco-rank10k,7.605,7.78,0.978,0.175,exited google,347.6291025223989,74.125.253.7,AS15169 Google LLC,1
123-hd.com,tranco-rank10k,220.07,14.375,15.309,-205.695,exited google,302.85480924447353,72.14.235.239,AS15169 Google LLC,1
139.84.130.100,vultr-bangalore,472.2,254.78,1.853,-217.42,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,7.5,243.7,0.031,236.2,exited google,347.6291025223989,74.125.253.7,AS15169 Google LLC,1
139.84.226.78,vultr-johannesburg,224.53,232.375,0.966,7.845,exited google,347.6291025223989,192.178.109.152,AS15169 Google LLC,2
141.164.34.61,vultr-seoul,226.22,254.31,0.89,28.09,exited google,302.85480924447353,142.251.50.125,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,7.61,230.17,0.033,222.56,exited google,347.6291025223989,74.125.253.7,AS15169 Google LLC,1
163.com,tranco-top1k,1.65,478.62,0.003,476.97,exited google,59.68425516537622,72.14.235.99,AS15169 Google LLC,1
1asb.com,tranco-rank100k,6.18,14.53,0.425,8.35,exited google,302.85480924447353,72.14.235.239,AS15169 Google LLC,1
1c.ru,tranco-top1k,241.92000000000002,232.41500000000002,1.041,-9.505,exited google,2314.3279839147267,142.250.234.165,AS15169 Google LLC,1
1drv.com,tranco-top1k,4.52,18.915,0.239,14.395,exited google,205.14306963526133,172.253.70.188,AS15169 Google LLC,2
1exch.net,tranco-rank10k,7.68,243.11,0.032,235.43,exited google,347.6291025223989,74.125.253.7,AS15169 Google LLC,1
