Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
037hdx.tv,tranco-rank100k,244.11,223.35,1.093,-20.76,exited google,4380.917016577079,72.14.235.78,AS15169 Google LLC,1
07br.cc,tranco-rank100k,230.825,741.91,0.311,511.085,exited google,4380.917016577079,72.14.235.78,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,239.875,369.385,0.649,129.51,exited google,N/A,66.249.94.46,nan,2
104.156.244.232,vultr-miami,233.84,230.065,1.016,-3.775,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,233.61,235.48,0.992,1.87,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,226.01999999999998,226.59,0.997,0.57,exited google,10792.300186224596,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,234.16500000000002,234.32,0.999,0.155,exited google,N/A,108.170.248.94,nan,2
108.61.194.105,vultr-seattle,240.08499999999998,228.64,1.05,-11.445,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,230.29,235.12,0.979,4.83,exited google,5219.352051882148,72.14.235.246,AS15169 Google LLC,1
108.61.198.102,vultr-amsterdam,223.81,234.29500000000002,0.955,10.485,exited google,4915.828815786607,74.125.242.164,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,484.65,486.965,0.995,2.315,exited google,N/A,72.14.239.222,nan,1
108.61.209.127,vultr-paris,237.69,232.58499999999998,1.022,-5.105,exited google,4978.419794079197,72.14.235.97,AS15169 Google LLC,1
108.61.210.117,vultr-frankfurt,219.07,238.5,0.919,19.43,exited google,4580.831367232081,192.178.109.234,AS15169 Google LLC,2
108.61.212.117,vultr-sydney,484.08,492.64,0.983,8.56,exited google,N/A,66.249.94.19,nan,1
108.61.219.200,vultr-los angeles,222.18,235.77,0.942,13.59,exited google,13349.908981668133,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,224.84,234.26,0.96,9.42,exited google,4621.726111362156,192.178.105.172,AS15169 Google LLC,2
11kk.love,tranco-rank10k,236.73,236.65,1.0,-0.08,exited google,4380.917016577079,72.14.235.78,AS15169 Google LLC,1
123mkv.team,tranco-rank100k,232.29,227.88,1.019,-4.41,exited google,4380.917016577079,72.14.235.78,AS15169 Google LLC,1
139.84.130.100,vultr-bangalore,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
139.84.162.104,vultr-delhi ncr,248.36,487.63,0.509,239.27,exited google,3568.233157687441,192.178.241.64,AS15169 Google LLC,2
139.84.226.78,vultr-johannesburg,238.2,234.635,1.015,-3.565,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,233.84,479.24,0.488,245.4,exited google,4621.726111362156,192.178.105.26,AS15169 Google LLC,2
149.248.50.81,vultr-toronto,220.57,238.13,0.926,17.56,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,225.61,480.315,0.47,254.705,exited google,4380.917016577079,72.14.235.78,AS15169 Google LLC,1
1asb.com,tranco-rank100k,240.38,232.755,1.033,-7.625,exited google,4380.917016577079,72.14.235.78,AS15169 Google LLC,1
1c.ru,tranco-top1k,239.5,235.56,1.017,-3.94,exited google,3568.233157687441,142.250.234.165,AS15169 Google LLC,1
1drv.com,tranco-top1k,1.02,237.91,0.004,236.89,exited google,1.4543088289049206,142.251.253.172,AS15169 Google LLC,2
1learn.in,tranco-rank100k,0.68,116.66499999999999,0.006,115.985,exited google,1.4543088289049206,142.251.241.45,AS15169 Google LLC,5
1nto.com,tranco-rank10k,237.47,359.1,0.661,121.63,exited google,4380.917016577079,72.14.235.78,AS15169 Google LLC,1
1pr.ru,tranco-rank100k,223.33,222.72,1.003,-0.61,exited google,3568.233157687441,192.178.241.180,AS15169 Google LLC,2
1slu.com,tranco-rank10k,221.52,240.675,0.92,19.155,exited google,4380.917016577079,72.14.235.78,AS15169 Google LLC,1
1tamilmv.fi,tranco-rank10k,227.09,237.35500000000002,0.957,10.265,exited google,4380.917016577079,72.14.235.78,AS15169 Google LLC,1
1tamilyogi.vote,tranco-rank10k,237.88,242.41,0.981,4.53,exited google,4380.917016577079,72.14.235.78,AS15169 Google LLC,1
208.72.154.76,vultr-honolulu,227.255,477.935,0.475,250.68,exited google,10792.300186224596,142.251.60.123,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,233.87,224.59,1.041,-9.28,exited google,5342.672185856939,142.250.225.71,AS15169 Google LLC,1
216.238.66.16,vultr-mexico city,239.70999999999998,241.19,0.994,1.48,exited google,4621.726111362156,192.178.105.172,AS15169 Google LLC,2
216.238.98.118,vultr-sao paulo,483.35,483.35,1.0,0.0,exited google,N/A,142.251.64.24,nan,2
21wiz.com,tranco-rank10k,230.05,240.28,0.957,10.23,exited google,4380.917016577079,72.14.235.78,AS15169 Google LLC,1
22.cn,tranco-rank10k,346.815,482.57,0.719,135.755,exited google,4580.831367232081,216.239.42.70,AS15169 Google LLC,2
24-hd.com,tranco-rank10k,226.7,239.74,0.946,13.04,exited google,4380.917016577079,72.14.235.78,AS15169 Google LLC,1
24-jav.com,tranco-rank10k,240.49,238.08,1.01,-2.41,exited google,4380.917016577079,72.14.235.78,AS15169 Google LLC,1
2gis.com,tranco-top1k,235.75,226.82,1.039,-8.93,exited google,4380.917016577079,72.14.235.78,AS15169 Google LLC,1
2xbet365.com,tranco-rank100k,229.09500000000003,232.17,0.987,3.075,exited google,4380.917016577079,72.14.235.78,AS15169 Google LLC,1
33across.com,tranco-top1k,233.10500000000002,233.10500000000002,1.0,0.0,exited google,4368.3781714516845,108.170.233.209,AS15169 Google LLC,1
360.cn,tranco-top1k,226.845,480.51,0.472,253.665,exited google,4580.831367232081,209.85.252.20,AS15169 Google LLC,2
