Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
037hdx.tv,tranco-rank100k,235.42,235.42,1.0,0.0,last node was google,2856.008361244685,192.178.105.26,AS15169 Google LLC,5
07br.cc,tranco-rank100k,226.21,239.41,0.945,13.2,exited google,2856.008361244685,192.178.105.26,AS15169 Google LLC,2
104.156.230.107,vultr-silicon valley,224.52,236.95,0.948,12.43,exited google,N/A,142.250.231.100,nan,2
104.156.244.232,vultr-miami,233.48,234.235,0.997,0.755,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,233.81,241.425,0.968,7.615,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,222.52,225.4,0.987,2.88,exited google,9134.81480089621,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,227.01,234.48,0.968,7.47,exited google,N/A,108.170.248.94,nan,2
108.61.194.105,vultr-seattle,225.41,242.905,0.928,17.495,exited google,10887.541710394067,142.251.54.146,AS15169 Google LLC,1
108.61.196.101,vultr-london,229.84,242.74,0.947,12.9,exited google,3560.6477138550827,192.178.97.190,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,226.01999999999998,242.65,0.931,16.63,exited google,3298.8497036517074,74.125.243.80,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,478.69,481.06,0.995,2.37,exited google,9177.960190933456,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,248.17,232.78,1.066,-15.39,exited google,3282.240570082779,72.14.235.97,AS15169 Google LLC,1
108.61.210.117,vultr-frankfurt,730.3,232.01,3.148,-498.29,exited google,N/A,72.14.234.209,nan,1
108.61.212.117,vultr-sydney,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
108.61.219.200,vultr-los angeles,227.24,234.2,0.97,6.96,exited google,N/A,142.251.65.159,nan,1
108.61.224.175,vultr-dallas,232.94,242.33,0.961,9.39,exited google,2856.008361244685,192.178.105.172,AS15169 Google LLC,2
10g.su,tranco-rank100k,246.7,224.89,1.097,-21.81,exited google,N/A,142.250.213.86,nan,1
11kk.love,tranco-rank10k,238.19,231.05,1.031,-7.14,exited google,2856.008361244685,192.178.105.170,AS15169 Google LLC,2
123-hd.com,tranco-rank10k,352.39,229.39,1.536,-123.0,exited google,2856.008361244685,192.178.105.26,AS15169 Google LLC,2
123mkv.team,tranco-rank100k,246.27,242.095,1.017,-4.175,exited google,2856.008361244685,142.251.250.194,AS15169 Google LLC,1
12moviesda.com,tranco-rank100k,231.85,241.825,0.959,9.975,exited google,2856.008361244685,192.178.105.26,AS15169 Google LLC,2
139.84.130.100,vultr-bangalore,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
139.84.162.104,vultr-delhi ncr,247.13,369.63,0.669,122.5,exited google,2638.9574144308353,172.253.51.75,AS15169 Google LLC,1
139.84.226.78,vultr-johannesburg,220.89,230.62,0.958,9.73,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,229.96499999999997,485.01,0.474,255.045,exited google,2856.008361244685,192.178.105.26,AS15169 Google LLC,2
149.248.50.81,vultr-toronto,238.68,227.615,1.049,-11.065,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,246.31,236.93,1.04,-9.38,exited google,2856.008361244685,192.178.105.172,AS15169 Google LLC,2
1asb.com,tranco-rank100k,238.0,222.77,1.068,-15.23,exited google,2856.008361244685,192.178.105.90,AS15169 Google LLC,2
1c.ru,tranco-top1k,231.0,238.88,0.967,7.88,exited google,2638.9574144308353,72.14.237.202,AS15169 Google LLC,1
1drv.com,tranco-top1k,3.7299999999999995,243.69,0.015,239.96,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
1exch.net,tranco-rank10k,1.73,1.73,1.0,0.0,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
1goplus.com,tranco-rank10k,230.94,248.45,0.93,17.51,exited google,2856.008361244685,192.178.105.170,AS15169 Google LLC,2
1nto.com,tranco-rank10k,230.42,243.4,0.947,12.98,exited google,2856.008361244685,192.178.105.208,AS15169 Google LLC,2
1slu.com,tranco-rank10k,222.3,230.54500000000002,0.964,8.245,exited google,2856.008361244685,192.178.105.26,AS15169 Google LLC,2
1tamilmv.fi,tranco-rank10k,237.64,227.87,1.043,-9.77,exited google,2856.008361244685,192.178.105.26,AS15169 Google LLC,2
1tamilyogi.vote,tranco-rank10k,245.17,220.77,1.111,-24.4,exited google,2856.008361244685,192.178.105.26,AS15169 Google LLC,2
208.72.154.76,vultr-honolulu,238.16,239.555,0.994,1.395,exited google,9134.81480089621,142.251.60.123,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,228.74,228.74,1.0,0.0,exited google,N/A,108.170.249.10,nan,2
216.238.66.16,vultr-mexico city,229.06,248.73,0.921,19.67,exited google,2856.008361244685,192.178.105.26,AS15169 Google LLC,2
216.238.98.118,vultr-sao paulo,237.48,237.48,1.0,0.0,exited google,N/A,142.251.53.96,nan,2
21wiz.com,tranco-rank10k,245.71,223.17,1.101,-22.54,exited google,2856.008361244685,192.178.105.90,AS15169 Google LLC,2
22.cn,tranco-rank10k,232.83,248.23,0.938,15.4,exited google,2940.8652945969716,192.178.109.166,AS15169 Google LLC,2
24-hd.com,tranco-rank10k,352.89,241.9,1.459,-110.99,exited google,2856.008361244685,192.178.105.26,AS15169 Google LLC,2
24-jav.com,tranco-rank10k,232.64,224.58,1.036,-8.06,exited google,2856.008361244685,192.178.105.208,AS15169 Google LLC,2
24exch.co,tranco-rank100k,236.41500000000002,236.41500000000002,1.0,0.0,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
2gis.com,tranco-top1k,243.695,218.8,1.114,-24.895,exited google,2655.769233743875,142.251.224.85,AS15169 Google LLC,1
2xbet365.com,tranco-rank100k,231.39,243.84,0.949,12.45,exited google,2856.008361244685,192.178.105.26,AS15169 Google LLC,2
32red.com,tranco-rank10k,226.855,246.83,0.919,19.975,exited google,2856.008361244685,192.178.105.28,AS15169 Google LLC,2
33across.com,tranco-top1k,231.885,231.885,1.0,0.0,exited google,2240.7323980703122,192.178.252.226,AS15169 Google LLC,2
360.cn,tranco-top1k,232.99,245.23,0.95,12.24,exited google,2940.8652945969716,192.178.108.182,AS15169 Google LLC,2
360safe.com,tranco-top1k,237.01,488.31,0.485,251.3,exited google,9134.81480089621,142.251.66.65,AS15169 Google LLC,1
360yield.com,tranco-top1k,3.79,3.79,1.0,0.0,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
3ddd.ru,tranco-rank10k,235.73,248.84,0.947,13.11,exited google,2638.9574144308353,142.250.234.165,AS15169 Google LLC,1
3gl.net,tranco-rank10k,223.23,229.92000000000002,0.971,6.69,exited google,2856.008361244685,192.178.105.170,AS15169 Google LLC,2
3gpking.name,tranco-rank10k,244.53,235.285,1.039,-9.245,exited google,2856.008361244685,192.178.105.26,AS15169 Google LLC,2
