Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,0.8,247.38,0.003,246.58,exited google,1.7858848373853322,192.178.86.250,AS15169 Google LLC,2
07br.cc,tranco-rank100k,N/A,8.89,N/A,N/A,last node was google,1.7858848373853322,72.14.234.152,AS15169 Google LLC,6
104.156.230.107,vultr-silicon valley,230.24,229.45,1.003,-0.79,exited google,N/A,142.250.231.100,nan,2
104.156.244.232,vultr-miami,235.265,227.885,1.032,-7.38,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,125.39,228.36,0.549,102.97,exited google,1203.9851337642679,108.170.238.83,AS15169 Google LLC,1
108.61.149.182,vultr-new jersey,9.36,117.42,0.08,108.06,exited google,533.0505698168405,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,232.815,230.28,1.011,-2.535,exited google,N/A,74.125.243.166,nan,2
108.61.194.105,vultr-seattle,232.48,240.94,0.965,8.46,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,232.905,230.74,1.009,-2.165,exited google,5236.29057957913,192.178.97.190,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,235.04,232.18,1.012,-2.86,exited google,5511.228669224861,74.125.243.132,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,230.62,226.88,1.016,-3.74,exited google,10413.639865366964,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,230.93,230.53,1.002,-0.4,exited google,N/A,72.14.235.97,nan,1
108.61.210.117,vultr-frankfurt,220.62,246.4,0.895,25.78,exited google,N/A,66.249.94.174,nan,1
108.61.212.117,vultr-sydney,241.51,476.68,0.507,235.17,exited google,N/A,74.125.251.94,nan,1
