Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
037hdx.tv,tranco-rank100k,24.53,241.7,0.101,217.17,exited google,1397.1107853603974,142.251.247.61,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,225.87,60.16,3.754,-165.71,exited google,2305.8225773360605,74.125.243.90,AS15169 Google LLC,2
104.156.244.232,vultr-miami,240.11,241.45,0.994,1.34,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,222.43,233.55,0.952,11.12,exited google,2644.538457790024,108.170.238.83,AS15169 Google LLC,1
108.61.149.182,vultr-new jersey,238.06,242.06,0.983,4.0,exited google,N/A,142.251.66.65,nan,1
108.61.193.166,vultr-atlanta,233.38,239.6,0.974,6.22,exited google,2149.0227092339824,74.125.243.158,nan,2
108.61.194.105,vultr-seattle,241.77,237.39,1.018,-4.38,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,225.48,239.58,0.941,14.1,exited google,8923.894390597632,192.178.97.50,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,351.835,228.33,1.541,-123.505,exited google,9204.953781156613,74.125.242.164,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,242.14,234.15,1.034,-7.99,exited google,11140.324624439047,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,240.45,236.09,1.018,-4.36,exited google,N/A,72.14.235.97,nan,1
108.61.210.117,vultr-frankfurt,229.85,244.31,0.941,14.46,exited google,9553.273923425797,192.178.109.154,AS15169 Google LLC,2
108.61.212.117,vultr-sydney,236.46,242.24,0.976,5.78,exited google,12920.141507467511,192.178.98.28,AS15169 Google LLC,2
108.61.219.200,vultr-los angeles,223.96,233.32,0.96,9.36,exited google,2305.8225773360605,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,0.8,228.22,0.004,227.42,exited google,0.20302791690660016,142.250.62.163,AS15169 Google LLC,1
10g.su,tranco-rank100k,223.37,247.86,0.901,24.49,exited google,N/A,142.250.213.37,nan,1
11kk.love,tranco-rank10k,1.645,1.58,1.041,-0.065,exited google,0.20302791690660016,192.178.104.46,AS15169 Google LLC,2
123-hd.com,tranco-rank10k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
