Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
07br.cc,tranco-rank100k,221.05,1.38,160.181,-219.67,exited google,0.04546229529199168,142.250.63.174,AS15169 Google LLC,2
104.156.230.107,vultr-silicon valley,240.52,237.0,1.015,-3.52,exited google,9881.002734435893,74.125.243.90,nan,2
104.156.244.232,vultr-miami,234.75,228.04,1.029,-6.71,exited google,6535.829292828866,216.239.46.104,AS15169 Google LLC,1
107.191.51.12,vultr-chicago,244.57999999999998,237.3,1.031,-7.28,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,226.055,236.3,0.957,10.245,exited google,7650.119385015842,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,242.11,230.99,1.048,-11.12,exited google,N/A,74.125.243.158,nan,2
108.61.194.105,vultr-seattle,224.13,226.63,0.989,2.5,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,228.54,229.4,0.996,0.86,exited google,9478.597900364359,192.178.97.50,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,223.39499999999998,237.48,0.941,14.085,exited google,9787.833344977682,74.125.242.164,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,471.85,254.47,1.854,-217.38,exited google,18522.611791860505,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,229.405,234.12,0.98,4.715,exited google,N/A,72.14.235.97,nan,1
108.61.210.117,vultr-frankfurt,231.76,224.63,1.032,-7.13,exited google,N/A,72.14.234.209,nan,1
108.61.212.117,vultr-sydney,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
108.61.219.200,vultr-los angeles,233.25,236.74,0.985,3.49,exited google,9881.002734435893,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,226.22,224.03,1.01,-2.19,exited google,6535.829292828866,192.178.99.132,AS15169 Google LLC,2
10g.su,tranco-rank100k,236.84,245.87,0.963,9.03,exited google,N/A,142.250.213.86,nan,1
11kk.love,tranco-rank10k,1.22,2.03,0.601,0.81,exited google,0.04546229529199168,142.251.228.184,AS15169 Google LLC,2
123-hd.com,tranco-rank10k,1.1,0.97,1.134,-0.13,exited google,0.04546229529199168,192.178.82.54,AS15169 Google LLC,2
123mkv.team,tranco-rank100k,0.98,111.22000000000001,0.009,110.24,exited google,0.04546229529199168,192.178.82.54,AS15169 Google LLC,2
1242.com,tranco-rank100k,365.875,362.76,1.009,-3.115,exited google,18522.611791860505,216.239.59.32,AS15169 Google LLC,2
139.84.130.100,vultr-bangalore,494.07500000000005,492.065,1.004,-2.01,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,235.83499999999998,476.19,0.495,240.355,exited google,9881.002734435893,142.251.65.159,AS15169 Google LLC,1
139.84.226.78,vultr-johannesburg,482.675,497.56,0.97,14.885,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,226.08999999999997,483.93,0.467,257.84,exited google,7486.481111828385,108.170.226.215,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,233.60500000000002,227.6,1.026,-6.005,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,237.57,474.27,0.501,236.7,exited google,6535.829292828866,192.178.45.182,AS15169 Google LLC,2
1c.ru,tranco-top1k,238.41,244.88,0.974,6.47,exited google,11798.972445630181,142.250.234.165,AS15169 Google LLC,1
1drv.com,tranco-top1k,1.4300000000000002,242.97,0.006,241.54,exited google,0.04546229529199168,108.170.228.31,AS15169 Google LLC,1
1goplus.com,tranco-rank10k,127.415,1.755,72.601,-125.66,exited google,0.04546229529199168,192.178.82.54,AS15169 Google LLC,2
1nto.com,tranco-rank10k,1.18,7.0,0.169,5.82,exited google,0.04546229529199168,142.251.228.184,AS15169 Google LLC,2
1pr.ru,tranco-rank100k,238.975,238.975,1.0,0.0,exited google,11798.972445630181,192.178.241.180,AS15169 Google LLC,2
1slu.com,tranco-rank10k,1.725,3.84,0.449,2.115,exited google,0.04546229529199168,142.250.63.174,AS15169 Google LLC,2
1tamilmv.fi,tranco-rank10k,1.65,2.1,0.786,0.45,exited google,0.04546229529199168,142.250.63.174,AS15169 Google LLC,2
1tamilyogi.vote,tranco-rank10k,1.05,1.41,0.745,0.36,exited google,0.04546229529199168,192.178.82.54,AS15169 Google LLC,2
208.72.154.76,vultr-honolulu,224.23,241.22,0.93,16.99,exited google,6535.829292828866,72.14.236.145,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,243.635,225.1,1.082,-18.535,exited google,N/A,108.170.228.187,nan,1
216.238.66.16,vultr-mexico city,3.52,491.25,0.007,487.73,exited google,0.04546229529199168,142.250.238.112,AS15169 Google LLC,1
216.238.98.118,vultr-sao paulo,1.26,1.98,0.636,0.72,exited google,0.04546229529199168,142.251.53.96,AS15169 Google LLC,2
21wiz.com,tranco-rank10k,8.92,1.67,5.341,-7.25,exited google,0.04546229529199168,192.178.82.54,AS15169 Google LLC,2
22.cn,tranco-rank10k,232.885,492.64,0.473,259.755,exited google,6535.829292828866,108.170.236.240,nan,2
24-hd.com,tranco-rank10k,2.08,1.24,1.677,-0.84,exited google,0.04546229529199168,209.85.143.230,AS15169 Google LLC,2
24-jav.com,tranco-rank10k,1.12,111.375,0.01,110.255,exited google,0.04546229529199168,192.178.82.54,AS15169 Google LLC,2
24exch.co,tranco-rank100k,243.105,243.105,1.0,0.0,exited google,6535.829292828866,192.178.99.148,AS15169 Google LLC,2
2gis.com,tranco-top1k,230.64499999999998,237.75,0.97,7.105,exited google,9478.597900364359,192.178.97.190,AS15169 Google LLC,2
2xbet365.com,tranco-rank100k,1.69,0.98,1.724,-0.71,exited google,0.04546229529199168,142.250.63.174,AS15169 Google LLC,2
33across.com,tranco-top1k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
360.cn,tranco-top1k,238.615,483.36,0.494,244.745,exited google,6535.829292828866,192.178.99.132,AS15169 Google LLC,2
360safe.com,tranco-top1k,243.035,477.655,0.509,234.62,exited google,6535.829292828866,108.170.255.8,AS15169 Google LLC,2
360yield.com,tranco-top1k,239.555,239.555,1.0,0.0,exited google,9478.597900364359,192.178.97.42,AS15169 Google LLC,2
3ddd.ru,tranco-rank10k,229.55,240.86,0.953,11.31,exited google,11798.972445630181,142.250.234.165,AS15169 Google LLC,1
3gl.net,tranco-rank10k,227.39,231.28,0.983,3.89,exited google,6535.829292828866,64.233.175.57,AS15169 Google LLC,1
3gpking.name,tranco-rank10k,1.88,2.32,0.81,0.44,exited google,0.04546229529199168,209.85.143.230,AS15169 Google LLC,2
3lift.com,tranco-top1k,0.72,1.15,0.626,0.43,exited google,0.04546229529199168,108.170.228.30,AS15169 Google LLC,1
45.32.100.168,vultr-singapore,490.01,483.65999999999997,1.013,-6.35,exited google,N/A,72.14.232.209,nan,1
4netplayers.com,tranco-rank100k,242.87,237.85000000000002,1.021,-5.02,exited google,9787.833344977682,142.251.51.160,AS15169 Google LLC,1
5eos306rsc.com,tranco-rank10k,2.825,2.2,1.284,-0.625,exited google,0.04546229529199168,209.85.143.230,AS15169 Google LLC,2
5movierulz.immo,tranco-rank10k,1.9100000000000001,1.77,1.079,-0.14,exited google,0.04546229529199168,142.250.63.174,AS15169 Google LLC,2
5movierulz.ng,tranco-rank10k,1.42,1.95,0.728,0.53,exited google,0.04546229529199168,142.251.228.184,AS15169 Google LLC,2
64.176.162.16,vultr-tel aviv,235.63,249.19,0.946,13.56,exited google,9478.597900364359,192.178.97.48,AS15169 Google LLC,2
64.176.178.136,vultr-manchester,232.29,229.62,1.012,-2.67,exited google,6535.829292828866,64.233.175.57,AS15169 Google LLC,1
64.176.2.7,vultr-santiago,0.9,241.44,0.004,240.54,exited google,0.04546229529199168,142.250.238.113,AS15169 Google LLC,1
64.176.34.94,vultr-osaka,260.85,477.91,0.546,217.06,exited google,N/A,142.251.241.126,nan,1
65.20.66.100,vultr-mumbai,489.12,480.87,1.017,-8.25,exited google,N/A,142.250.213.235,nan,1
66lottery20.com,tranco-rank10k,111.095,1.79,62.064,-109.305,exited google,0.04546229529199168,209.85.143.230,AS15169 Google LLC,2
67.219.110.24,vultr-melbourne,486.7,495.02,0.983,8.32,exited google,N/A,142.250.224.113,nan,1
6855.org,tranco-rank10k,1.59,1.98,0.803,0.39,exited google,0.04546229529199168,142.250.63.174,AS15169 Google LLC,2
70.34.194.86,vultr-stockholm,238.39,242.03,0.985,3.64,exited google,10912.19804122185,142.251.254.214,nan,2
70.34.242.24,vultr-warsaw,247.04,246.485,1.002,-0.555,exited google,10649.188367978071,74.125.252.117,AS15169 Google LLC,1
77moviehd.com,tranco-rank100k,1.03,0.92,1.12,-0.11,exited google,0.04546229529199168,142.251.228.184,AS15169 Google LLC,2
789.club,tranco-rank10k,1.67,2.16,0.773,0.49,exited google,0.04546229529199168,209.85.143.230,AS15169 Google LLC,2
78wine.vip,tranco-rank10k,1.77,1.06,1.67,-0.71,exited google,0.04546229529199168,142.250.63.174,AS15169 Google LLC,2
79-mix.com,tranco-rank100k,1.9249999999999998,1.38,1.395,-0.545,exited google,0.04546229529199168,142.250.63.174,AS15169 Google LLC,2
7dak25e.org,tranco-rank10k,N/A,224.775,N/A,N/A,exited google,7629.404748899693,72.14.235.121,AS15169 Google LLC,2
7dak25et.com,tranco-rank10k,223.91,233.06,0.961,9.15,exited google,7629.404748899693,72.14.235.121,AS15169 Google LLC,1
7wickets.live,tranco-rank100k,224.57,111.02000000000001,2.023,-113.55,exited google,0.04546229529199168,209.85.143.230,AS15169 Google LLC,4
7yqfcoolke.com,tranco-rank100k,1.14,1.655,0.689,0.515,exited google,0.04546229529199168,192.178.82.54,AS15169 Google LLC,2
888bets.co.mz,tranco-rank10k,0.78,0.78,1.0,0.0,exited google,0.04546229529199168,108.170.228.30,AS15169 Google LLC,1
988lifeline.org,tranco-rank10k,1.03,0.9,1.144,-0.13,exited google,0.04546229529199168,142.251.228.184,AS15169 Google LLC,2
99789bet.vip,tranco-rank100k,1.94,1.94,1.0,0.0,exited google,0.04546229529199168,108.170.228.31,AS15169 Google LLC,1
9news.com.au,tranco-rank10k,0.83,116.02499999999999,0.007,115.195,exited google,0.04546229529199168,108.170.228.30,AS15169 Google LLC,1
9xflix.foo,tranco-rank10k,1.73,2.72,0.636,0.99,exited google,0.04546229529199168,142.250.63.174,AS15169 Google LLC,2
a-mo.net,tranco-top1k,235.255,235.255,1.0,0.0,exited google,6535.829292828866,192.178.99.148,AS15169 Google LLC,2
a2sports.co,tranco-rank100k,1.88,1.06,1.774,-0.82,exited google,0.04546229529199168,142.250.63.174,AS15169 Google LLC,2
a3y4g6bvae.com,tranco-rank100k,229.45,229.45,1.0,0.0,exited google,11798.972445630181,142.250.234.164,AS15169 Google LLC,1
aalto.fi,tranco-rank10k,1.415,1.415,1.0,0.0,exited google,0.04546229529199168,108.170.228.31,AS15169 Google LLC,1
aappublications.org,tranco-rank10k,1.38,231.195,0.006,229.815,exited google,0.04546229529199168,108.170.228.31,AS15169 Google LLC,1
abc7.com,tranco-rank10k,236.82,233.505,1.014,-3.315,exited google,6535.829292828866,192.178.96.228,AS15169 Google LLC,2
abgmlenuk.wiki,tranco-rank100k,110.16,1.91,57.675,-108.25,exited google,0.04546229529199168,142.251.252.77,AS15169 Google LLC,1
aboutads.info,tranco-top1k,1.7,1.03,1.65,-0.67,exited google,0.04546229529199168,209.85.143.230,AS15169 Google LLC,2
acadeu.com,tranco-rank10k,233.9,245.24,0.954,11.34,exited google,7650.119385015842,142.251.66.65,AS15169 Google LLC,1
accuweather.com,tranco-top1k,0.78,221.31,0.004,220.53,exited google,0.04546229529199168,108.170.228.30,AS15169 Google LLC,1
acgnxtracker.com,tranco-rank10k,230.015,239.76,0.959,9.745,exited google,6535.829292828866,142.250.225.78,AS15169 Google LLC,2
acsechocaptiveportal.com,tranco-rank10k,233.68,233.68,1.0,0.0,exited google,6535.829292828866,108.170.255.8,AS15169 Google LLC,2
ad.gt,tranco-top1k,234.57999999999998,222.23,1.056,-12.35,exited google,9246.662498934409,74.125.242.228,AS15169 Google LLC,2
ad2iction.com,tranco-rank100k,258.84,254.72,1.016,-4.12,exited google,18522.611791860505,72.14.239.222,AS15169 Google LLC,1
adamieva.info,tranco-rank10k,261.32,2.165,120.702,-259.155,exited google,0.04546229529199168,142.251.228.184,AS15169 Google LLC,2
adblockplus.org,tranco-top1k,5.34,5.34,1.0,0.0,exited google,0.04546229529199168,108.170.228.31,AS15169 Google LLC,1
adform.net,tranco-top1k,234.69,233.60000000000002,1.005,-1.09,exited google,9787.833344977682,66.249.95.10,AS15169 Google LLC,1
adftech.com.br,tranco-rank100k,233.67,246.10000000000002,0.949,12.43,exited google,6535.829292828866,108.170.255.8,AS15169 Google LLC,2
aditude.cloud,tranco-rank10k,1.52,3.64,0.418,2.12,exited google,0.04546229529199168,108.170.228.31,AS15169 Google LLC,1
adjust.com,tranco-top1k,1.49,1.49,1.0,0.0,exited google,0.04546229529199168,108.170.228.31,AS15169 Google LLC,1
admost.com,tranco-rank10k,1.6749999999999998,1.8,0.931,0.125,exited google,0.04546229529199168,209.85.143.230,AS15169 Google LLC,2
adnxs.com,tranco-top1k,241.88,241.88,1.0,0.0,exited google,7650.119385015842,142.251.60.182,AS15169 Google LLC,1
adobe.com,tranco-top1k,7.119999999999999,0.525,13.562,-6.595,exited google,0.04546229529199168,108.170.228.30,AS15169 Google LLC,1
