Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
037hdx.tv,tranco-rank100k,11.06,11.72,0.944,0.66,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,230.625,235.0,0.981,4.375,exited google,2123.244810752439,108.170.252.30,nan,2
104.156.244.232,vultr-miami,224.94,237.11,0.949,12.17,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,220.38,116.97500000000001,1.884,-103.405,exited google,687.8200131180677,108.170.238.83,AS15169 Google LLC,1
108.61.149.182,vultr-new jersey,11.155000000000001,238.64,0.047,227.485,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,230.1,24.23,9.496,-205.87,exited google,N/A,74.125.243.54,nan,2
108.61.194.105,vultr-seattle,359.70500000000004,227.87,1.579,-131.835,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,224.14999999999998,241.74,0.927,17.59,exited google,6913.333802183322,72.14.235.246,AS15169 Google LLC,1
108.61.198.102,vultr-amsterdam,247.42,234.48,1.055,-12.94,exited google,7147.8439159863665,74.125.243.132,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,236.935,239.3,0.99,2.365,exited google,9778.868173146802,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,233.81,227.79500000000002,1.026,-6.015,exited google,N/A,72.14.235.97,nan,1
108.61.210.117,vultr-frankfurt,236.21,241.69,0.977,5.48,exited google,N/A,66.249.94.174,nan,1
108.61.212.117,vultr-sydney,227.86,489.03,0.466,261.17,exited google,14186.4717138088,74.125.251.94,AS15169 Google LLC,1
108.61.219.200,vultr-los angeles,236.49,249.44,0.948,12.95,exited google,2123.244810752439,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,10.469999999999999,231.51,0.045,221.04,exited google,791.2657999242944,142.251.50.108,AS15169 Google LLC,1
10g.su,tranco-rank100k,225.575,247.62,0.911,22.045,exited google,N/A,142.250.213.86,nan,1
11kk.love,tranco-rank10k,11.09,135.14499999999998,0.082,124.055,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
123-hd.com,tranco-rank10k,10.82,10.98,0.985,0.16,exited google,687.8200131180677,108.170.238.82,AS15169 Google LLC,1
123mkv.team,tranco-rank100k,12.32,222.37,0.055,210.05,exited google,687.8200131180677,108.170.238.82,AS15169 Google LLC,1
139.84.130.100,vultr-bangalore,238.0,475.72,0.5,237.72,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,243.82,469.77,0.519,225.95,exited google,2123.244810752439,142.251.65.159,AS15169 Google LLC,1
139.84.226.78,vultr-johannesburg,13.77,254.475,0.054,240.705,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
141.164.34.61,vultr-seoul,225.06,237.25,0.949,12.19,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,228.94,222.98,1.027,-5.96,exited google,687.8200131180677,192.178.249.224,AS15169 Google LLC,2
163.com,tranco-top1k,222.185,477.18,0.466,254.995,exited google,1581.647838745737,192.178.106.2,AS15169 Google LLC,2
1c.ru,tranco-top1k,238.26999999999998,232.015,1.027,-6.255,exited google,8394.364987093737,142.250.234.165,AS15169 Google LLC,1
1drv.com,tranco-top1k,115.685,231.11,0.501,115.425,exited google,687.8200131180677,142.251.239.140,AS15169 Google LLC,1
1goplus.com,tranco-rank10k,222.31,219.05,1.015,-3.26,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
1internet.tv,tranco-rank10k,227.09,238.6,0.952,11.51,exited google,6913.333802183322,72.14.235.246,AS15169 Google LLC,1
1learn.in,tranco-rank100k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
1nto.com,tranco-rank10k,228.435,11.56,19.761,-216.875,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
1slu.com,tranco-rank10k,12.79,229.69,0.056,216.9,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
1tamilyogi.vote,tranco-rank10k,11.16,11.98,0.932,0.82,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
208.72.154.76,vultr-honolulu,10.755,227.4,0.047,216.645,exited google,687.8200131180677,108.170.234.152,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,239.175,231.33,1.034,-7.845,exited google,7362.362919862063,142.250.225.71,AS15169 Google LLC,1
216.238.66.16,vultr-mexico city,10.65,233.77,0.046,223.12,exited google,791.2657999242944,142.251.49.69,AS15169 Google LLC,1
216.238.98.118,vultr-sao paulo,116.61,232.53,0.501,115.92,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
21wiz.com,tranco-rank10k,13.07,11.38,1.149,-1.69,exited google,687.8200131180677,74.125.251.128,AS15169 Google LLC,1
