Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
104.156.230.107,vultr-silicon valley,222.51,230.64,0.965,8.13,exited google,3526.1504753639506,66.249.94.46,AS15169 Google LLC,2
104.156.244.232,vultr-miami,12.28,129.13,0.095,116.85,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,233.8,238.135,0.982,4.335,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,17.06,222.05,0.077,204.99,exited google,N/A,142.251.66.65,nan,1
108.61.193.166,vultr-atlanta,119.19500000000001,19.69,6.054,-99.505,exited google,409.51788539249014,108.170.248.86,nan,2
108.61.194.105,vultr-seattle,232.71,229.78,1.013,-2.93,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,230.475,241.87,0.953,11.395,exited google,6539.9127809468855,192.178.97.190,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,227.45,234.985,0.968,7.535,exited google,6841.997096587356,74.125.242.186,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,232.89,231.135,1.008,-1.755,exited google,11334.928883992883,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,235.65,231.25,1.019,-4.4,exited google,N/A,108.170.255.222,nan,2
108.61.210.117,vultr-frankfurt,221.47,241.25,0.918,19.78,exited google,N/A,66.249.94.174,nan,1
108.61.212.117,vultr-sydney,239.13,471.98,0.507,232.85,exited google,N/A,74.125.251.94,nan,1
108.61.219.200,vultr-los angeles,231.67,232.29,0.997,0.62,exited google,3526.1504753639506,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,12.14,235.265,0.052,223.125,exited google,688.375109696495,72.14.235.121,AS15169 Google LLC,1
11kk.love,tranco-rank10k,218.61,11.79,18.542,-206.82,exited google,688.375109696495,142.251.252.70,AS15169 Google LLC,2
123-hd.com,tranco-rank10k,12.114999999999998,220.71,0.055,208.595,exited google,688.375109696495,192.178.248.24,AS15169 Google LLC,2
12moviesda.com,tranco-rank100k,126.55,121.52,1.041,-5.03,exited google,688.375109696495,192.178.248.16,AS15169 Google LLC,2
139.84.130.100,vultr-bangalore,253.08999999999997,248.05,1.02,-5.04,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,241.05,492.15999999999997,0.49,251.11,exited google,3526.1504753639506,142.251.65.159,AS15169 Google LLC,1
139.84.226.78,vultr-johannesburg,126.745,126.745,1.0,0.0,exited google,688.375109696495,142.251.247.153,AS15169 Google LLC,1
141.164.34.61,vultr-seoul,116.37,227.875,0.511,111.505,exited google,409.51788539249014,108.170.226.215,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,243.21,239.17,1.017,-4.04,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,122.00999999999999,482.93,0.253,360.92,exited google,688.375109696495,192.178.248.32,AS15169 Google LLC,2
1c.ru,tranco-top1k,236.34,230.85500000000002,1.024,-5.485,exited google,8522.950386859498,72.14.237.202,AS15169 Google LLC,1
1drv.com,tranco-top1k,118.5,231.445,0.512,112.945,exited google,688.375109696495,142.250.214.161,AS15169 Google LLC,1
1exch.net,tranco-rank10k,220.01,612.575,0.359,392.565,exited google,688.375109696495,108.170.233.255,AS15169 Google LLC,1
1goplus.com,tranco-rank10k,12.4,12.23,1.014,-0.17,exited google,688.375109696495,192.178.105.218,AS15169 Google LLC,2
1internet.tv,tranco-rank10k,234.32999999999998,237.35500000000002,0.987,3.025,exited google,6539.9127809468855,74.125.251.219,AS15169 Google LLC,1
1nto.com,tranco-rank10k,11.84,220.685,0.054,208.845,exited google,688.375109696495,192.178.248.16,AS15169 Google LLC,2
1pr.ru,tranco-rank100k,362.8,234.9,1.544,-127.9,exited google,8522.950386859498,192.178.241.118,AS15169 Google LLC,2
1slu.com,tranco-rank10k,227.37,12.02,18.916,-215.35,exited google,688.375109696495,192.178.97.146,AS15169 Google LLC,2
1tamilmv.fi,tranco-rank10k,222.9,119.11,1.871,-103.79,exited google,688.375109696495,192.178.248.32,AS15169 Google LLC,2
1tamilyogi.vote,tranco-rank10k,118.195,12.355,9.567,-105.84,exited google,688.375109696495,142.251.245.174,AS15169 Google LLC,2
1und1.de,tranco-rank10k,228.76,245.22,0.933,16.46,exited google,6539.9127809468855,72.14.235.239,AS15169 Google LLC,1
208.72.154.76,vultr-honolulu,12.01,229.54,0.052,217.53,exited google,688.375109696495,192.178.97.146,AS15169 Google LLC,2
208.76.222.30,vultr-madrid,231.87,238.05,0.974,6.18,exited google,6645.952203262187,142.250.225.71,AS15169 Google LLC,1
216.238.66.16,vultr-mexico city,16.85,61.22,0.275,44.37,exited google,688.375109696495,108.170.233.255,AS15169 Google LLC,1
216.238.98.118,vultr-sao paulo,247.26,247.26,1.0,0.0,exited google,N/A,142.251.64.24,nan,2
21wiz.com,tranco-rank10k,11.870000000000001,12.28,0.967,0.41,exited google,688.375109696495,192.178.248.32,AS15169 Google LLC,2
22.cn,tranco-rank10k,117.66999999999999,241.275,0.488,123.605,exited google,688.375109696495,192.178.248.24,AS15169 Google LLC,2
24-hd.com,tranco-rank10k,219.82,223.55,0.983,3.73,exited google,688.375109696495,142.251.247.154,AS15169 Google LLC,1
24-jav.com,tranco-rank10k,12.18,225.22,0.054,213.04,exited google,688.375109696495,142.251.247.152,AS15169 Google LLC,1
24exch.co,tranco-rank100k,11.82,11.82,1.0,0.0,exited google,688.375109696495,72.14.232.20,AS15169 Google LLC,1
2gis.com,tranco-top1k,228.95,234.42000000000002,0.977,5.47,exited google,6539.9127809468855,74.125.251.219,AS15169 Google LLC,1
2xbet365.com,tranco-rank100k,12.04,224.85,0.054,212.81,exited google,688.375109696495,142.251.247.153,AS15169 Google LLC,1
33across.com,tranco-top1k,12.01,12.01,1.0,0.0,exited google,688.375109696495,142.251.52.186,AS15169 Google LLC,1
360.cn,tranco-top1k,12.06,470.37,0.026,458.31,exited google,688.375109696495,192.178.248.16,AS15169 Google LLC,2
360safe.com,tranco-top1k,12.57,235.245,0.053,222.675,exited google,688.375109696495,142.251.52.187,AS15169 Google LLC,1
360yield.com,tranco-top1k,225.1,225.1,1.0,0.0,exited google,6539.9127809468855,192.178.97.190,AS15169 Google LLC,2
3gl.net,tranco-rank10k,128.095,233.23000000000002,0.549,105.135,exited google,688.375109696495,108.170.233.255,AS15169 Google LLC,1
3gpking.name,tranco-rank10k,121.36,117.03,1.037,-4.33,exited google,688.375109696495,72.14.235.121,AS15169 Google LLC,1
45.32.100.168,vultr-singapore,242.64999999999998,231.575,1.048,-11.075,exited google,16165.811585235448,72.14.232.209,AS15169 Google LLC,1
49erswebzone.com,tranco-rank100k,11.92,220.94,0.054,209.02,exited google,688.375109696495,192.178.248.16,AS15169 Google LLC,2
4netplayers.com,tranco-rank100k,239.44,243.52,0.983,4.08,exited google,6841.997096587356,142.251.51.160,AS15169 Google LLC,1
5eos306rsc.com,tranco-rank10k,231.35,120.355,1.922,-110.995,exited google,688.375109696495,216.239.40.106,AS15169 Google LLC,2
5movierulz.immo,tranco-rank10k,121.63499999999999,11.97,10.162,-109.665,exited google,688.375109696495,192.178.248.16,AS15169 Google LLC,2
64.176.162.16,vultr-tel aviv,227.76,232.975,0.978,5.215,exited google,6539.9127809468855,192.178.97.188,AS15169 Google LLC,2
64.176.178.136,vultr-manchester,223.89,227.54,0.984,3.65,exited google,688.375109696495,108.170.233.255,AS15169 Google LLC,1
64.176.2.7,vultr-santiago,11.85,358.16999999999996,0.033,346.32,exited google,688.375109696495,108.170.233.255,AS15169 Google LLC,1
64.176.34.94,vultr-osaka,227.71,234.88,0.969,7.17,exited google,N/A,142.251.241.129,nan,1
65.20.66.100,vultr-mumbai,480.51,480.51,1.0,0.0,exited google,13548.908996921957,72.14.236.75,AS15169 Google LLC,1
66lottery20.com,tranco-rank10k,11.73,12.379999999999999,0.947,0.65,exited google,688.375109696495,142.251.245.174,AS15169 Google LLC,2
67.219.110.24,vultr-melbourne,12.03,367.5,0.033,355.47,exited google,688.375109696495,108.170.233.255,AS15169 Google LLC,1
6855.org,tranco-rank10k,230.88,226.91,1.017,-3.97,exited google,688.375109696495,192.178.106.2,AS15169 Google LLC,2
70.34.194.86,vultr-stockholm,236.31,237.245,0.996,0.935,exited google,N/A,72.14.237.54,nan,2
70.34.242.24,vultr-warsaw,235.86,227.25,1.038,-8.61,exited google,7852.4395518810115,64.233.174.228,nan,2
77moviehd.com,tranco-rank100k,220.96,222.29,0.994,1.33,exited google,688.375109696495,142.251.252.70,AS15169 Google LLC,2
77nekoaffiliate.com,tranco-rank100k,224.55,122.75500000000001,1.829,-101.795,exited google,688.375109696495,72.14.235.121,AS15169 Google LLC,1
78wine.vip,tranco-rank10k,118.66000000000001,12.31,9.639,-106.35,exited google,688.375109696495,72.14.235.121,AS15169 Google LLC,1
7dak25e.org,tranco-rank10k,262.85,247.75,1.061,-15.1,exited google,688.375109696495,72.14.235.121,AS15169 Google LLC,5
7dak25e.xyz,tranco-rank10k,360.92,224.83,1.605,-136.09,exited google,688.375109696495,72.14.235.121,AS15169 Google LLC,3
888ifun.com,tranco-rank100k,12.29,12.45,0.987,0.16,exited google,688.375109696495,192.178.84.148,AS15169 Google LLC,2
98wn40.com,tranco-rank100k,226.18,221.66,1.02,-4.52,exited google,688.375109696495,142.250.214.161,AS15169 Google LLC,1
99789bet.vip,tranco-rank100k,12.47,226.39,0.055,213.92,exited google,688.375109696495,142.250.214.161,AS15169 Google LLC,1
9news.com.au,tranco-rank10k,12.02,12.02,1.0,0.0,exited google,688.375109696495,72.14.232.20,AS15169 Google LLC,1
a-mo.net,tranco-top1k,15.01,15.01,1.0,0.0,exited google,822.4492000804336,192.178.96.228,AS15169 Google LLC,2
a222555.com,tranco-rank100k,12.33,224.81,0.055,212.48,exited google,688.375109696495,216.239.40.106,AS15169 Google LLC,2
a3y4g6bvae.com,tranco-rank100k,223.75,240.13,0.932,16.38,exited google,N/A,142.250.234.160,nan,1
a8.net,tranco-rank10k,243.63,243.63,1.0,0.0,exited google,11334.928883992883,142.251.233.118,AS15169 Google LLC,2
abc7.com,tranco-rank10k,221.15,235.19,0.94,14.04,exited google,822.4492000804336,142.251.247.129,AS15169 Google LLC,1
abgmlenuk.wiki,tranco-rank100k,12.05,118.75,0.101,106.7,exited google,688.375109696495,192.178.97.146,AS15169 Google LLC,2
abo2sadam.net,tranco-rank100k,232.43,231.8,1.003,-0.63,exited google,688.375109696495,142.251.52.186,AS15169 Google LLC,1
aboutads.info,tranco-top1k,12.115,120.595,0.1,108.48,exited google,688.375109696495,216.239.40.106,AS15169 Google LLC,2
academia.edu,tranco-top1k,12.16,226.66500000000002,0.054,214.505,exited google,688.375109696495,108.170.233.255,AS15169 Google LLC,1
acadeu.com,tranco-rank10k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
accuweather.com,tranco-top1k,11.87,12.85,0.924,0.98,exited google,688.375109696495,142.251.52.186,AS15169 Google LLC,1
acgnxtracker.com,tranco-rank10k,221.36,241.25,0.918,19.89,exited google,688.375109696495,192.178.106.2,AS15169 Google LLC,2
acsechocaptiveportal.com,tranco-rank10k,12.225,12.225,1.0,0.0,exited google,688.375109696495,192.178.97.146,AS15169 Google LLC,2
ad.gt,tranco-top1k,121.095,245.81,0.493,124.715,exited google,688.375109696495,108.170.233.255,AS15169 Google LLC,1
ad2iction.com,tranco-rank100k,230.35500000000002,228.92,1.006,-1.435,exited google,11334.928883992883,72.14.239.222,AS15169 Google LLC,1
adamieva.info,tranco-rank10k,225.41,12.34,18.267,-213.07,exited google,688.375109696495,192.178.248.32,AS15169 Google LLC,2
adblockplus.org,tranco-top1k,225.68,225.68,1.0,0.0,exited google,688.375109696495,72.14.235.121,AS15169 Google LLC,1
addgene.org,tranco-rank100k,12.11,234.76,0.052,222.65,exited google,688.375109696495,192.178.248.32,AS15169 Google LLC,2
adform.net,tranco-top1k,12.3,247.23,0.05,234.93,exited google,688.375109696495,108.170.233.255,AS15169 Google LLC,1
aditude.cloud,tranco-rank10k,11.71,235.505,0.05,223.795,exited google,688.375109696495,142.251.52.187,AS15169 Google LLC,1
adjust.com,tranco-top1k,220.94,13.6,16.246,-207.34,exited google,688.375109696495,142.250.214.161,AS15169 Google LLC,1
adkit-advertising.amazon,tranco-rank100k,219.95,219.95,1.0,0.0,exited google,822.4492000804336,192.178.99.148,AS15169 Google LLC,2
admarketplace.net,tranco-rank100k,224.36,224.36,1.0,0.0,exited google,409.51788539249014,108.170.226.215,AS15169 Google LLC,1
admost.com,tranco-rank10k,229.87,117.365,1.959,-112.505,exited google,688.375109696495,142.251.252.70,AS15169 Google LLC,2
adnxs.com,tranco-top1k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
adobe.com,tranco-top1k,11.95,237.16,0.05,225.21,exited google,688.375109696495,142.251.247.154,AS15169 Google LLC,1
adobe.io,tranco-top1k,221.595,221.595,1.0,0.0,exited google,688.375109696495,216.239.40.106,AS15169 Google LLC,2
adobe.net,tranco-top1k,12.02,247.2,0.049,235.18,exited google,688.375109696495,142.250.214.161,AS15169 Google LLC,1
adprime.com,tranco-rank10k,12.14,12.41,0.978,0.27,exited google,688.375109696495,192.178.97.146,AS15169 Google LLC,2
adprun.net,tranco-rank100k,119.42,11.83,10.095,-107.59,exited google,688.375109696495,72.14.235.121,AS15169 Google LLC,1
adriver.ru,tranco-top1k,225.65,245.36,0.92,19.71,exited google,7896.384923735603,172.253.73.96,AS15169 Google LLC,1
adsafeprotected.com,tranco-top1k,241.125,26.94,8.95,-214.185,exited google,688.375109696495,72.14.235.121,AS15169 Google LLC,1
adserving.ru,tranco-rank100k,243.22,230.82,1.054,-12.4,exited google,7896.384923735603,74.125.244.130,AS15169 Google LLC,2
adsrvr.org,tranco-top1k,13.17,13.17,1.0,0.0,exited google,688.375109696495,142.251.52.186,AS15169 Google LLC,1
adsximg.com,tranco-rank100k,11.82,226.59,0.052,214.77,exited google,688.375109696495,108.170.233.255,AS15169 Google LLC,1
adtrafficquality.google,tranco-top1k,0.38,0.38,1.0,0.0,last node was google,1.7227587428636852,74.125.141.106,AS15169 Google LLC,15
adzuna.co.uk,tranco-rank100k,117.305,223.255,0.525,105.95,exited google,688.375109696495,108.170.233.255,AS15169 Google LLC,1
afidni.com,tranco-rank100k,12.11,234.79,0.052,222.68,exited google,688.375109696495,216.239.63.168,nan,2
aflac.co.jp,tranco-rank100k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
afternic.com,tranco-top1k,12.145,227.05,0.053,214.905,exited google,688.375109696495,142.250.214.161,AS15169 Google LLC,1
agenda-loto.net,tranco-rank100k,242.915,233.695,1.039,-9.22,exited google,688.375109696495,72.14.235.121,AS15169 Google LLC,1
agenteimmobiliare.info,tranco-rank10k,222.77,118.33,1.883,-104.44,exited google,688.375109696495,192.178.248.16,AS15169 Google LLC,2
agoda.com,tranco-top1k,219.69,246.7,0.891,27.01,exited google,688.375109696495,142.251.247.153,AS15169 Google LLC,1
agora.io,tranco-top1k,234.10000000000002,243.75,0.96,9.65,exited google,2342.432424036581,142.251.243.111,AS15169 Google LLC,1
ahen.me,tranco-rank10k,232.685,227.34,1.024,-5.345,exited google,N/A,142.250.213.37,nan,1
ahlens.se,tranco-rank100k,233.79,351.20000000000005,0.666,117.41,exited google,N/A,72.14.237.54,nan,2
ahrefs.dev,tranco-rank100k,11.985,239.79,0.05,227.805,exited google,688.375109696495,142.251.247.153,AS15169 Google LLC,1
aia.com,tranco-rank100k,12.01,247.79,0.048,235.78,exited google,688.375109696495,192.178.248.32,AS15169 Google LLC,2
aig.com,tranco-rank10k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
ailawandorder.com,tranco-top1k,221.41,234.76,0.943,13.35,exited google,13684.167713313436,72.14.236.39,AS15169 Google LLC,1
airbnb.co.uk,tranco-rank10k,11.74,11.74,1.0,0.0,exited google,688.375109696495,72.14.232.20,AS15169 Google LLC,1
airbnb.com,tranco-top1k,121.275,121.275,1.0,0.0,exited google,688.375109696495,72.14.232.20,AS15169 Google LLC,1
airbrake.io,tranco-rank10k,121.405,222.29,0.546,100.885,exited google,688.375109696495,142.250.214.161,AS15169 Google LLC,1
airee.ru,tranco-rank10k,231.26,367.25,0.63,135.99,exited google,8522.950386859498,192.178.241.180,AS15169 Google LLC,2
ajaibsnack.com,tranco-rank100k,11.66,12.094999999999999,0.964,0.435,exited google,688.375109696495,72.14.235.121,AS15169 Google LLC,1
akadda.com,tranco-rank100k,228.97,228.97,1.0,0.0,exited google,7177.3024834556745,74.125.253.7,AS15169 Google LLC,1
aksesbayar.com,tranco-rank100k,121.18,12.83,9.445,-108.35,exited google,688.375109696495,142.251.247.154,AS15169 Google LLC,1
ala.org,tranco-rank10k,225.61,225.61,1.0,0.0,exited google,688.375109696495,72.14.235.121,AS15169 Google LLC,1
alaska.edu,tranco-rank10k,236.435,234.05,1.01,-2.385,exited google,3871.4407253290874,142.251.49.8,AS15169 Google LLC,1
alaskaair.net,tranco-rank100k,227.23,14.41,15.769,-212.82,exited google,688.375109696495,142.250.214.161,AS15169 Google LLC,1
alastonsuomi.com,tranco-rank10k,234.305,235.735,0.994,1.43,exited google,6841.997096587356,66.249.95.7,AS15169 Google LLC,1
alexislandrover.com,tranco-rank10k,221.01,12.42,17.795,-208.59,exited google,688.375109696495,192.178.97.146,AS15169 Google LLC,2
alexismovistar.com,tranco-rank10k,116.94500000000001,12.47,9.378,-104.475,exited google,688.375109696495,142.251.247.153,AS15169 Google LLC,1
alexistogel-slot.com,tranco-rank10k,118.365,115.545,1.024,-2.82,exited google,688.375109696495,192.178.97.146,AS15169 Google LLC,2
alfahosting-server.de,tranco-rank100k,227.715,234.07,0.973,6.355,exited google,N/A,142.251.253.0,nan,1
algoriddim.com,tranco-rank100k,12.14,239.32,0.051,227.18,exited google,688.375109696495,108.170.233.255,AS15169 Google LLC,1
alibaba.com,tranco-top1k,11.91,121.475,0.098,109.565,exited google,688.375109696495,72.14.235.121,AS15169 Google LLC,1
alicdn.com,tranco-top1k,12.025,232.94,0.052,220.915,exited google,688.375109696495,72.14.235.121,AS15169 Google LLC,1
alidns.com,tranco-top1k,12.14,241.05,0.05,228.91,exited google,688.375109696495,142.251.52.187,AS15169 Google LLC,1
aliexpress.com,tranco-top1k,225.02499999999998,225.02499999999998,1.0,0.0,exited google,7177.3024834556745,209.85.249.228,AS15169 Google LLC,2
aliyun.com,tranco-top1k,117.84,224.21,0.526,106.37,exited google,688.375109696495,142.251.52.186,AS15169 Google LLC,1
aliyuncs.com,tranco-top1k,120.72500000000001,244.94,0.493,124.215,exited google,688.375109696495,142.251.52.187,AS15169 Google LLC,1
all4nothin.net,tranco-rank100k,246.99,233.88,1.056,-13.11,exited google,6841.997096587356,142.251.51.160,AS15169 Google LLC,1
allaboutcookies.org,tranco-top1k,12.4,14.3,0.867,1.9,exited google,688.375109696495,216.239.40.106,AS15169 Google LLC,2
allegro.pl,tranco-top1k,244.15,244.15,1.0,0.0,exited google,7553.834719666226,192.178.98.110,AS15169 Google LLC,2
allen.in,tranco-rank10k,11.85,241.83,0.049,229.98,exited google,688.375109696495,108.170.233.255,AS15169 Google LLC,1
allevents.in,tranco-rank10k,11.92,227.56,0.052,215.64,exited google,688.375109696495,72.14.235.121,AS15169 Google LLC,1
allsarkarinaukri.com,tranco-rank100k,117.305,12.445,9.426,-104.86,exited google,688.375109696495,192.178.105.218,AS15169 Google LLC,2
alma-de-cuba.com,tranco-rank100k,225.71,12.96,17.416,-212.75,exited google,688.375109696495,192.178.84.148,AS15169 Google LLC,2
alpharank.io,tranco-rank100k,225.79000000000002,225.79000000000002,1.0,0.0,exited google,688.375109696495,142.251.245.174,AS15169 Google LLC,2
alternet.org,tranco-rank10k,263.05,227.92,1.154,-35.13,exited google,688.375109696495,72.14.235.121,AS15169 Google LLC,1
alva.xyz,tranco-rank100k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
amagi.tv,tranco-top1k,11.84,11.84,1.0,0.0,exited google,688.375109696495,142.251.245.174,AS15169 Google LLC,2
amazon-adsystem.com,tranco-top1k,117.74,117.74,1.0,0.0,exited google,688.375109696495,192.178.248.32,AS15169 Google LLC,2
amazon.ca,tranco-top1k,220.24,230.31,0.956,10.07,exited google,688.375109696495,142.250.214.161,AS15169 Google LLC,1
amazon.co.jp,tranco-top1k,237.97,237.97,1.0,0.0,exited google,2342.432424036581,142.251.49.34,AS15169 Google LLC,2
amazon.co.uk,tranco-top1k,231.285,231.285,1.0,0.0,exited google,6539.9127809468855,192.178.97.42,AS15169 Google LLC,2
