Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,9.335,8.025,1.163,-1.31,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
037hdx.tv,tranco-rank100k,6.64,7.87,0.844,1.23,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
104.156.230.107,vultr-silicon valley,7.45,223.89,0.033,216.44,exited google,367.74850029793566,142.250.231.100,AS15169 Google LLC,2
104.156.244.232,vultr-miami,232.68,239.495,0.972,6.815,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,231.79,243.79000000000002,0.951,12.0,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,223.45,237.08,0.943,13.63,exited google,N/A,142.251.66.65,nan,1
108.61.193.166,vultr-atlanta,230.97,231.885,0.996,0.915,exited google,N/A,74.125.245.92,nan,2
108.61.194.105,vultr-seattle,243.35000000000002,236.16500000000002,1.03,-7.185,exited google,1401.9958250551674,142.251.54.146,AS15169 Google LLC,1
108.61.196.101,vultr-london,232.2,236.61,0.981,4.41,exited google,8422.226453880945,192.178.97.50,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,227.6,248.93,0.914,21.33,exited google,8610.835381825073,74.125.242.186,nan,2
108.61.201.151,vultr-tokyo,227.04000000000002,234.1,0.97,7.06,exited google,8921.158205634712,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,600.855,246.37,2.439,-354.485,exited google,N/A,108.170.238.44,nan,2
108.61.210.117,vultr-frankfurt,244.87,226.99,1.079,-17.88,exited google,8975.612923963325,72.14.234.209,AS15169 Google LLC,1
108.61.212.117,vultr-sydney,484.505,223.88,2.164,-260.625,exited google,12422.891254435162,74.125.251.94,AS15169 Google LLC,1
108.61.219.200,vultr-los angeles,5.64,222.925,0.025,217.285,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,7.27,228.20499999999998,0.032,220.935,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
11kk.love,tranco-rank10k,8.12,7.785,1.043,-0.335,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
139.84.130.100,vultr-bangalore,238.72,246.5,0.968,7.78,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,220.63,249.76,0.883,29.13,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
139.84.226.78,vultr-johannesburg,473.31,476.57,0.993,3.26,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,115.38499999999999,234.38,0.492,118.995,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,232.745,244.59,0.952,11.845,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,235.49,475.42,0.495,239.93,exited google,3316.2191058018598,192.178.97.146,AS15169 Google LLC,2
1asb.com,tranco-rank100k,114.22500000000001,7.11,16.065,-107.115,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
1c.ru,tranco-top1k,234.05,230.89,1.014,-3.16,exited google,9496.156964384412,72.14.237.202,AS15169 Google LLC,1
1drv.com,tranco-top1k,8.5,229.85500000000002,0.037,221.355,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
1exch.net,tranco-rank10k,8.31,8.31,1.0,0.0,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
1internet.tv,tranco-rank10k,228.61,230.66,0.991,2.05,exited google,8422.226453880945,192.178.97.190,AS15169 Google LLC,2
1learn.in,tranco-rank100k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
1nto.com,tranco-rank10k,7.01,9.72,0.721,2.71,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
1tamilmv.fi,tranco-rank10k,6.455,6.3,1.025,-0.155,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
208.72.154.76,vultr-honolulu,7.14,349.91999999999996,0.02,342.78,exited google,367.74850029793566,108.170.226.20,nan,2
208.76.222.30,vultr-madrid,236.83,238.855,0.992,2.025,exited google,N/A,108.170.228.187,nan,1
216.238.66.16,vultr-mexico city,116.41000000000001,72.16,1.613,-44.25,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
216.238.98.118,vultr-sao paulo,227.45,227.45,1.0,0.0,exited google,N/A,209.85.246.80,nan,2
21wiz.com,tranco-rank10k,221.525,7.85,28.22,-213.675,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
22.cn,tranco-rank10k,14.32,237.93,0.06,223.61,exited google,616.8718055328491,142.251.254.66,AS15169 Google LLC,2
24-jav.com,tranco-rank10k,114.25,113.08,1.01,-1.17,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
2gis.com,tranco-top1k,233.71,249.24,0.938,15.53,exited google,8422.226453880945,74.125.251.219,AS15169 Google LLC,1
32red.com,tranco-rank10k,6.58,221.83,0.03,215.25,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
33across.com,tranco-top1k,7.07,7.07,1.0,0.0,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
360.cn,tranco-top1k,225.17,220.84,1.02,-4.33,exited google,616.8718055328491,192.178.87.164,AS15169 Google LLC,2
360safe.com,tranco-top1k,220.6,237.14,0.93,16.54,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
360yield.com,tranco-top1k,239.54,239.54,1.0,0.0,exited google,8422.226453880945,192.178.97.42,AS15169 Google LLC,2
3gl.net,tranco-rank10k,115.175,238.44,0.483,123.265,exited google,367.74850029793566,142.251.65.164,AS15169 Google LLC,1
3isk.biz,tranco-rank10k,117.57000000000001,7.02,16.748,-110.55,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
45.32.100.168,vultr-singapore,219.2,241.84,0.906,22.64,exited google,14231.363121643617,72.14.232.209,AS15169 Google LLC,1
4dbeli.co,tranco-rank100k,14.85,14.85,1.0,0.0,last node was google,367.74850029793566,142.251.65.157,AS15169 Google LLC,4
4netplayers.com,tranco-rank100k,233.0,224.48,1.038,-8.52,exited google,8610.835381825073,66.249.95.7,AS15169 Google LLC,1
5eos306rsc.com,tranco-rank10k,5.58,232.52,0.024,226.94,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
64.176.162.16,vultr-tel aviv,228.51,236.37,0.967,7.86,exited google,8422.226453880945,192.178.97.188,AS15169 Google LLC,2
64.176.178.136,vultr-manchester,7.25,225.18,0.032,217.93,exited google,367.74850029793566,142.251.65.164,AS15169 Google LLC,1
64.176.2.7,vultr-santiago,115.005,228.47,0.503,113.465,exited google,367.74850029793566,142.251.65.164,AS15169 Google LLC,1
64.176.34.94,vultr-osaka,234.905,227.86,1.031,-7.045,exited google,9287.647402154616,142.251.241.128,AS15169 Google LLC,1
65.20.66.100,vultr-mumbai,232.82,249.11,0.935,16.29,exited google,N/A,72.14.236.74,nan,1
66lottery20.com,tranco-rank10k,115.695,223.04,0.519,107.345,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
67.219.110.24,vultr-melbourne,243.15,241.73000000000002,1.006,-1.42,exited google,N/A,142.250.224.113,nan,1
70.34.194.86,vultr-stockholm,233.85,240.45,0.973,6.6,exited google,8579.122188912817,142.251.248.193,AS15169 Google LLC,1
70.34.242.24,vultr-warsaw,236.75,235.8,1.004,-0.95,exited google,9329.03726410871,74.125.252.117,AS15169 Google LLC,1
77moviehd.com,tranco-rank100k,6.4,238.71,0.027,232.31,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
789.club,tranco-rank10k,7.92,7.89,1.004,-0.03,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
78wine.vip,tranco-rank10k,220.08,128.435,1.714,-91.645,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
79-mix.com,tranco-rank100k,5.695,6.324999999999999,0.9,0.63,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
7dak25e.org,tranco-rank10k,236.79,239.79000000000002,0.987,3.0,exited google,1401.9958250551674,142.251.49.8,AS15169 Google LLC,2
7dak25et.com,tranco-rank10k,231.95,470.45,0.493,238.5,exited google,1401.9958250551674,142.251.49.8,AS15169 Google LLC,1
7dak25wb.org,tranco-rank10k,243.56,246.69,0.987,3.13,exited google,1401.9958250551674,142.251.49.8,AS15169 Google LLC,1
888ifun.com,tranco-rank100k,232.53,7.83,29.697,-224.7,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
988lifeline.org,tranco-rank10k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
98aji.com,tranco-rank100k,6.49,7.15,0.908,0.66,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
98wn40.com,tranco-rank100k,6.51,118.375,0.055,111.865,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
99789bet.vip,tranco-rank100k,10.22,7.02,1.456,-3.2,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
9news.com.au,tranco-rank10k,6.99,7.66,0.913,0.67,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
a-mo.net,tranco-top1k,6.55,11.01,0.595,4.46,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
a2sports.co,tranco-rank100k,7.890000000000001,7.02,1.124,-0.87,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
a8.net,tranco-rank10k,230.71,230.71,1.0,0.0,exited google,8921.158205634712,142.251.233.118,AS15169 Google LLC,2
aalto.fi,tranco-rank10k,8.13,8.13,1.0,0.0,exited google,367.74850029793566,108.170.248.44,AS15169 Google LLC,2
aappublications.org,tranco-rank10k,241.845,249.35,0.97,7.505,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
aatkit.com,tranco-rank10k,246.215,239.79,1.027,-6.425,exited google,N/A,66.249.94.174,nan,1
abo2sadam.net,tranco-rank100k,218.71,232.64,0.94,13.93,exited google,367.74850029793566,142.251.65.164,AS15169 Google LLC,1
aboutads.info,tranco-top1k,7.18,7.02,1.023,-0.16,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
academia.edu,tranco-top1k,226.46,226.46,1.0,0.0,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
accuweather.com,tranco-top1k,7.66,114.19500000000001,0.067,106.535,exited google,367.74850029793566,142.251.65.164,AS15169 Google LLC,1
acgnxtracker.com,tranco-rank10k,6.68,227.13,0.029,220.45,exited google,367.74850029793566,108.170.252.100,AS15169 Google LLC,2
acsechocaptiveportal.com,tranco-rank10k,228.65,228.65,1.0,0.0,exited google,1722.7385354630326,172.253.78.58,AS15169 Google LLC,2
action-media.ru,tranco-rank10k,239.04,221.755,1.078,-17.285,exited google,9496.156964384412,142.250.234.164,AS15169 Google LLC,1
ad.gt,tranco-top1k,7.99,239.62,0.033,231.63,exited google,367.74850029793566,142.251.48.238,AS15169 Google LLC,2
ad2iction.com,tranco-rank100k,221.84,233.15,0.951,11.31,exited google,8921.158205634712,72.14.239.222,AS15169 Google LLC,1
ad4m.at,tranco-rank10k,116.65,7.74,15.071,-108.91,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
adamieva.info,tranco-rank10k,222.05,6.5600000000000005,33.849,-215.49,exited google,367.74850029793566,142.251.65.157,AS15169 Google LLC,1
adblockplus.org,tranco-top1k,6.615,6.615,1.0,0.0,exited google,367.74850029793566,72.14.233.142,AS15169 Google LLC,2
addgene.org,tranco-rank100k,6.73,115.145,0.058,108.415,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
adform.net,tranco-top1k,228.925,235.8,0.971,6.875,exited google,8610.835381825073,66.249.95.10,AS15169 Google LLC,1
aditude.cloud,tranco-rank10k,6.26,6.97,0.898,0.71,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
adjust.com,tranco-top1k,5.705,5.705,1.0,0.0,exited google,367.74850029793566,142.251.65.159,AS15169 Google LLC,1
adkit-advertising.amazon,tranco-rank100k,7.955,7.955,1.0,0.0,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
admarketplace.net,tranco-rank100k,8.03,8.03,1.0,0.0,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
admost.com,tranco-rank10k,6.25,6.23,1.003,-0.02,exited google,367.74850029793566,66.249.94.36,AS15169 Google LLC,1
adnxs.com,tranco-top1k,223.92,223.92,1.0,0.0,exited google,3593.216601551228,142.251.60.182,AS15169 Google LLC,1
adobe.com,tranco-top1k,7.47,7.2,1.037,-0.27,exited google,367.74850029793566,142.251.65.164,AS15169 Google LLC,1
adobe.io,tranco-top1k,225.82,225.82,1.0,0.0,exited google,1722.7385354630326,216.239.50.52,AS15169 Google LLC,2
adobe.net,tranco-top1k,9.48,232.78,0.041,223.3,exited google,367.74850029793566,142.251.65.164,AS15169 Google LLC,1
adobeprimetime.com,tranco-rank10k,234.49,234.49,1.0,0.0,exited google,1722.7385354630326,216.239.57.144,AS15169 Google LLC,2
