Destination,Destination IP,Hop,IP,ASN,City,Region,Country,Loc,Postal,Timezone,RTT1,RTT2,RTT3,Source
mail.ru,94.100.180.200,1.0,216.239.43.205,AS15169 Google LLC,Moscow,Moscow,RU,"55.7522,37.6156",101000,Europe/Moscow,229.09,244.13,*,tranco-top1k
google.com,142.250.75.46,1.0,*,,,,,,,,*,*,*,tranco-top1k
dzen.ru,5.61.23.39,1.0,216.239.43.205,AS15169 Google LLC,Moscow,Moscow,RU,"55.7522,37.6156",101000,Europe/Moscow,*,236.34,219.96,tranco-top1k
googleapis.com,142.250.75.132,1.0,*,,,,,,,,*,*,*,tranco-top1k
facebook.com,157.240.203.35,1.0,142.251.224.85,AS15169 Google LLC,Milan,Lombardy,IT,"45.4643,9.1895",20121,Europe/Rome,228.64,232.77,*,tranco-top1k
youtube.com,142.250.75.142,1.0,*,,,,,,,,*,*,*,tranco-top1k
instagram.com,157.240.234.174,1.0,72.14.233.234,AS15169 Google LLC,Sofia,Sofia-Capital,BG,"42.6975,23.3241",1000,Europe/Sofia,233.81,243.37,227.17,tranco-top1k
apple.com,17.253.144.10,1.0,66.249.95.132,AS15169 Google LLC,Paris,Île-de-France,FR,"48.8534,2.3488",75000,Europe/Paris,228.9,*,221.96,tranco-top1k
amazonaws.com,207.171.166.22,1.0,142.251.60.182,AS15169 Google LLC,New York City,New York,US,"40.7143,-74.0060",10001,America/New_York,469.58,*,234.71,tranco-top1k
office.com,13.107.6.156,1.0,108.170.238.109,AS15169 Google LLC,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,2.54,2.61,*,tranco-top1k
azure.com,20.112.250.133,1.0,108.170.238.109,AS15169 Google LLC,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,227.41,2.3,*,tranco-top1k
linkedin.com,150.171.22.12,1.0,108.170.238.109,AS15169 Google LLC,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,221.27,1.99,2.21,tranco-top1k
microsoft.com,13.107.246.60,1.0,108.170.238.109,AS15169 Google LLC,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,5.71,*,*,tranco-top1k
gstatic.com,142.250.75.163,1.0,*,,,,,,,,*,*,*,tranco-top1k
youtube.com,142.250.75.142,2.0,*,,,,,,,,*,*,*,tranco-top1k
skype.com,20.76.201.171,1.0,108.170.238.109,AS15169 Google LLC,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,*,2.16,2.19,tranco-top1k
google.com,142.250.75.46,2.0,142.251.234.111,AS15169 Google LLC,Yehud-Monosson,Tel Aviv,IL,"32.0284,34.8796",,Asia/Jerusalem,3.4,0.43,0.69,tranco-top1k
googletagmanager.com,142.250.75.136,1.0,*,,,,,,,,*,*,*,tranco-top1k
googleapis.com,142.250.75.132,2.0,142.251.234.121,AS15169 Google LLC,Yehud-Monosson,Tel Aviv,IL,"32.0284,34.8796",,Asia/Jerusalem,1.58,*,*,tranco-top1k
cloudflare.com,104.16.132.229,1.0,*,,,,,,,,*,*,*,tranco-top1k
domaincontrol.com,127.0.0.1,1.0,*,,,,,,,,*,*,*,tranco-top1k
dzen.ru,5.61.23.39,2.0,192.178.241.162,AS15169 Google LLC,Moscow,Moscow,RU,"55.7522,37.6156",101000,Europe/Moscow,234.45,248.3,*,tranco-top1k
icloud.com,17.253.144.10,1.0,66.249.95.132,AS15169 Google LLC,Paris,Île-de-France,FR,"48.8534,2.3488",75000,Europe/Paris,*,246.71,240.14,tranco-top1k
wordpress.org,198.143.164.252,1.0,142.251.249.196,AS15169 Google LLC,Paris,Île-de-France,FR,"48.8534,2.3488",75000,Europe/Paris,*,*,243.89,tranco-top1k
office.com,13.107.6.156,2.0,104.44.59.175,AS8075 Microsoft Corporation,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,*,*,2.47,tranco-top1k
facebook.com,157.240.203.35,2.0,*,,,,,,,,*,*,*,tranco-top1k
googleusercontent.com,142.250.75.97,1.0,*,,,,,,,,*,*,*,tranco-top1k
mail.ru,94.100.180.200,2.0,192.178.241.162,AS15169 Google LLC,Moscow,Moscow,RU,"55.7522,37.6156",101000,Europe/Moscow,*,220.05,*,tranco-top1k
apple.com,17.253.144.10,2.0,17.1.105.12,AS714 Apple Inc.,Paris,Île-de-France,FR,"48.8534,2.3488",75000,Europe/Paris,*,*,232.65,tranco-top1k
adobe.com,92.123.102.209,1.0,142.251.250.194,AS15169 Google LLC,Marseille,Provence-Alpes-Côte d'Azur,FR,"43.2970,5.3811",13000,Europe/Paris,240.33,*,245.47,tranco-top1k
twitter.com,162.159.140.229,1.0,*,,,,,,,,*,*,*,tranco-top1k
azure.com,20.112.250.133,2.0,*,,,,,,,,*,*,*,tranco-top1k
whatsapp.net,157.240.9.53,1.0,*,,,,,,,,*,*,*,tranco-top1k
tiktokv.com,23.204.132.201,1.0,142.251.250.194,AS15169 Google LLC,Marseille,Provence-Alpes-Côte d'Azur,FR,"43.2970,5.3811",13000,Europe/Paris,476.99,*,*,tranco-top1k
windows.net,20.76.201.171,1.0,108.170.238.109,AS15169 Google LLC,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,2.16,*,*,tranco-top1k
appsflyersdk.com,13.226.2.121,1.0,108.170.238.109,AS15169 Google LLC,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,4.63,5.59,6.39,tranco-top1k
netflix.com,52.214.181.141,1.0,*,,,,,,,,*,*,*,tranco-top1k
youtube.com,142.250.75.142,3.0,192.178.244.92,AS15169 Google LLC,Yehud-Monosson,Tel Aviv,IL,"32.0284,34.8796",,Asia/Jerusalem,1.5,*,*,tranco-top1k
fbcdn.net,157.240.234.35,1.0,108.170.235.87,AS15169 Google LLC,Sofia,Sofia-Capital,BG,"42.6975,23.3241",1000,Europe/Sofia,246.3,*,*,tranco-top1k
github.com,20.217.135.5,1.0,108.170.238.109,AS15169 Google LLC,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,2.15,*,*,tranco-top1k
googletagmanager.com,142.250.75.136,2.0,142.251.233.185,AS15169 Google LLC,Yehud-Monosson,Tel Aviv,IL,"32.0284,34.8796",,Asia/Jerusalem,*,0.5,*,tranco-top1k
amazonaws.com,207.171.166.22,2.0,*,,,,,,,,*,*,*,tranco-top1k
digicert.com,45.60.121.229,1.0,*,,,,,,,,*,*,*,tranco-top1k
workers.dev,104.18.12.15,1.0,142.251.250.194,AS15169 Google LLC,Marseille,Provence-Alpes-Côte d'Azur,FR,"43.2970,5.3811",13000,Europe/Paris,235.02,*,*,tranco-top1k
live.com,204.79.197.212,1.0,108.170.238.109,AS15169 Google LLC,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,*,2.3,*,tranco-top1k
sharepoint.com,13.107.138.10,1.0,108.170.238.109,AS15169 Google LLC,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,*,*,12.4,tranco-top1k
wordpress.org,198.143.164.252,2.0,108.170.255.150,AS15169 Google LLC,Paris,Île-de-France,FR,"48.8534,2.3488",75000,Europe/Paris,*,*,484.15,tranco-top1k
goo.gl,142.250.75.110,1.0,*,,,,,,,,*,*,*,tranco-top1k
google.com,142.250.75.46,3.0,192.178.244.94,AS15169 Google LLC,Yehud-Monosson,Tel Aviv,IL,"32.0284,34.8796",,Asia/Jerusalem,*,4.83,*,tranco-top1k
yahoo.com,98.137.11.163,1.0,*,,,,,,,,*,*,*,tranco-top1k
gstatic.com,142.250.75.163,2.0,142.251.234.121,AS15169 Google LLC,Yehud-Monosson,Tel Aviv,IL,"32.0284,34.8796",,Asia/Jerusalem,*,*,4.0,tranco-top1k
googleapis.com,142.250.75.132,3.0,192.178.244.136,AS15169 Google LLC,Yehud-Monosson,Tel Aviv,IL,"32.0284,34.8796",,Asia/Jerusalem,*,2.1,501.23,tranco-top1k
domaincontrol.com,127.0.0.1,2.0,*,,,,,,,,*,*,*,tranco-top1k
msn.com,204.79.197.219,1.0,*,,,,,,,,*,*,*,tranco-top1k
microsoft.com,13.107.246.60,2.0,104.44.59.175,AS8075 Microsoft Corporation,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,2.84,*,*,tranco-top1k
office.com,13.107.6.156,3.0,104.44.231.7,AS8075 Microsoft Corporation,Vienna,Vienna,AT,"48.2085,16.3721",1010,Europe/Vienna,*,719.25,*,tranco-top1k
doubleclick.net,142.250.75.46,1.0,192.178.244.94,AS15169 Google LLC,Yehud-Monosson,Tel Aviv,IL,"32.0284,34.8796",,Asia/Jerusalem,*,252.69,*,tranco-top1k
mail.ru,94.100.180.200,3.0,*,,,,,,,,*,*,*,tranco-top1k
roblox.com,128.116.44.3,1.0,108.170.233.209,AS15169 Google LLC,Genoa,Liguria,IT,"44.4048,8.9444",16100,Europe/Rome,*,231.69,*,tranco-top1k
pinterest.com,151.101.192.84,1.0,*,,,,,,,,*,*,*,tranco-top1k
facebook.com,157.240.203.35,3.0,147.75.211.158,,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,*,*,228.14,tranco-top1k
googleusercontent.com,142.250.75.97,2.0,142.251.234.119,AS15169 Google LLC,Yehud-Monosson,Tel Aviv,IL,"32.0284,34.8796",,Asia/Jerusalem,0.45,*,*,tranco-top1k
wordpress.org,198.143.164.252,3.0,*,,,,,,,,*,*,*,tranco-top1k
bing.com,150.171.27.10,1.0,*,,,,,,,,*,*,*,tranco-top1k
instagram.com,157.240.234.174,2.0,*,,,,,,,,*,*,*,tranco-top1k
adobe.com,92.123.102.209,2.0,192.178.105.170,AS15169 Google LLC,Marseille,Provence-Alpes-Côte d'Azur,FR,"43.2970,5.3811",13000,Europe/Paris,*,247.06,*,tranco-top1k
fbcdn.net,157.240.234.35,2.0,157.240.89.184,"AS32934 Facebook, Inc.",Sofia,Sofia-Capital,BG,"42.6975,23.3241",1000,Europe/Sofia,228.79,*,232.01,tranco-top1k
wikipedia.org,185.15.59.224,1.0,142.251.254.4,AS15169 Google LLC,Amsterdam,North Holland,NL,"52.3740,4.8897",1012,Europe/Amsterdam,*,*,233.72,tranco-top1k
skype.com,20.76.201.171,2.0,*,,,,,,,,*,*,*,tranco-top1k
twitter.com,162.159.140.229,2.0,192.178.105.90,AS15169 Google LLC,Marseille,Provence-Alpes-Côte d'Azur,FR,"43.2970,5.3811",13000,Europe/Paris,*,233.47,*,tranco-top1k
domaincontrol.com,127.0.0.1,3.0,*,,,,,,,,*,*,*,tranco-top1k
dzen.ru,5.61.23.39,3.0,*,,,,,,,,*,*,*,tranco-top1k
googlesyndication.com,142.250.75.196,1.0,*,,,,,,,,*,*,*,tranco-top1k
vimeo.com,162.159.128.61,1.0,142.251.250.194,AS15169 Google LLC,Marseille,Provence-Alpes-Côte d'Azur,FR,"43.2970,5.3811",13000,Europe/Paris,*,*,236.05,tranco-top1k
amazonaws.com,207.171.166.22,3.0,*,,,,,,,,*,*,*,tranco-top1k
doubleclick.net,142.250.75.46,2.0,142.251.234.111,AS15169 Google LLC,Yehud-Monosson,Tel Aviv,IL,"32.0284,34.8796",,Asia/Jerusalem,*,0.57,*,tranco-top1k
appsflyersdk.com,13.226.2.121,2.0,*,,,,,,,,*,*,*,tranco-top1k
googletagmanager.com,142.250.75.136,3.0,*,,,,,,,,*,*,*,tranco-top1k
cloudflare.com,104.16.132.229,2.0,192.178.105.208,AS15169 Google LLC,Marseille,Provence-Alpes-Côte d'Azur,FR,"43.2970,5.3811",13000,Europe/Paris,220.57,219.99,227.59,tranco-top1k
fastly.net,151.101.1.6,1.0,*,,,,,,,,*,*,*,tranco-top1k
sharepoint.com,13.107.138.10,2.0,104.44.59.175,AS8075 Microsoft Corporation,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,221.2,*,2.76,tranco-top1k
linkedin.com,150.171.22.12,2.0,104.44.59.175,AS8075 Microsoft Corporation,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,2.68,2.49,2.58,tranco-top1k
windows.net,20.76.201.171,2.0,104.44.59.175,AS8075 Microsoft Corporation,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,-501.61,*,-3269.28,tranco-top1k
netflix.com,52.214.181.141,2.0,*,,,,,,,,*,*,*,tranco-top1k
microsoft.com,13.107.246.60,3.0,104.44.230.197,AS8075 Microsoft Corporation,Marseille,Provence-Alpes-Côte d'Azur,FR,"43.2970,5.3811",13000,Europe/Paris,*,724.55,*,tranco-top1k
icloud.com,17.253.144.10,2.0,17.1.105.12,AS714 Apple Inc.,Paris,Île-de-France,FR,"48.8534,2.3488",75000,Europe/Paris,243.84,*,244.03,tranco-top1k
fbcdn.net,157.240.234.35,3.0,157.240.108.98,"AS32934 Facebook, Inc.",Sofia,Sofia-Capital,BG,"42.6975,23.3241",1000,Europe/Sofia,*,239.41,238.17,tranco-top1k
office.com,13.107.6.156,4.0,104.44.41.67,AS8075 Microsoft Corporation,Vienna,Vienna,AT,"48.2085,16.3721",1010,Europe/Vienna,*,245.49,235.98,tranco-top1k
yahoo.com,98.137.11.163,2.0,*,,,,,,,,*,*,*,tranco-top1k
workers.dev,104.18.12.15,2.0,192.178.105.26,AS15169 Google LLC,Marseille,Provence-Alpes-Côte d'Azur,FR,"43.2970,5.3811",13000,Europe/Paris,*,485.98,240.46,tranco-top1k
goo.gl,142.250.75.110,2.0,142.251.234.115,AS15169 Google LLC,Yehud-Monosson,Tel Aviv,IL,"32.0284,34.8796",,Asia/Jerusalem,1.2,*,1.49,tranco-top1k
youtube.com,142.250.75.142,4.0,192.178.108.149,AS15169 Google LLC,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,*,2.94,2.8,tranco-top1k
facebook.com,157.240.203.35,4.0,129.134.86.231,"AS32934 Facebook, Inc.",Milan,Lombardy,IT,"45.4643,9.1895",20121,Europe/Rome,*,*,248.51,tranco-top1k
roblox.com,128.116.44.3,2.0,*,,,,,,,,*,*,*,tranco-top1k
whatsapp.com,157.240.203.60,1.0,72.14.232.198,AS15169 Google LLC,Milan,Lombardy,IT,"45.4643,9.1895",20121,Europe/Rome,224.27,*,486.64,tranco-top1k
whatsapp.net,157.240.9.53,2.0,*,,,,,,,,*,*,*,tranco-top1k
amazonaws.com,207.171.166.22,4.0,*,,,,,,,,*,*,*,tranco-top1k
googlesyndication.com,142.250.75.196,2.0,142.251.234.111,AS15169 Google LLC,Yehud-Monosson,Tel Aviv,IL,"32.0284,34.8796",,Asia/Jerusalem,2.07,0.59,*,tranco-top1k
twitter.com,162.159.140.229,3.0,*,,,,,,,,*,*,*,tranco-top1k
googleusercontent.com,142.250.75.97,3.0,192.178.244.92,AS15169 Google LLC,Yehud-Monosson,Tel Aviv,IL,"32.0284,34.8796",,Asia/Jerusalem,221.74,*,*,tranco-top1k
mail.ru,94.100.180.200,4.0,*,,,,,,,,*,*,*,tranco-top1k
github.com,20.217.135.5,2.0,104.44.59.175,AS8075 Microsoft Corporation,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,3.08,5.05,3.14,tranco-top1k
azure.com,20.112.250.133,3.0,104.44.230.197,AS8075 Microsoft Corporation,Marseille,Provence-Alpes-Côte d'Azur,FR,"43.2970,5.3811",13000,Europe/Paris,*,488.27,*,tranco-top1k
adobe.com,92.123.102.209,3.0,*,,,,,,,,*,*,*,tranco-top1k
msn.com,204.79.197.219,2.0,104.44.59.175,AS8075 Microsoft Corporation,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,3.46,3.2,3.35,tranco-top1k
instagram.com,157.240.234.174,3.0,*,,,,,,,,*,*,*,tranco-top1k
domaincontrol.com,127.0.0.1,4.0,*,,,,,,,,*,*,*,tranco-top1k
wordpress.org,198.143.164.252,4.0,*,,,,,,,,*,*,*,tranco-top1k
digicert.com,45.60.121.229,2.0,*,,,,,,,,*,*,*,tranco-top1k
apple.com,17.253.144.10,3.0,17.253.144.10,AS714 Apple Inc.,Cupertino,California,US,"37.3230,-122.0322",95014,America/Los_Angeles,236.26,*,233.78,tranco-top1k
tiktokv.com,23.204.132.201,2.0,192.178.105.90,AS15169 Google LLC,Marseille,Provence-Alpes-Côte d'Azur,FR,"43.2970,5.3811",13000,Europe/Paris,1220.18,*,*,tranco-top1k
netflix.com,52.214.181.141,3.0,*,,,,,,,,*,*,*,tranco-top1k
live.com,204.79.197.212,2.0,104.44.59.175,AS8075 Microsoft Corporation,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,1.95,3.08,*,tranco-top1k
icloud.com,17.253.144.10,3.0,17.253.144.10,AS714 Apple Inc.,Cupertino,California,US,"37.3230,-122.0322",95014,America/Los_Angeles,*,*,-25.35,tranco-top1k
sharepoint.com,13.107.138.10,3.0,104.44.231.7,AS8075 Microsoft Corporation,Vienna,Vienna,AT,"48.2085,16.3721",1010,Europe/Vienna,*,245.67,*,tranco-top1k
googlevideo.com,142.250.75.68,1.0,*,,,,,,,,*,*,*,tranco-top1k
linkedin.com,150.171.22.12,3.0,104.44.231.7,AS8075 Microsoft Corporation,Vienna,Vienna,AT,"48.2085,16.3721",1010,Europe/Vienna,*,*,242.09,tranco-top1k
gstatic.com,142.250.75.163,3.0,*,,,,,,,,*,*,*,tranco-top1k
dzen.ru,5.61.23.39,4.0,*,,,,,,,,*,*,*,tranco-top1k
ntp.org,204.93.207.22,1.0,108.170.238.82,AS15169 Google LLC,Chicago,Illinois,US,"41.8500,-87.6500",60666,America/Chicago,*,221.75,*,tranco-top1k
googletagmanager.com,142.250.75.136,4.0,192.178.108.205,AS15169 Google LLC,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,*,2.22,1.93,tranco-top1k
windows.net,20.76.201.171,3.0,104.44.230.197,AS8075 Microsoft Corporation,Marseille,Provence-Alpes-Côte d'Azur,FR,"43.2970,5.3811",13000,Europe/Paris,225.25,*,*,tranco-top1k
microsoft.com,13.107.246.60,4.0,104.44.33.109,AS8075 Microsoft Corporation,Marseille,Provence-Alpes-Côte d'Azur,FR,"43.2970,5.3811",13000,Europe/Paris,223.18,*,220.41,tranco-top1k
goo.gl,142.250.75.110,3.0,192.178.244.130,AS15169 Google LLC,Yehud-Monosson,Tel Aviv,IL,"32.0284,34.8796",,Asia/Jerusalem,21.6,*,*,tranco-top1k
pinterest.com,151.101.192.84,2.0,*,,,,,,,,*,*,*,tranco-top1k
doubleclick.net,142.250.75.46,3.0,192.178.244.94,AS15169 Google LLC,Yehud-Monosson,Tel Aviv,IL,"32.0284,34.8796",,Asia/Jerusalem,*,3.1,3.73,tranco-top1k
wikipedia.org,185.15.59.224,2.0,74.125.243.132,AS15169 Google LLC,Amsterdam,North Holland,NL,"52.3740,4.8897",1012,Europe/Amsterdam,221.59,*,*,tranco-top1k
facebook.com,157.240.203.35,5.0,129.134.83.144,"AS32934 Facebook, Inc.",Milan,Lombardy,IT,"45.4643,9.1895",20121,Europe/Rome,244.32,*,*,tranco-top1k
office.com,13.107.6.156,5.0,*,,,,,,,,*,*,*,tranco-top1k
vimeo.com,162.159.128.61,2.0,192.178.105.26,AS15169 Google LLC,Marseille,Provence-Alpes-Côte d'Azur,FR,"43.2970,5.3811",13000,Europe/Paris,*,*,242.95,tranco-top1k
mail.ru,94.100.180.200,5.0,*,,,,,,,,*,*,*,tranco-top1k
azure.com,20.112.250.133,4.0,*,,,,,,,,*,*,*,tranco-top1k
domaincontrol.com,127.0.0.1,5.0,*,,,,,,,,*,*,*,tranco-top1k
appsflyersdk.com,13.226.2.121,3.0,150.222.8.131,,Mumbai,Maharashtra,IN,"19.0728,72.8826",400017,Asia/Kolkata,*,*,10.95,tranco-top1k
googlevideo.com,142.250.75.68,2.0,142.251.234.93,AS15169 Google LLC,Yehud-Monosson,Tel Aviv,IL,"32.0284,34.8796",,Asia/Jerusalem,*,1.24,*,tranco-top1k
yahoo.com,98.137.11.163,3.0,*,,,,,,,,*,*,*,tranco-top1k
fbcdn.net,157.240.234.35,4.0,157.240.60.174,"AS32934 Facebook, Inc.",Sofia,Sofia-Capital,BG,"42.6975,23.3241",1000,Europe/Sofia,*,*,242.57,tranco-top1k
googlesyndication.com,142.250.75.196,3.0,192.178.244.96,AS15169 Google LLC,Yehud-Monosson,Tel Aviv,IL,"32.0284,34.8796",,Asia/Jerusalem,6.19,*,*,tranco-top1k
google.com,142.250.75.46,4.0,192.178.108.151,AS15169 Google LLC,Tel Aviv,Tel Aviv,IL,"32.0809,34.7806",,Asia/Jerusalem,*,*,3.12,tranco-top1k
