Destination,Destination IP,Hop,IP,ASN,City,Region,Country,Loc,Postal,Timezone,RTT1,RTT2,RTT3
google.com,142.250.81.238,1,172.20.160.1,N/A,,,,,,,77.43,59.25,47.63
google.com,142.250.81.238,2,192.168.1.1,N/A,,,,,,,67.52,64.12,51.74
google.com,142.250.81.238,3,71.172.72.1,AS701 Verizon Business,Dayton,New Jersey,US,"40.3726,-74.5101",08810,America/New_York,63.64,60.23,51.68
google.com,142.250.81.238,4,100.41.132.140,AS701 Verizon Business,Newark,New Jersey,US,"40.7357,-74.1724",07102,America/New_York,87.66,58.55,43.76
google.com,142.250.81.238,5,*,,,,,,,,*,*,*
google.com,142.250.81.238,6,204.148.5.98,AS701 Verizon Business,New York City,New York,US,"40.7143,-74.0060",10001,America/New_York,55.64,37.85,63.78
google.com,142.250.81.238,7,192.178.107.21,AS15169 Google LLC,New York City,New York,US,"40.7143,-74.0060",10001,America/New_York,55.2,100.49,67.88
google.com,142.250.81.238,8,142.251.60.235,AS15169 Google LLC,New York City,New York,US,"40.7143,-74.0060",10001,America/New_York,99.23,72.83,91.76
google.com,142.250.81.238,9,142.250.81.238,AS15169 Google LLC,New York City,New York,US,"40.7143,-74.0060",10001,America/New_York,63.34,58.94,79.4
mail.ru,217.69.139.202,1,172.20.160.1,N/A,,,,,,,59.87,63.38,43.49
mail.ru,217.69.139.202,2,192.168.1.1,N/A,,,,,,,55.44,51.79,51.54
mail.ru,217.69.139.202,3,71.172.72.1,AS701 Verizon Business,Dayton,New Jersey,US,"40.3726,-74.5101",08810,America/New_York,47.8,63.08,71.36
mail.ru,217.69.139.202,4,100.41.132.142,AS701 Verizon Business,Newark,New Jersey,US,"40.7357,-74.1724",07102,America/New_York,63.65,52.72,47.66
mail.ru,217.69.139.202,5,*,,,,,,,,*,*,*
mail.ru,217.69.139.202,6,*,,,,,,,,*,*,*
mail.ru,217.69.139.202,7,*,,,,,,,,*,*,*
mail.ru,217.69.139.202,8,80.91.254.90,AS1299 Arelion Sweden AB,Malmö,Skåne,SE,"55.6059,13.0007",200 01,Europe/Stockholm,163.7,126.45,155.82
mail.ru,217.69.139.202,9,62.115.139.172,AS1299 Arelion Sweden AB,Stockholm,Stockholm,SE,"59.3294,18.0687",195 87,Europe/Stockholm,147.24,139.36,167.75
mail.ru,217.69.139.202,10,62.115.141.23,AS1299 Arelion Sweden AB,Moscow,Moscow,RU,"55.7522,37.6156",101000,Europe/Moscow,174.27,154.89,159.49
mail.ru,217.69.139.202,11,*,,,,,,,,*,*,*
mail.ru,217.69.139.202,12,*,,,,,,,,*,*,*
mail.ru,217.69.139.202,13,*,,,,,,,,*,*,*
mail.ru,217.69.139.202,14,*,,,,,,,,*,*,*
mail.ru,217.69.139.202,15,*,,,,,,,,*,*,*
mail.ru,217.69.139.202,16,*,,,,,,,,*,*,*
mail.ru,217.69.139.202,17,*,,,,,,,,*,*,*
mail.ru,217.69.139.202,18,*,,,,,,,,*,*,*
mail.ru,217.69.139.202,19,*,,,,,,,,*,*,*
mail.ru,217.69.139.202,20,*,,,,,,,,*,*,*
microsoft.com,13.107.246.40,1,172.20.160.1,N/A,,,,,,,44.6,63.77,63.55
microsoft.com,13.107.246.40,2,192.168.1.1,N/A,,,,,,,71.49,59.39,59.47
microsoft.com,13.107.246.40,3,71.172.72.1,AS701 Verizon Business,Dayton,New Jersey,US,"40.3726,-74.5101",08810,America/New_York,59.67,63.5,67.78
microsoft.com,13.107.246.40,4,100.41.132.140,AS701 Verizon Business,Newark,New Jersey,US,"40.7357,-74.1724",07102,America/New_York,62.89,63.56,83.72
microsoft.com,13.107.246.40,5,*,,,,,,,,*,*,*
microsoft.com,13.107.246.40,6,152.193.8.34,AS701 Verizon Business,New York City,New York,US,"40.7143,-74.0060",10001,America/New_York,43.03,58.06,67.88
microsoft.com,13.107.246.40,7,*,,,,,,,,*,*,*
microsoft.com,13.107.246.40,8,*,,,,,,,,*,*,*
microsoft.com,13.107.246.40,9,*,,,,,,,,*,*,*
microsoft.com,13.107.246.40,10,*,,,,,,,,*,*,*
microsoft.com,13.107.246.40,11,*,,,,,,,,*,*,*
microsoft.com,13.107.246.40,12,*,,,,,,,,*,*,*
microsoft.com,13.107.246.40,13,*,,,,,,,,*,*,*
microsoft.com,13.107.246.40,14,*,,,,,,,,*,*,*
microsoft.com,13.107.246.40,15,*,,,,,,,,*,*,*
microsoft.com,13.107.246.40,16,*,,,,,,,,*,*,*
microsoft.com,13.107.246.40,17,*,,,,,,,,*,*,*
microsoft.com,13.107.246.40,18,*,,,,,,,,*,*,*
microsoft.com,13.107.246.40,19,*,,,,,,,,*,*,*
microsoft.com,13.107.246.40,20,*,,,,,,,,*,*,*
facebook.com,57.144.180.1,1,172.20.160.1,N/A,,,,,,,37.68,43.68,43.63
facebook.com,57.144.180.1,2,192.168.1.1,N/A,,,,,,,67.47,59.65,67.73
facebook.com,57.144.180.1,3,71.172.72.1,AS701 Verizon Business,Dayton,New Jersey,US,"40.3726,-74.5101",08810,America/New_York,47.41,71.64,59.78
facebook.com,57.144.180.1,4,100.41.132.140,AS701 Verizon Business,Newark,New Jersey,US,"40.7357,-74.1724",07102,America/New_York,47.25,75.63,51.66
facebook.com,57.144.180.1,5,*,,,,,,,,*,*,*
facebook.com,57.144.180.1,6,152.179.68.58,AS701 Verizon Business,New York City,New York,US,"40.7143,-74.0060",10001,America/New_York,76.03,50.42,79.5
facebook.com,57.144.180.1,7,129.134.48.212,"AS32934 Facebook, Inc.",New York City,New York,US,"40.7143,-74.0060",10001,America/New_York,75.4,67.39,63.66
facebook.com,57.144.180.1,8,129.134.62.111,"AS32934 Facebook, Inc.",New York City,New York,US,"40.7143,-74.0060",10001,America/New_York,71.59,41.04,50.71
facebook.com,57.144.180.1,9,129.134.119.100,"AS32934 Facebook, Inc.",New York City,New York,US,"40.7143,-74.0060",10001,America/New_York,63.4,59.07,67.54
facebook.com,57.144.180.1,10,*,,,,,,,,*,*,*
facebook.com,57.144.180.1,11,*,,,,,,,,*,*,*
facebook.com,57.144.180.1,12,*,,,,,,,,*,*,*
facebook.com,57.144.180.1,13,*,,,,,,,,*,*,*
facebook.com,57.144.180.1,14,*,,,,,,,,*,*,*
facebook.com,57.144.180.1,15,*,,,,,,,,*,*,*
facebook.com,57.144.180.1,16,*,,,,,,,,*,*,*
facebook.com,57.144.180.1,17,*,,,,,,,,*,*,*
facebook.com,57.144.180.1,18,*,,,,,,,,*,*,*
facebook.com,57.144.180.1,19,*,,,,,,,,*,*,*
facebook.com,57.144.180.1,20,*,,,,,,,,*,*,*
apple.com,17.253.144.10,1,172.20.160.1,N/A,,,,,,,70.08,63.46,63.68
apple.com,17.253.144.10,2,192.168.1.1,N/A,,,,,,,71.28,56.19,59.19
apple.com,17.253.144.10,3,71.172.72.1,AS701 Verizon Business,Dayton,New Jersey,US,"40.3726,-74.5101",08810,America/New_York,43.58,79.25,59.78
apple.com,17.253.144.10,4,100.41.132.142,AS701 Verizon Business,Newark,New Jersey,US,"40.7357,-74.1724",07102,America/New_York,71.53,55.68,71.55
apple.com,17.253.144.10,5,140.222.8.13,N/A,Newark,New Jersey,US,"40.7357,-74.1724",07102,America/New_York,63.39,50.58,75.55
apple.com,17.253.144.10,6,152.179.200.198,AS701 Verizon Business,New York City,New York,US,"40.7143,-74.0060",10001,America/New_York,91.63,55.42,51.04
apple.com,17.253.144.10,7,17.253.144.10,AS714 Apple Inc.,Cupertino,California,US,"37.3230,-122.0322",95014,America/Los_Angeles,95.68,51.83,63.7
amazonaws.com,72.21.206.80,1,172.20.160.1,N/A,,,,,,,68.06,35.57,43.66
amazonaws.com,72.21.206.80,2,192.168.1.1,N/A,,,,,,,43.47,47.66,79.76
amazonaws.com,72.21.206.80,3,71.172.72.1,AS701 Verizon Business,Dayton,New Jersey,US,"40.3726,-74.5101",08810,America/New_York,55.38,79.52,95.64
amazonaws.com,72.21.206.80,4,100.41.132.140,AS701 Verizon Business,Newark,New Jersey,US,"40.7357,-74.1724",07102,America/New_York,71.37,39.63,71.72
amazonaws.com,72.21.206.80,5,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,6,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,7,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,8,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,9,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,10,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,11,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,12,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,13,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,14,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,15,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,16,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,17,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,18,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,19,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,20,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,1,172.20.160.1,N/A,,,,,,,53.07,48.04,63.08
dzen.ru,5.61.23.39,2,192.168.1.1,N/A,,,,,,,63.57,79.65,43.62
dzen.ru,5.61.23.39,3,71.172.72.1,AS701 Verizon Business,Dayton,New Jersey,US,"40.3726,-74.5101",08810,America/New_York,47.56,59.61,63.77
dzen.ru,5.61.23.39,4,100.41.132.140,AS701 Verizon Business,Newark,New Jersey,US,"40.7357,-74.1724",07102,America/New_York,75.36,55.75,59.63
dzen.ru,5.61.23.39,5,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,6,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,7,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,8,80.91.254.90,AS1299 Arelion Sweden AB,Malmö,Skåne,SE,"55.6059,13.0007",200 01,Europe/Stockholm,139.28,123.92,135.49
dzen.ru,5.61.23.39,9,62.115.139.172,AS1299 Arelion Sweden AB,Stockholm,Stockholm,SE,"59.3294,18.0687",195 87,Europe/Stockholm,139.48,131.62,139.48
dzen.ru,5.61.23.39,10,62.115.141.23,AS1299 Arelion Sweden AB,Moscow,Moscow,RU,"55.7522,37.6156",101000,Europe/Moscow,195.4,211.55,187.42
dzen.ru,5.61.23.39,11,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,12,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,13,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,14,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,15,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,16,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,17,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,18,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,19,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,20,*,,,,,,,,*,*,*
