Destination,Destination IP,Hop,IP,ASN,City,Region,Country,Loc,Postal,Timezone,RTT1,RTT2,RTT3
google.com,142.250.81.238,1,172.20.160.1,N/A,,,,,,,1.19,0.6,0.54
mail.ru,217.69.139.200,1,172.20.160.1,N/A,,,,,,,0.76,0.57,1.0
microsoft.com,13.107.253.40,1,172.20.160.1,N/A,,,,,,,0.73,0.93,0.42
facebook.com,31.13.71.36,1,172.20.160.1,N/A,,,,,,,0.51,0.79,1.07
amazonaws.com,72.21.206.80,1,172.20.160.1,N/A,,,,,,,0.77,1.17,0.85
youtube.com,142.250.80.110,1,172.20.160.1,N/A,,,,,,,1.17,1.2,1.09
dzen.ru,5.61.23.39,1,172.20.160.1,N/A,,,,,,,0.94,0.8,0.95
akamai.net,N/A,N/A,Unresolvable,,,,,,,,,,
googleapis.com,142.250.80.4,1,172.20.160.1,N/A,,,,,,,1.98,0.99,1.44
cloudflare.com,104.16.132.229,1,172.20.160.1,N/A,,,,,,,1.12,1.19,1.37
akamaiedge.net,N/A,N/A,Unresolvable,,,,,,,,,,
instagram.com,157.240.241.174,1,172.20.160.1,N/A,,,,,,,1.15,1.3,1.0
twitter.com,172.66.0.227,1,172.20.160.1,N/A,,,,,,,0.86,1.08,1.32
office.com,13.107.6.156,1,172.20.160.1,N/A,,,,,,,1.33,0.81,1.62
apple.com,17.253.144.10,1,172.20.160.1,N/A,,,,,,,0.76,1.33,0.82
gstatic.com,142.250.65.227,1,172.20.160.1,N/A,,,,,,,1.44,0.81,1.3
azure.com,20.231.239.246,1,172.20.160.1,N/A,,,,,,,1.06,0.83,1.16
akadns.net,N/A,N/A,Unresolvable,,,,,,,,,,
linkedin.com,150.171.22.12,1,172.20.160.1,N/A,,,,,,,1.25,1.36,0.2
live.com,204.79.197.212,1,172.20.160.1,N/A,,,,,,,0.44,0.84,0.58
ax-msedge.net,N/A,N/A,Unresolvable,,,,,,,,,,
googlevideo.com,142.250.80.68,1,172.20.160.1,N/A,,,,,,,0.72,1.08,1.33
apple-dns.net,N/A,N/A,Unresolvable,,,,,,,,,,
googletagmanager.com,142.251.40.232,1,172.20.160.1,N/A,,,,,,,0.97,1.03,0.18
windowsupdate.com,N/A,N/A,Unresolvable,,,,,,,,,,
fbcdn.net,57.144.180.1,1,172.20.160.1,N/A,,,,,,,1.05,0.62,1.24
amazon.com,52.94.236.248,1,172.20.160.1,N/A,,,,,,,1.06,0.58,0.32
microsoftonline.com,N/A,N/A,Unresolvable,,,,,,,,,,
workers.dev,104.18.13.15,1,172.20.160.1,N/A,,,,,,,0.77,1.03,1.11
wikipedia.org,208.80.154.224,1,172.20.160.1,N/A,,,,,,,1.08,1.31,1.73
bluelive77.com,172.67.176.24,1,172.20.160.1,N/A,,,,,,,1.15,0.75,1.17
skyeng.ru,178.248.234.206,1,172.20.160.1,N/A,,,,,,,1.22,1.74,1.29
workupjob.com,172.67.10.57,1,172.20.160.1,N/A,,,,,,,0.91,1.74,1.01
tapatalk.com,172.66.132.34,1,172.20.160.1,N/A,,,,,,,0.85,0.86,0.83
messefrankfurt.com,193.109.4.37,1,172.20.160.1,N/A,,,,,,,0.61,1.15,0.33
elephantbet.co.ao,185.162.229.2,1,172.20.160.1,N/A,,,,,,,0.55,1.32,0.74
mir-chitki.ru,195.161.62.201,1,172.20.160.1,N/A,,,,,,,0.46,0.9,0.9
skokka.in,104.18.32.128,1,172.20.160.1,N/A,,,,,,,1.22,1.12,0.3
bpcyber.com,N/A,N/A,Unresolvable,,,,,,,,,,
toonkor.wiki,104.18.29.147,1,172.20.160.1,N/A,,,,,,,0.84,0.81,1.07
list.ly,99.83.220.108,1,172.20.160.1,N/A,,,,,,,0.41,0.92,0.83
canalturf.com,185.103.143.176,1,172.20.160.1,N/A,,,,,,,0.88,1.08,0.76
nationaltrust.org.uk,52.210.108.135,1,172.20.160.1,N/A,,,,,,,0.92,0.98,0.38
google.com,142.250.81.238,2,192.168.1.1,N/A,,,,,,,2.01,*,*
postal.pt,104.21.73.24,1,172.20.160.1,N/A,,,,,,,0.62,1.77,1.06
